"","date","AIMT"
"1","2015-08-06",24.1
"2","2015-08-07",23
"3","2015-08-10",22.969999
"4","2015-08-11",23.01
"5","2015-08-12",22.49
"6","2015-08-13",25.52
"7","2015-08-14",26.049999
"8","2015-08-17",24.16
"9","2015-08-18",23.370001
"10","2015-08-19",23.77
"11","2015-08-20",22.08
"12","2015-08-21",21.1
"13","2015-08-24",20.129999
"14","2015-08-25",20.74
"15","2015-08-26",22.67
"16","2015-08-27",21.35
"17","2015-08-28",21.110001
"18","2015-08-31",21.09
"19","2015-09-01",22.1
"20","2015-09-02",22.25
"21","2015-09-03",23.530001
"22","2015-09-04",22.59
"23","2015-09-08",22.82
"24","2015-09-09",22.76
"25","2015-09-10",22.870001
"26","2015-09-11",25.01
"27","2015-09-14",24.290001
"28","2015-09-15",25.889999
"29","2015-09-16",24.540001
"30","2015-09-17",24.34
"31","2015-09-18",24.290001
"32","2015-09-21",24.17
"33","2015-09-22",24.18
"34","2015-09-23",24.639999
"35","2015-09-24",25.049999
"36","2015-09-25",24.459999
"37","2015-09-28",23.9
"38","2015-09-29",24.1
"39","2015-09-30",25.32
"40","2015-10-01",22.940001
"41","2015-10-02",21.16
"42","2015-10-05",19.549999
"43","2015-10-06",19.719999
"44","2015-10-07",20.139999
"45","2015-10-08",19.49
"46","2015-10-09",18.959999
"47","2015-10-12",17.1
"48","2015-10-13",19.440001
"49","2015-10-14",17.5
"50","2015-10-15",16.48
"51","2015-10-16",16.27
"52","2015-10-19",15.8
"53","2015-10-20",16.309999
"54","2015-10-21",15.09
"55","2015-10-22",15.55
"56","2015-10-23",15.15
"57","2015-10-26",14.77
"58","2015-10-27",15.23
"59","2015-10-28",15.54
"60","2015-10-29",15.44
"61","2015-10-30",15.05
"62","2015-11-02",16.360001
"63","2015-11-03",16.780001
"64","2015-11-04",17.65
"65","2015-11-05",17.879999
"66","2015-11-06",18.620001
"67","2015-11-09",19.629999
"68","2015-11-10",19.049999
"69","2015-11-11",17.559999
"70","2015-11-12",17.01
"71","2015-11-13",17.66
"72","2015-11-16",18.219999
"73","2015-11-17",18.51
