"","date","UEIC"
"1","2007-01-03",21.379999
"2","2007-01-04",21.030001
"3","2007-01-05",20.02
"4","2007-01-08",19.709999
"5","2007-01-09",19.51
"6","2007-01-10",19.67
"7","2007-01-11",20.290001
"8","2007-01-12",19.77
"9","2007-01-16",20.280001
"10","2007-01-17",20.200001
"11","2007-01-18",19.870001
"12","2007-01-19",20.18
"13","2007-01-22",20.059999
"14","2007-01-23",20.200001
"15","2007-01-24",20.370001
"16","2007-01-25",19.92
"17","2007-01-26",20.32
"18","2007-01-29",20.25
"19","2007-01-30",20.620001
"20","2007-01-31",20.879999
"21","2007-02-01",20.879999
"22","2007-02-02",21
"23","2007-02-05",20.99
"24","2007-02-06",21.02
"25","2007-02-07",21.059999
"26","2007-02-08",21.059999
"27","2007-02-09",20.950001
"28","2007-02-12",21.16
"29","2007-02-13",21.24
"30","2007-02-14",20.610001
"31","2007-02-15",20.83
"32","2007-02-16",21.73
"33","2007-02-20",21.959999
"34","2007-02-21",22.049999
"35","2007-02-22",22.540001
"36","2007-02-23",27.889999
"37","2007-02-26",27.9
"38","2007-02-27",26.200001
"39","2007-02-28",26.120001
"40","2007-03-01",25.950001
"41","2007-03-02",24.93
"42","2007-03-05",25.9
"43","2007-03-06",26.77
"44","2007-03-07",26.299999
"45","2007-03-08",26.540001
"46","2007-03-09",27.25
"47","2007-03-12",27.68
"48","2007-03-13",26.530001
"49","2007-03-14",27.74
"50","2007-03-15",28.59
"51","2007-03-16",27.379999
"52","2007-03-19",27.639999
"53","2007-03-20",27.959999
"54","2007-03-21",29.02
"55","2007-03-22",28.49
"56","2007-03-23",28.709999
"57","2007-03-26",29.200001
"58","2007-03-27",28.870001
"59","2007-03-28",28.48
"60","2007-03-29",27.9
"61","2007-03-30",27.860001
"62","2007-04-02",28.950001
"63","2007-04-03",28.49
"64","2007-04-04",28.540001
"65","2007-04-05",28.51
"66","2007-04-09",27.99
"67","2007-04-10",27.030001
"68","2007-04-11",27.209999
"69","2007-04-12",27.73
"70","2007-04-13",27.58
"71","2007-04-16",27.6
"72","2007-04-17",28.42
"73","2007-04-18",28.85
"74","2007-04-19",27.469999
"75","2007-04-20",28.33
"76","2007-04-23",27.93
"77","2007-04-24",28.08
"78","2007-04-25",28.440001
"79","2007-04-26",27.639999
"80","2007-04-27",27.66
"81","2007-04-30",28.299999
"82","2007-05-01",29.370001
"83","2007-05-02",30.690001
"84","2007-05-03",31.24
"85","2007-05-04",34
"86","2007-05-07",34.5
"87","2007-05-08",33.740002
"88","2007-05-09",34.360001
"89","2007-05-10",33.080002
"90","2007-05-11",33.400002
"91","2007-05-14",33.639999
"92","2007-05-15",32.16
"93","2007-05-16",32.580002
"94","2007-05-17",31.75
"95","2007-05-18",31.809999
"96","2007-05-21",31.860001
"97","2007-05-22",33.240002
"98","2007-05-23",32.91
"99","2007-05-24",32.73
"100","2007-05-25",32.5
"101","2007-05-29",32.419998
"102","2007-05-30",32.73
"103","2007-05-31",33.5
"104","2007-06-01",33.369999
"105","2007-06-04",33.470001
"106","2007-06-05",32.740002
"107","2007-06-06",32.630001
"108","2007-06-07",31.889999
"109","2007-06-08",32.150002
"110","2007-06-11",35.599998
"111","2007-06-12",35.529999
"112","2007-06-13",35.630001
"113","2007-06-14",36.599998
"114","2007-06-15",35.490002
"115","2007-06-18",36.709999
"116","2007-06-19",36.619999
"117","2007-06-20",35.73
"118","2007-06-21",36.650002
"119","2007-06-22",37.200001
"120","2007-06-25",36.48
"121","2007-06-26",36.529999
"122","2007-06-27",37.549999
"123","2007-06-28",37.630001
