"","date","THRY"
"1","2018-04-18",8.75
"2","2018-04-19",8.75
"3","2018-04-20",8.75
"4","2018-04-23",8.75
"5","2018-04-24",8.75
"6","2018-04-25",8.8
"7","2018-04-26",8.8
"8","2018-04-27",8.6
"9","2018-04-30",8.6
"10","2018-05-01",8.6
"11","2018-05-02",8.75
"12","2018-05-03",8.75
"13","2018-05-04",8.75
"14","2018-05-07",8.75
"15","2018-05-08",8.75
"16","2018-05-09",8.75
"17","2018-05-10",8.75
"18","2018-05-11",8.7
"19","2018-05-14",9.05
"20","2018-05-15",9.25
"21","2018-05-16",9.45
"22","2018-05-17",9.45
"23","2018-05-18",9.45
"24","2018-05-21",9.45
"25","2018-05-22",9.75
"26","2018-05-23",9.75
"27","2018-05-24",9.75
"28","2018-05-25",9.8
"29","2018-05-29",9.8
"30","2018-05-30",9.8
"31","2018-05-31",9.8
"32","2018-06-01",9.8
"33","2018-06-04",9.8
"34","2018-06-05",9.8
"35","2018-06-06",9.8
"36","2018-06-07",9.61
"37","2018-06-08",9.7
"38","2018-06-11",9.7
"39","2018-06-12",9.7
"40","2018-06-13",9.7
"41","2018-06-14",9.7
"42","2018-06-15",9.8
"43","2018-06-18",9.8
"44","2018-06-19",9.8
"45","2018-06-20",9.8
"46","2018-06-21",9.8
"47","2018-06-22",9.8
"48","2018-06-25",9.8
"49","2018-06-26",9.8
"50","2018-06-27",10.5
"51","2018-06-28",10.5
"52","2018-06-29",10.5
"53","2018-07-02",10.5
"54","2018-07-03",10.5
"55","2018-07-05",10.5
"56","2018-07-06",10.5
"57","2018-07-09",10.5
"58","2018-07-10",10.5
"59","2018-07-11",10.5
"60","2018-07-12",10.5
"61","2018-07-13",10.5
"62","2018-07-16",10.5
"63","2018-07-17",10.5
"64","2018-07-18",10.5
"65","2018-07-19",10.5
"66","2018-07-20",10.5
"67","2018-07-23",10.5
"68","2018-07-24",10.5
"69","2018-07-25",10.5
"70","2018-07-26",10.5
"71","2018-07-27",10.5
"72","2018-07-30",10.5
"73","2018-07-31",10.5
"74","2018-08-01",10.5
"75","2018-08-02",10.5
"76","2018-08-03",10.5
"77","2018-08-06",10.5
"78","2018-08-07",10.5
"79","2018-08-08",10.5
"80","2018-08-09",10.5
"81","2018-08-10",10.5
"82","2018-08-13",10.5
"83","2018-08-14",10.5
"84","2018-08-15",10.5
"85","2018-08-16",10.5
"86","2018-08-17",10.5
"87","2018-08-20",10.5
"88","2018-08-21",10.5
"89","2018-08-22",10.5
"90","2018-08-23",10.5
"91","2018-08-24",10.5
"92","2018-08-27",10.5
"93","2018-08-28",10.5
"94","2018-08-29",10.5
"95","2018-08-30",10.5
"96","2018-08-31",10.5
"97","2018-09-04",10.5
"98","2018-09-05",10.5
"99","2018-09-06",10.5
"100","2018-09-07",10.5
"101","2018-09-10",10.5
"102","2018-09-11",10.5
"103","2018-09-12",10.5
"104","2018-09-13",10.5
"105","2018-09-14",10.5
"106","2018-09-17",10.5
"107","2018-09-18",10.5
"108","2018-09-19",10.5
"109","2018-09-20",10.5
"110","2018-09-21",10.5
