"","date","LADR"
"1","2014-02-06",16.99
"2","2014-02-07",17.299999
"3","2014-02-10",17.49
"4","2014-02-11",17.299999
"5","2014-02-12",16.879999
"6","2014-02-13",17.34
"7","2014-02-14",17.25
"8","2014-02-18",16.969999
"9","2014-02-19",16.950001
"10","2014-02-20",16.65
"11","2014-02-21",16.93
"12","2014-02-24",17.1
"13","2014-02-25",17.299999
"14","2014-02-26",16.82
"15","2014-02-27",16.93
"16","2014-02-28",17
"17","2014-03-03",16.83
"18","2014-03-04",17.049999
"19","2014-03-05",16.84
"20","2014-03-06",17.280001
"21","2014-03-07",18.6
"22","2014-03-10",18.58
"23","2014-03-11",18.75
"24","2014-03-12",18.85
"25","2014-03-13",18.6
"26","2014-03-14",18.950001
"27","2014-03-17",18.48
"28","2014-03-18",18.950001
"29","2014-03-19",18.870001
"30","2014-03-20",18.82
"31","2014-03-21",18.309999
"32","2014-03-24",18.889999
"33","2014-03-25",19
"34","2014-03-26",18.41
"35","2014-03-27",18.459999
"36","2014-03-28",18.59
"37","2014-03-31",18.879999
"38","2014-04-01",19.33
"39","2014-04-02",19.219999
"40","2014-04-03",19.360001
"41","2014-04-04",19.120001
"42","2014-04-07",18.57
"43","2014-04-08",18.49
"44","2014-04-09",19.469999
"45","2014-04-10",18.9
"46","2014-04-11",18.129999
"47","2014-04-14",18.139999
"48","2014-04-15",18.040001
"49","2014-04-16",18.440001
"50","2014-04-17",18.440001
"51","2014-04-21",18.34
"52","2014-04-22",18.200001
"53","2014-04-23",18.15
"54","2014-04-24",17.9
"55","2014-04-25",17.67
"56","2014-04-28",17.65
"57","2014-04-29",17.719999
"58","2014-04-30",17.889999
"59","2014-05-01",17.709999
"60","2014-05-02",17.93
"61","2014-05-05",18.280001
"62","2014-05-06",17.870001
"63","2014-05-07",17.709999
"64","2014-05-08",17.49
"65","2014-05-09",17.33
"66","2014-05-12",17.32
"67","2014-05-13",17.42
"68","2014-05-14",17.1
"69","2014-05-15",16.92
"70","2014-05-16",17.040001
"71","2014-05-19",17.16
"72","2014-05-20",16.639999
"73","2014-05-21",16.780001
"74","2014-05-22",17.15
"75","2014-05-23",17.25
"76","2014-05-27",17.57
"77","2014-05-28",17.950001
"78","2014-05-29",17.610001
"79","2014-05-30",18.549999
"80","2014-06-02",19.02
"81","2014-06-03",19.24
"82","2014-06-04",19.48
"83","2014-06-05",19.629999
"84","2014-06-06",19.75
"85","2014-06-09",19.610001
"86","2014-06-10",19.540001
"87","2014-06-11",19.620001
"88","2014-06-12",19.5
"89","2014-06-13",19.549999
"90","2014-06-16",19.200001
"91","2014-06-17",19.379999
"92","2014-06-18",19.27
"93","2014-06-19",19.030001
"94","2014-06-20",18.77
"95","2014-06-23",18.67
"96","2014-06-24",18.1
"97","2014-06-25",18.280001
"98","2014-06-26",18.17
"99","2014-06-27",18.110001
"100","2014-06-30",18.07
"101","2014-07-01",18.66
"102","2014-07-02",19.24
"103","2014-07-03",19.08
"104","2014-07-07",18.780001
"105","2014-07-08",18.879999
"106","2014-07-09",18.879999
"107","2014-07-10",18.870001
"108","2014-07-11",18.799999
"109","2014-07-14",18.66
"110","2014-07-15",18.639999
"111","2014-07-16",18.68
"112","2014-07-17",18.4
"113","2014-07-18",18.870001
"114","2014-07-21",18.639999
"115","2014-07-22",18.610001
"116","2014-07-23",18.559999
"117","2014-07-24",18.610001
"118","2014-07-25",18.32
"119","2014-07-28",17.950001
"120","2014-07-29",17.93
"121","2014-07-30",17.969999
"122","2014-07-31",17.6
"123","2014-08-01",17.530001
"124","2014-08-04",17.889999
"125","2014-08-05",17.549999
"126","2014-08-06",17.26
"127","2014-08-07",17
"128","2014-08-08",16.889999
"129","2014-08-11",17.23
"130","2014-08-12",17.34
"131","2014-08-13",17.76
"132","2014-08-14",17.83
"133","2014-08-15",18.07
"134","2014-08-18",18.33
"135","2014-08-19",18.4
"136","2014-08-20",18.27
"137","2014-08-21",18.5
"138","2014-08-22",18.639999
"139","2014-08-25",18.84
"140","2014-08-26",18.700001
"141","2014-08-27",18.709999
"142","2014-08-28",18.450001
"143","2014-08-29",18.6
"144","2014-09-02",17.93
"145","2014-09-03",18.370001
"146","2014-09-04",18.35
"147","2014-09-05",18.15
"148","2014-09-08",18.450001
