"","date","CPRT"
"1","2007-01-03",7.6325
"2","2007-01-04",7.7575
"3","2007-01-05",7.6775
"4","2007-01-08",7.67
"5","2007-01-09",7.7225
"6","2007-01-10",7.745
"7","2007-01-11",7.66
"8","2007-01-12",7.715
"9","2007-01-16",7.73
"10","2007-01-17",7.5675
"11","2007-01-18",7.4875
"12","2007-01-19",7.5425
"13","2007-01-22",7.43
"14","2007-01-23",7.4575
"15","2007-01-24",7.42
"16","2007-01-25",7.3525
"17","2007-01-26",7.33
"18","2007-01-29",7.3575
"19","2007-01-30",7.4175
"20","2007-01-31",7.36
"21","2007-02-01",7.43
"22","2007-02-02",7.4025
"23","2007-02-05",7.4
"24","2007-02-06",7.385
"25","2007-02-07",7.4025
"26","2007-02-08",7.405
"27","2007-02-09",7.42
"28","2007-02-12",7.4025
"29","2007-02-13",7.5
"30","2007-02-14",7.505
"31","2007-02-15",7.47
"32","2007-02-16",7.5
"33","2007-02-20",7.5
"34","2007-02-21",7.5
"35","2007-02-22",7.5
"36","2007-02-23",7.5
"37","2007-02-26",7.4725
"38","2007-02-27",7.305
"39","2007-02-28",7.3625
"40","2007-03-01",7.39
"41","2007-03-02",7.2675
"42","2007-03-05",7.22
"43","2007-03-06",7.2525
"44","2007-03-07",6.8875
"45","2007-03-08",7.005
"46","2007-03-09",6.9825
"47","2007-03-12",6.9975
"48","2007-03-13",6.9375
"49","2007-03-14",6.955
"50","2007-03-15",6.96
"51","2007-03-16",6.875
"52","2007-03-19",6.9125
"53","2007-03-20",6.965
"54","2007-03-21",7.0875
"55","2007-03-22",7.09
"56","2007-03-23",7.065
"57","2007-03-26",7.0225
"58","2007-03-27",6.95
"59","2007-03-28",6.9375
"60","2007-03-29",6.93
"61","2007-03-30",7.0025
"62","2007-04-02",6.975
"63","2007-04-03",6.96
"64","2007-04-04",6.8775
"65","2007-04-05",6.8925
"66","2007-04-09",6.9775
"67","2007-04-10",7.005
"68","2007-04-11",6.915
"69","2007-04-12",6.955
"70","2007-04-13",6.91
