"","date","HLG"
"1","2015-07-07",9
"2","2015-07-08",9.22
"3","2015-07-09",11.5
"4","2015-07-10",10.11
"5","2015-07-13",10.38
"6","2015-07-14",9.8
"7","2015-07-15",9.5
"8","2015-07-16",9.5
"9","2015-07-17",9
"10","2015-07-20",9
"11","2015-07-21",9
"12","2015-07-22",9
"13","2015-07-23",9.476
"14","2015-07-24",10
"15","2015-07-27",9.99
"16","2015-07-28",9.5
"17","2015-07-29",9.24
"18","2015-07-30",9.49
"19","2015-07-31",9.55
"20","2015-08-03",8.9
"21","2015-08-04",9.15
"22","2015-08-05",9.47
"23","2015-08-06",9.71
"24","2015-08-07",9.71
"25","2015-08-10",9.49
"26","2015-08-11",9.49
"27","2015-08-12",9.25
"28","2015-08-13",9.49
"29","2015-08-14",9.46
"30","2015-08-17",9.01
"31","2015-08-18",9.49
"32","2015-08-19",9.5
"33","2015-08-20",9.7
"34","2015-08-21",9.68
"35","2015-08-24",9
"36","2015-08-25",8.45
"37","2015-08-26",8.45
"38","2015-08-27",9
"39","2015-08-28",9.45
"40","2015-08-31",9.49
"41","2015-09-01",8.92
"42","2015-09-02",8.9
"43","2015-09-03",9
"44","2015-09-04",9
"45","2015-09-08",9
"46","2015-09-09",9.24
"47","2015-09-10",9.229
"48","2015-09-11",9.092
"49","2015-09-14",9.092
"50","2015-09-15",9.24
"51","2015-09-16",9.5
"52","2015-09-17",9.5
"53","2015-09-18",9.48
"54","2015-09-21",9.49
"55","2015-09-22",9.49
"56","2015-09-23",9.7
"57","2015-09-24",9.65
"58","2015-09-25",9.6
"59","2015-09-28",10
"60","2015-09-29",9.7
"61","2015-09-30",9.76
"62","2015-10-01",9.75
"63","2015-10-02",9.78
"64","2015-10-05",9.76
"65","2015-10-06",9.51
"66","2015-10-07",9.5
"67","2015-10-08",9.5
"68","2015-10-09",9.48
"69","2015-10-12",9.45
"70","2015-10-13",9.3
"71","2015-10-14",9.3
"72","2015-10-15",9.7
"73","2015-10-16",9.7
"74","2015-10-19",9.85
"75","2015-10-20",9.7
"76","2015-10-21",9.7
"77","2015-10-22",9.8
"78","2015-10-23",9.3
"79","2015-10-26",9.3
"80","2015-10-27",9.3
"81","2015-10-28",9.8
"82","2015-10-29",9.8
"83","2015-10-30",9.7
"84","2015-11-02",9.7
"85","2015-11-03",9.69
"86","2015-11-04",9.75
"87","2015-11-05",9.55
"88","2015-11-06",9.7
"89","2015-11-09",9.45
"90","2015-11-10",9.5
"91","2015-11-11",9.5
"92","2015-11-12",9.5
"93","2015-11-13",9.5
"94","2015-11-16",9.5
"95","2015-11-17",9.301
"96","2015-11-18",9.301
"97","2015-11-19",9.6
"98","2015-11-20",9.6
"99","2015-11-23",9.5
"100","2015-11-24",9.5
"101","2015-11-25",9.6
"102","2015-11-27",9.3
"103","2015-11-30",9.7
"104","2015-12-01",9.69
"105","2015-12-02",9.46
"106","2015-12-03",9.5
"107","2015-12-04",9.5
"108","2015-12-07",9.65
"109","2015-12-08",9.65
"110","2015-12-09",9.69
"111","2015-12-10",9.54
"112","2015-12-11",9.54
"113","2015-12-14",9.69
"114","2015-12-15",9.69
"115","2015-12-16",9.69
"116","2015-12-17",9.65
"117","2015-12-18",9.65
"118","2015-12-21",9.7
"119","2015-12-22",9.8
"120","2015-12-23",9.7
"121","2015-12-24",9.7
"122","2015-12-28",9.7
"123","2015-12-29",9.5
"124","2015-12-30",9.5
"125","2015-12-31",9.8
"126","2016-01-04",9.6
"127","2016-01-05",9.5
"128","2016-01-06",9.59
"129","2016-01-07",9.4
"130","2016-01-08",9.58
"131","2016-01-11",9.364
"132","2016-01-12",9.364
"133","2016-01-13",9.3
"134","2016-01-14",9.3
"135","2016-01-15",9.6
"136","2016-01-19",9.6
"137","2016-01-20",9.6
"138","2016-01-21",9.78
"139","2016-01-22",10
"140","2016-01-25",11.35
"141","2016-01-26",10.13
"142","2016-01-27",10.13
"143","2016-01-28",10.13
"144","2016-01-29",10.3
"145","2016-02-01",10.3
"146","2016-02-02",10.3
"147","2016-02-03",10.3
"148","2016-02-04",10.1
"149","2016-02-05",10
"150","2016-02-08",10
"151","2016-02-09",10.137
"152","2016-02-10",10.137
"153","2016-02-11",10.1
"154","2016-02-12",10.1
"155","2016-02-16",10.1
"156","2016-02-17",9.99
"157","2016-02-18",10
"158","2016-02-19",10
"159","2016-02-22",9.83
"160","2016-02-23",9.83
"161","2016-02-24",10
"162","2016-02-25",10
"163","2016-02-26",10
"164","2016-02-29",10
"165","2016-03-01",9.83
"166","2016-03-02",9.83
"167","2016-03-03",10
"168","2016-03-04",10
"169","2016-03-07",10
"170","2016-03-08",9.5
"171","2016-03-09",9.5
"172","2016-03-10",9.5
"173","2016-03-11",9.5
"174","2016-03-14",9.5
"175","2016-03-15",9.5
"176","2016-03-16",9.65
"177","2016-03-17",9.95
"178","2016-03-18",9.95
"179","2016-03-21",9.7
"180","2016-03-22",9.7
"181","2016-03-23",9.7
"182","2016-03-24",9.7
"183","2016-03-28",9.7
"184","2016-03-29",9.7
"185","2016-03-30",9
"186","2016-03-31",8.95
"187","2016-04-01",9.44
"188","2016-04-04",8.9
"189","2016-04-05",8.9
"190","2016-04-06",8.8
"191","2016-04-07",8.8
"192","2016-04-08",9.05
"193","2016-04-11",9.05
"194","2016-04-12",9.05
"195","2016-04-13",8.15
"196","2016-04-14",8.15
"197","2016-04-15",8
"198","2016-04-18",8
"199","2016-04-19",8.05
"200","2016-04-20",8.05
"201","2016-04-21",8.15
"202","2016-04-22",8.25
"203","2016-04-25",9.11
"204","2016-04-26",9.3
"205","2016-04-27",8.17
"206","2016-04-28",7.93
"207","2016-04-29",8
"208","2016-05-02",8
"209","2016-05-03",8.8
"210","2016-05-04",8.6
"211","2016-05-05",8.8
"212","2016-05-06",8.8
"213","2016-05-09",9.03
"214","2016-05-10",9.03
"215","2016-05-11",9.03
"216","2016-05-12",8.07
"217","2016-05-13",7.87
"218","2016-05-16",8.5
"219","2016-05-17",8.5
"220","2016-05-18",7.97
"221","2016-05-19",7.97
"222","2016-05-20",8.3
"223","2016-05-23",8.3
"224","2016-05-24",8.3
"225","2016-05-25",9.37
"226","2016-05-26",8
"227","2016-05-27",8
"228","2016-05-31",8
"229","2016-06-01",8
"230","2016-06-02",8
"231","2016-06-03",8
"232","2016-06-06",8
"233","2016-06-07",8
"234","2016-06-08",8
"235","2016-06-09",8
"236","2016-06-10",8
"237","2016-06-13",7.48
"238","2016-06-14",7.638
"239","2016-06-15",7.638
"240","2016-06-16",7.638
"241","2016-06-17",7.638
"242","2016-06-20",8.19
"243","2016-06-21",8.19
"244","2016-06-22",8.5
"245","2016-06-23",8.5
"246","2016-06-24",8.5
"247","2016-06-27",8.6
"248","2016-06-28",8.4
"249","2016-06-29",8.4
"250","2016-06-30",8.6
"251","2016-07-01",8.8
"252","2016-07-05",8.8
"253","2016-07-06",8.55
"254","2016-07-07",8.55
"255","2016-07-08",8.35
"256","2016-07-11",8.5
"257","2016-07-12",8.45
"258","2016-07-13",8.5
"259","2016-07-14",8.7
"260","2016-07-15",8.52
"261","2016-07-18",8.52
"262","2016-07-19",8.59
"263","2016-07-20",8.5
"264","2016-07-21",8.6
"265","2016-07-22",8.7
"266","2016-07-25",8.95
"267","2016-07-26",8.96
"268","2016-07-27",9
"269","2016-07-28",8.8
"270","2016-07-29",8.8
"271","2016-08-01",8.99
"272","2016-08-02",8.93
"273","2016-08-03",8.53
"274","2016-08-04",8.7
"275","2016-08-05",8.8
"276","2016-08-08",8.9
"277","2016-08-09",8.95
"278","2016-08-10",8.95
"279","2016-08-11",8.95
"280","2016-08-12",8.9
"281","2016-08-15",8.5
"282","2016-08-16",8.7
"283","2016-08-17",8.18
"284","2016-08-18",8.3
"285","2016-08-19",8.4
"286","2016-08-22",8.29
"287","2016-08-23",8.1
"288","2016-08-24",8.45
"289","2016-08-25",8.5
"290","2016-08-26",8.17
"291","2016-08-29",8.17
"292","2016-08-30",8.495
"293","2016-08-31",8.5
"294","2016-09-01",7.65
"295","2016-09-02",8.4
"296","2016-09-06",8.42
"297","2016-09-07",8.44
"298","2016-09-08",8.14
"299","2016-09-09",8.4
"300","2016-09-12",8.4
"301","2016-09-13",8.4
"302","2016-09-14",8.4
"303","2016-09-15",7.98
"304","2016-09-16",8.26
"305","2016-09-19",8.26
"306","2016-09-20",8.3
"307","2016-09-21",8.35
"308","2016-09-22",8.366
"309","2016-09-23",8.5
"310","2016-09-26",8.5
"311","2016-09-27",8.5
"312","2016-09-28",8.5
"313","2016-09-29",8.5
"314","2016-09-30",8.55
"315","2016-10-03",8.55
"316","2016-10-04",8.55
"317","2016-10-05",8.58
"318","2016-10-06",8.5
"319","2016-10-07",8.55
"320","2016-10-10",8.55
"321","2016-10-11",8.23
"322","2016-10-12",8.23
"323","2016-10-13",8.23
"324","2016-10-14",8.4
"325","2016-10-17",8.4
"326","2016-10-18",8.4
"327","2016-10-19",8.4
"328","2016-10-20",8.45
"329","2016-10-21",8.45
"330","2016-10-24",8.45
"331","2016-10-25",8.45
"332","2016-10-26",8.5
"333","2016-10-27",8.5
"334","2016-10-28",8.5
"335","2016-10-31",7.85
"336","2016-11-01",7.85
"337","2016-11-02",7.86
"338","2016-11-03",7.9
"339","2016-11-04",8.04
"340","2016-11-07",8.04
"341","2016-11-08",8.04
"342","2016-11-09",8.04
"343","2016-11-10",8.04
"344","2016-11-11",8.05
"345","2016-11-14",8.05
"346","2016-11-15",8.1
"347","2016-11-16",8.1
"348","2016-11-17",8.1
"349","2016-11-18",8.1
"350","2016-11-21",8.1
"351","2016-11-22",8.1
"352","2016-11-23",8.1
"353","2016-11-25",8.5
"354","2016-11-28",8.57
"355","2016-11-29",8.57
"356","2016-11-30",7.885
"357","2016-12-01",7.885
"358","2016-12-02",7.885
"359","2016-12-05",7.885
"360","2016-12-06",7.885
"361","2016-12-07",7.85
"362","2016-12-08",7.85
"363","2016-12-09",7.85
"364","2016-12-12",7.85
"365","2016-12-13",7.85
"366","2016-12-14",7.85
"367","2016-12-15",7.85
"368","2016-12-16",7.85
"369","2016-12-19",7.85
"370","2016-12-20",7.85
"371","2016-12-21",7.85
"372","2016-12-22",7.85
"373","2016-12-23",7.85
