"","date","CREX"
"1","2007-01-03",915
"2","2007-01-04",939
"3","2007-01-05",982.5
"4","2007-01-08",982.5
"5","2007-01-09",1050
"6","2007-01-10",1050
"7","2007-01-11",1039.5
"8","2007-01-12",1057.5
"9","2007-01-16",1180.5
"10","2007-01-17",1065
"11","2007-01-18",1003.5
"12","2007-01-19",996
"13","2007-01-22",963
"14","2007-01-23",969
"15","2007-01-24",952.5
"16","2007-01-25",937.5
"17","2007-01-26",900
"18","2007-01-29",895.5
"19","2007-01-30",894
"20","2007-01-31",880.5
"21","2007-02-01",895.5
"22","2007-02-02",838.5
"23","2007-02-05",864
"24","2007-02-06",903
"25","2007-02-07",915
"26","2007-02-08",910.5
"27","2007-02-09",951
"28","2007-02-12",987
"29","2007-02-13",991.5
"30","2007-02-14",1012.5
"31","2007-02-15",952.5
"32","2007-02-16",958.5
"33","2007-02-20",1026
"34","2007-02-21",1036.5
"35","2007-02-22",1059
"36","2007-02-23",1051.5
"37","2007-02-26",1032
"38","2007-02-27",967.5
"39","2007-02-28",967.5
"40","2007-03-01",945
"41","2007-03-02",981
"42","2007-03-05",990
"43","2007-03-06",1012.5
"44","2007-03-07",1000.5
"45","2007-03-08",1026
"46","2007-03-09",1036.5
"47","2007-03-12",1113
"48","2007-03-13",1089
"49","2007-03-14",1090.5
"50","2007-03-15",1086
"51","2007-03-16",1084.5
"52","2007-03-19",1036.5
"53","2007-03-20",1047
"54","2007-03-21",1069.5
"55","2007-03-22",1057.5
"56","2007-03-23",1057.5
"57","2007-03-26",1195.5
"58","2007-03-27",1179
"59","2007-03-28",1185
"60","2007-03-29",1291.5
"61","2007-03-30",1333.5
"62","2007-04-02",1398
"63","2007-04-03",1336.5
"64","2007-04-04",1348.5
"65","2007-04-05",1309.5
"66","2007-04-09",1273.5
"67","2007-04-10",1266
"68","2007-04-11",1291.5
"69","2007-04-12",1392
"70","2007-04-13",1407
"71","2007-04-16",1438.5
"72","2007-04-17",1422
"73","2007-04-18",1500
"74","2007-04-19",1498.5
"75","2007-04-20",1518
"76","2007-04-23",1512
"77","2007-04-24",1447.5
"78","2007-04-25",1393.5
"79","2007-04-26",1410
"80","2007-04-27",1351.5
"81","2007-04-30",1353
"82","2007-05-01",1339.5
"83","2007-05-02",1320
"84","2007-05-03",1333.5
"85","2007-05-04",1329
"86","2007-05-07",1365
"87","2007-05-08",1327.5
"88","2007-05-09",1380
"89","2007-05-10",1336.5
"90","2007-05-11",1365
"91","2007-05-14",1353
"92","2007-05-15",1269
"93","2007-05-16",1110
"94","2007-05-17",1111.5
"95","2007-05-18",1200
"96","2007-05-21",1107
"97","2007-05-22",1086
"98","2007-05-23",1096.5
"99","2007-05-24",1092
"100","2007-05-25",1093.5
"101","2007-05-29",1050
"102","2007-05-30",999
"103","2007-05-31",1002
"104","2007-06-01",1092
"105","2007-06-04",1072.5
"106","2007-06-05",1054.5
"107","2007-06-06",1048.5
"108","2007-06-07",1017
"109","2007-06-08",963
"110","2007-06-11",1069.5
"111","2007-06-12",1093.5
"112","2007-06-13",1110
"113","2007-06-14",1192.5
"114","2007-06-15",1206
"115","2007-06-18",1149
"116","2007-06-19",1153.5
"117","2007-06-20",1182
"118","2007-06-21",1192.5
"119","2007-06-22",1165.5
"120","2007-06-25",1194
"121","2007-06-26",1162.5
"122","2007-06-27",1203
"123","2007-06-28",1197
"124","2007-06-29",1200
"125","2007-07-02",1291.5
"126","2007-07-03",1269
"127","2007-07-05",1264.5
"128","2007-07-06",1296
"129","2007-07-09",1318.5
"130","2007-07-10",1330.5
"131","2007-07-11",1302
"132","2007-07-12",1315.5
"133","2007-07-13",1323
"134","2007-07-16",1351.5
"135","2007-07-17",1384.5
"136","2007-07-18",1435.5
"137","2007-07-19",1422
"138","2007-07-20",1399.5
