"","date","COE"
"1","2016-06-10",18.98
"2","2016-06-13",21.26
"3","2016-06-14",21.75
"4","2016-06-15",21.549999
"5","2016-06-16",20
"6","2016-06-17",20.26
"7","2016-06-20",20.5
"8","2016-06-21",23.299999
"9","2016-06-22",23.120001
"10","2016-06-23",22.84
"11","2016-06-24",20.92
"12","2016-06-27",19.48
"13","2016-06-28",20.1
"14","2016-06-29",19.9
"15","2016-06-30",19.83
"16","2016-07-01",20.34
"17","2016-07-05",19.969999
"18","2016-07-06",19.75
"19","2016-07-07",19.68
"20","2016-07-08",19.66
"21","2016-07-11",20.045
"22","2016-07-12",20.41
"23","2016-07-13",19.860001
"24","2016-07-14",19.84
"25","2016-07-15",20
"26","2016-07-18",19.77
"27","2016-07-19",19.370001
"28","2016-07-20",19.719999
"29","2016-07-21",19.99
"30","2016-07-22",20
"31","2016-07-25",19.99
"32","2016-07-26",19.99
"33","2016-07-27",20.200001
"34","2016-07-28",20.790001
"35","2016-07-29",20.09
"36","2016-08-01",20.18
"37","2016-08-02",19.790001
"38","2016-08-03",20.85
"39","2016-08-04",21.969999
"40","2016-08-05",23.950001
"41","2016-08-08",23.459999
"42","2016-08-09",23.299999
"43","2016-08-10",23.08
"44","2016-08-11",22.889999
"45","2016-08-12",22.65
"46","2016-08-15",21.6
"47","2016-08-16",21.77
"48","2016-08-17",21.99
"49","2016-08-18",21.43
"50","2016-08-19",21.780001
"51","2016-08-22",21.99
"52","2016-08-23",21.799999
"53","2016-08-24",21.08
"54","2016-08-25",21.41
"55","2016-08-26",20.08
"56","2016-08-29",20.059999
"57","2016-08-30",20.870001
"58","2016-08-31",20.33
"59","2016-09-01",20.120001
"60","2016-09-02",20.52
"61","2016-09-06",21.379999
"62","2016-09-07",21.950001
"63","2016-09-08",21.9
"64","2016-09-09",21.59
"65","2016-09-12",21.454
"66","2016-09-13",21.99
"67","2016-09-14",21.84
"68","2016-09-15",21.99
"69","2016-09-16",22.34
"70","2016-09-19",22.200001
"71","2016-09-20",22
"72","2016-09-21",21.59
"73","2016-09-22",21.969999
"74","2016-09-23",21.5
"75","2016-09-26",21.5
"76","2016-09-27",21.059999
"77","2016-09-28",20.93
"78","2016-09-29",20.99
"79","2016-09-30",20.9
"80","2016-10-03",20.9
"81","2016-10-04",21.690001
"82","2016-10-05",21.26
"83","2016-10-06",20.700001
"84","2016-10-07",20.045
"85","2016-10-10",20.15
"86","2016-10-11",19.549999
"87","2016-10-12",19.74
"88","2016-10-13",19.9
"89","2016-10-14",19.76
"90","2016-10-17",19.469999
"91","2016-10-18",19.290001
"92","2016-10-19",19.17
"93","2016-10-20",18.6
"94","2016-10-21",18.91
"95","2016-10-24",19
"96","2016-10-25",18.27
"97","2016-10-26",18
"98","2016-10-27",18
"99","2016-10-28",17.860001
"100","2016-10-31",17.32
"101","2016-11-01",16.32
"102","2016-11-02",16.18
"103","2016-11-03",15.75
"104","2016-11-04",16.040001
