"","date","RCUS"
"1","2018-03-15",17
"2","2018-03-16",17.6
"3","2018-03-19",16.73
"4","2018-03-20",17.200001
"5","2018-03-21",17.709999
"6","2018-03-22",16.639999
"7","2018-03-23",16.07
"8","2018-03-26",16.42
"9","2018-03-27",16.4
"10","2018-03-28",16.02
"11","2018-03-29",15.44
"12","2018-04-02",15.89
"13","2018-04-03",15.61
"14","2018-04-04",15.65
"15","2018-04-05",15.05
"16","2018-04-06",14.34
"17","2018-04-09",13.69
"18","2018-04-10",13.55
"19","2018-04-11",14.85
"20","2018-04-12",14.9
"21","2018-04-13",15.27
"22","2018-04-16",16.709999
"23","2018-04-17",16.950001
"24","2018-04-18",16.4
"25","2018-04-19",16.15
"26","2018-04-20",16.299999
"27","2018-04-23",16
"28","2018-04-24",15.39
"29","2018-04-25",15.48
"30","2018-04-26",15.64
"31","2018-04-27",15.34
"32","2018-04-30",15.22
"33","2018-05-01",15.09
"34","2018-05-02",15.68
"35","2018-05-03",16.299999
"36","2018-05-04",17.049999
"37","2018-05-07",16.370001
"38","2018-05-08",15.86
"39","2018-05-09",16.84
"40","2018-05-10",16.32
"41","2018-05-11",16.01
"42","2018-05-14",15.69
"43","2018-05-15",16.129999
"44","2018-05-16",16.190001
"45","2018-05-17",16.280001
"46","2018-05-18",16.120001
"47","2018-05-21",15.98
"48","2018-05-22",16.709999
"49","2018-05-23",15.9
"50","2018-05-24",16.18
"51","2018-05-25",16.25
"52","2018-05-29",15.99
"53","2018-05-30",15.83
"54","2018-05-31",15.93
"55","2018-06-01",15.51
"56","2018-06-04",16.15
"57","2018-06-05",15.85
"58","2018-06-06",15.96
"59","2018-06-07",16.280001
"60","2018-06-08",16.950001
"61","2018-06-11",16.120001
"62","2018-06-12",16.41
"63","2018-06-13",16.370001
"64","2018-06-14",16.059999
"65","2018-06-15",16.02
"66","2018-06-18",16
"67","2018-06-19",16.950001
"68","2018-06-20",16.26
"69","2018-06-21",16.02
"70","2018-06-22",15.45
"71","2018-06-25",14.56
"72","2018-06-26",14.22
"73","2018-06-27",12.85
"74","2018-06-28",12.95
"75","2018-06-29",12.24
"76","2018-07-02",12.52
"77","2018-07-03",12.75
"78","2018-07-05",12.59
"79","2018-07-06",12.94
"80","2018-07-09",12.63
"81","2018-07-10",12.51
"82","2018-07-11",12.47
"83","2018-07-12",12.11
"84","2018-07-13",12.22
"85","2018-07-16",11.69
"86","2018-07-17",11.12
"87","2018-07-18",11.44
"88","2018-07-19",12.09
"89","2018-07-20",11.46
"90","2018-07-23",11.55
"91","2018-07-24",11.54
"92","2018-07-25",11.44
"93","2018-07-26",11.67
"94","2018-07-27",11.32
"95","2018-07-30",11.55
"96","2018-07-31",11.7
"97","2018-08-01",11.53
"98","2018-08-02",11.24
"99","2018-08-03",11
"100","2018-08-06",10.88
"101","2018-08-07",11.24
"102","2018-08-08",11.52
"103","2018-08-09",11.93
"104","2018-08-10",11.83
"105","2018-08-13",11.84
"106","2018-08-14",12.29
"107","2018-08-15",12.97
"108","2018-08-16",13.17
"109","2018-08-17",13.27
"110","2018-08-20",13.1
"111","2018-08-21",13.5
"112","2018-08-22",13.64
"113","2018-08-23",13.48
"114","2018-08-24",13.48
"115","2018-08-27",14.95
"116","2018-08-28",14.89
"117","2018-08-29",13.93
"118","2018-08-30",14.47
"119","2018-08-31",14.4
"120","2018-09-04",14.47
"121","2018-09-05",13.09
"122","2018-09-06",13.06
"123","2018-09-07",12.85
"124","2018-09-10",12.99
"125","2018-09-11",13.4
"126","2018-09-12",13.18
"127","2018-09-13",14.19
"128","2018-09-14",14.13
"129","2018-09-17",12.94
"130","2018-09-18",13.32
"131","2018-09-19",14.02
"132","2018-09-20",13.87
"133","2018-09-21",13.51
"134","2018-09-24",13.47
"135","2018-09-25",13.7
"136","2018-09-26",13.85
"137","2018-09-27",13.58
"138","2018-09-28",13.94
"139","2018-10-01",14.5
"140","2018-10-02",14.41
"141","2018-10-03",14.25
"142","2018-10-04",13.94
"143","2018-10-05",13.84
"144","2018-10-08",12.88
"145","2018-10-09",13.3
"146","2018-10-10",13.03
"147","2018-10-11",12.76
"148","2018-10-12",12.44
"149","2018-10-15",12.31
"150","2018-10-16",12.62
"151","2018-10-17",12.42
"152","2018-10-18",12.4
"153","2018-10-19",11.79
"154","2018-10-22",12.25
"155","2018-10-23",10.8
"156","2018-10-24",9.76
"157","2018-10-25",10.03
"158","2018-10-26",10.29
"159","2018-10-29",9.74
"160","2018-10-30",10.08
"161","2018-10-31",10.05
"162","2018-11-01",10.58
"163","2018-11-02",10.81
"164","2018-11-05",10.99
"165","2018-11-06",11.15
"166","2018-11-07",11.26
"167","2018-11-08",11.84
"168","2018-11-09",12.26
"169","2018-11-12",12
"170","2018-11-13",11.14
"171","2018-11-14",11.34
"172","2018-11-15",11.59
"173","2018-11-16",11.65
"174","2018-11-19",11.44
"175","2018-11-20",11.02
"176","2018-11-21",11.66
"177","2018-11-23",11.63
"178","2018-11-26",11.26
"179","2018-11-27",10.93
"180","2018-11-28",11.52
"181","2018-11-29",11.44
"182","2018-11-30",11.42
"183","2018-12-03",12.81
"184","2018-12-04",12.27
"185","2018-12-06",11.92
"186","2018-12-07",12.16
"187","2018-12-10",12.64
"188","2018-12-11",12.15
"189","2018-12-12",12.25
"190","2018-12-13",12.58
"191","2018-12-14",12.54
"192","2018-12-17",11.82
"193","2018-12-18",10.97
"194","2018-12-19",10.8
"195","2018-12-20",10.01
"196","2018-12-21",9.83
"197","2018-12-24",9.99
"198","2018-12-26",10.59
"199","2018-12-27",9.76
"200","2018-12-28",10.72
"201","2018-12-31",10.77
"202","2019-01-02",10.68
"203","2019-01-03",10.42
"204","2019-01-04",8.95
"205","2019-01-07",9.61
"206","2019-01-08",9.87
"207","2019-01-09",10.12
"208","2019-01-10",9.97
"209","2019-01-11",9.99
"210","2019-01-14",9.07
"211","2019-01-15",9.8
"212","2019-01-16",10.36
"213","2019-01-17",10.2
"214","2019-01-18",10.05
"215","2019-01-22",9.63
"216","2019-01-23",9.43
"217","2019-01-24",9.36
"218","2019-01-25",10.25
"219","2019-01-28",9.47
"220","2019-01-29",9.03
"221","2019-01-30",9.5
"222","2019-01-31",10.17
"223","2019-02-01",10.42
"224","2019-02-04",9.78
"225","2019-02-05",10.08
"226","2019-02-06",10.14
"227","2019-02-07",10.12
"228","2019-02-08",10.81
"229","2019-02-11",10.44
"230","2019-02-12",10.41
"231","2019-02-13",11.16
"232","2019-02-14",10.75
"233","2019-02-15",11.89
"234","2019-02-19",11.21
"235","2019-02-20",11.6
"236","2019-02-21",11.99
"237","2019-02-22",11.65
"238","2019-02-25",11.76
"239","2019-02-26",11.66
"240","2019-02-27",11.54
"241","2019-02-28",11.79
"242","2019-03-01",11.96
"243","2019-03-04",12
