"","date","OMER"
"1","2009-10-08",8.73
"2","2009-10-09",8.46
"3","2009-10-12",8.41
"4","2009-10-13",7.47
"5","2009-10-14",7.44
"6","2009-10-15",7.03
"7","2009-10-16",6.88
"8","2009-10-19",7
"9","2009-10-20",6.82
"10","2009-10-21",6.91
"11","2009-10-22",6.93
"12","2009-10-23",6.58
"13","2009-10-26",6.45
"14","2009-10-27",6.01
"15","2009-10-28",5.71
"16","2009-10-29",5.58
"17","2009-10-30",5.4
"18","2009-11-02",5.79
"19","2009-11-03",6.51
"20","2009-11-04",6.5
"21","2009-11-05",6.7
"22","2009-11-06",6.85
"23","2009-11-09",6.7
"24","2009-11-10",6.44
"25","2009-11-11",6.44
"26","2009-11-12",6.06
"27","2009-11-13",6.71
"28","2009-11-16",6.86
"29","2009-11-17",7.33
"30","2009-11-18",7.7
"31","2009-11-19",7.7
"32","2009-11-20",7.5
"33","2009-11-23",7.05
"34","2009-11-24",7.15
"35","2009-11-25",7.12
"36","2009-11-27",6.63
"37","2009-11-30",6.81
"38","2009-12-01",6.92
"39","2009-12-02",6.93
"40","2009-12-03",7.01
"41","2009-12-04",7.07
"42","2009-12-07",7.16
"43","2009-12-08",7.01
"44","2009-12-09",7.01
"45","2009-12-10",7.09
"46","2009-12-11",7.1
"47","2009-12-14",7.29
"48","2009-12-15",7.56
"49","2009-12-16",7.48
"50","2009-12-17",7.5
"51","2009-12-18",7.53
"52","2009-12-21",7.7
"53","2009-12-22",7.52
"54","2009-12-23",7.23
"55","2009-12-24",7.2
"56","2009-12-28",7.22
"57","2009-12-29",7.32
"58","2009-12-30",7.33
"59","2009-12-31",7.02
"60","2010-01-04",7.29
"61","2010-01-05",6.96
"62","2010-01-06",6.85
"63","2010-01-07",6.78
"64","2010-01-08",6.83
"65","2010-01-11",6.78
"66","2010-01-12",6.63
"67","2010-01-13",6.67
"68","2010-01-14",6.7
"69","2010-01-15",6.69
"70","2010-01-19",6.88
"71","2010-01-20",6.73
"72","2010-01-21",6.55
"73","2010-01-22",6.39
"74","2010-01-25",6.32
"75","2010-01-26",6.07
"76","2010-01-27",5.95
"77","2010-01-28",5.69
"78","2010-01-29",6.38
"79","2010-02-01",6.06
"80","2010-02-02",6.09
"81","2010-02-03",6.05
"82","2010-02-04",5.85
"83","2010-02-05",5.87
"84","2010-02-08",5.82
"85","2010-02-09",5.69
"86","2010-02-10",5.73
"87","2010-02-11",5.6
"88","2010-02-12",5.79
"89","2010-02-16",5.78
"90","2010-02-17",5.78
"91","2010-02-18",5.59
"92","2010-02-19",5.64
"93","2010-02-22",5.5
"94","2010-02-23",5.68
"95","2010-02-24",5.59
"96","2010-02-25",5.59
"97","2010-02-26",5.61
"98","2010-03-01",5.98
"99","2010-03-02",6
"100","2010-03-03",6.03
"101","2010-03-04",5.98
"102","2010-03-05",6.36
"103","2010-03-08",6.34
"104","2010-03-09",6.3
"105","2010-03-10",6.3
"106","2010-03-11",6.28
"107","2010-03-12",6.32
"108","2010-03-15",6.34
"109","2010-03-16",6.3
"110","2010-03-17",6.21
"111","2010-03-18",6.36
"112","2010-03-19",6.27
"113","2010-03-22",6.08
"114","2010-03-23",6.08
"115","2010-03-24",5.99
"116","2010-03-25",5.99
"117","2010-03-26",5.98
"118","2010-03-29",6.05
"119","2010-03-30",6.03
"120","2010-03-31",7.04
"121","2010-04-01",6.53
"122","2010-04-05",6.19
"123","2010-04-06",6.17
"124","2010-04-07",6.31
"125","2010-04-08",6.36
"126","2010-04-09",6.31
"127","2010-04-12",6.25
"128","2010-04-13",6.28
"129","2010-04-14",6.09
"130","2010-04-15",6.08
"131","2010-04-16",5.88
"132","2010-04-19",5.83
"133","2010-04-20",5.88
"134","2010-04-21",5.95
"135","2010-04-22",5.91
"136","2010-04-23",6.01
"137","2010-04-26",5.93
"138","2010-04-27",5.67
"139","2010-04-28",5.84
"140","2010-04-29",6.15
"141","2010-04-30",5.9
"142","2010-05-03",6.1
"143","2010-05-04",6.13
"144","2010-05-05",6.02
"145","2010-05-06",5.97
"146","2010-05-07",5.78
"147","2010-05-10",6.28
"148","2010-05-11",6.3
"149","2010-05-12",6.12
"150","2010-05-13",6.1
"151","2010-05-14",5.98
"152","2010-05-17",5.81
"153","2010-05-18",5.5
"154","2010-05-19",5.5
"155","2010-05-20",5.46
"156","2010-05-21",5.3
"157","2010-05-24",5.24
"158","2010-05-25",5.57
"159","2010-05-26",5.37
"160","2010-05-27",5.91
"161","2010-05-28",5.92
"162","2010-06-01",5.52
"163","2010-06-02",5.46
"164","2010-06-03",5.62
"165","2010-06-04",5.35
"166","2010-06-07",5.44
"167","2010-06-08",5.49
"168","2010-06-09",5.44
"169","2010-06-10",5.54
"170","2010-06-11",5.56
"171","2010-06-14",5.87
"172","2010-06-15",6
"173","2010-06-16",5.87
"174","2010-06-17",5.83
"175","2010-06-18",6.08
"176","2010-06-21",6.06
"177","2010-06-22",6.18
"178","2010-06-23",6.38
"179","2010-06-24",6.62
"180","2010-06-25",7.72
"181","2010-06-28",7.64
"182","2010-06-29",7.57
"183","2010-06-30",7.42
"184","2010-07-01",7.22
"185","2010-07-02",7.15
"186","2010-07-06",7.22
"187","2010-07-07",7.56
"188","2010-07-08",7.91
"189","2010-07-09",7.91
"190","2010-07-12",7.89
"191","2010-07-13",8.77
"192","2010-07-14",8.69
"193","2010-07-15",8.72
"194","2010-07-16",8.18
"195","2010-07-19",8.18
"196","2010-07-20",8.13
"197","2010-07-21",7.39
"198","2010-07-22",7.5
"199","2010-07-23",7.5
"200","2010-07-26",7.5
"201","2010-07-27",7.5
"202","2010-07-28",7.38
"203","2010-07-29",7.37
"204","2010-07-30",7.25
