"","date","AER"
"1","2007-01-03",23.35
"2","2007-01-04",23.450001
"3","2007-01-05",24.110001
"4","2007-01-08",24.940001
"5","2007-01-09",25.75
"6","2007-01-10",26.15
"7","2007-01-11",27.07
"8","2007-01-12",26.92
"9","2007-01-16",26.799999
"10","2007-01-17",26.42
"11","2007-01-18",26
"12","2007-01-19",25.6
"13","2007-01-22",25.450001
"14","2007-01-23",26.290001
"15","2007-01-24",27.1
"16","2007-01-25",26.52
"17","2007-01-26",25.940001
"18","2007-01-29",25.9
"19","2007-01-30",26.450001
"20","2007-01-31",26.549999
"21","2007-02-01",26.860001
"22","2007-02-02",26.91
"23","2007-02-05",27.059999
"24","2007-02-06",26.99
"25","2007-02-07",26.5
"26","2007-02-08",26
"27","2007-02-09",25.879999
"28","2007-02-12",25.65
"29","2007-02-13",25.6
"30","2007-02-14",26.129999
"31","2007-02-15",26.450001
"32","2007-02-16",26.049999
"33","2007-02-20",26.9
"34","2007-02-21",26.799999
"35","2007-02-22",26.9
"36","2007-02-23",27.040001
"37","2007-02-26",27.25
"38","2007-02-27",26.75
"39","2007-02-28",27.9
"40","2007-03-01",27.129999
"41","2007-03-02",26.950001
"42","2007-03-05",26.42
"43","2007-03-06",26.379999
"44","2007-03-07",26.15
"45","2007-03-08",25.98
"46","2007-03-09",26.549999
"47","2007-03-12",27.129999
"48","2007-03-13",26.459999
"49","2007-03-14",26.870001
"50","2007-03-15",27.209999
"51","2007-03-16",27.200001
"52","2007-03-19",27
"53","2007-03-20",27.15
"54","2007-03-21",27.32
"55","2007-03-22",27.809999
"56","2007-03-23",29.110001
"57","2007-03-26",28.9
"58","2007-03-27",28.620001
"59","2007-03-28",27.84
"60","2007-03-29",29.200001
"61","2007-03-30",29.110001
"62","2007-04-02",29.209999
"63","2007-04-03",30.24
"64","2007-04-04",30.41
"65","2007-04-05",30.35
"66","2007-04-09",30.23
"67","2007-04-10",30.26
"68","2007-04-11",29.959999
"69","2007-04-12",30.129999
"70","2007-04-13",29.9
"71","2007-04-16",29.52
"72","2007-04-17",29.299999
"73","2007-04-18",28.809999
"74","2007-04-19",29.09
"75","2007-04-20",29.690001
"76","2007-04-23",29.83
"77","2007-04-24",29.25
"78","2007-04-25",29.09
"79","2007-04-26",28.799999
"80","2007-04-27",28.799999
"81","2007-04-30",29.17
"82","2007-05-01",29
"83","2007-05-02",28.860001
"84","2007-05-03",28.559999
"85","2007-05-04",28.76
"86","2007-05-07",28.6
"87","2007-05-08",29.15
"88","2007-05-09",29.030001
"89","2007-05-10",28.85
"90","2007-05-11",30
"91","2007-05-14",30.299999
"92","2007-05-15",30.6
"93","2007-05-16",29.83
"94","2007-05-17",30.16
"95","2007-05-18",30.049999
"96","2007-05-21",30.01
"97","2007-05-22",30.32
"98","2007-05-23",30.25
"99","2007-05-24",29.219999
"100","2007-05-25",29.66
"101","2007-05-29",29.959999
"102","2007-05-30",30.299999
"103","2007-05-31",31
"104","2007-06-01",30.629999
"105","2007-06-04",30.620001
"106","2007-06-05",30.940001
"107","2007-06-06",30.66
"108","2007-06-07",30.65
"109","2007-06-08",30.51
"110","2007-06-11",30.549999
"111","2007-06-12",30.41
"112","2007-06-13",30.790001
"113","2007-06-14",30.91
"114","2007-06-15",30.93
"115","2007-06-18",31.73
"116","2007-06-19",31.99
"117","2007-06-20",32.16
"118","2007-06-21",31.620001
"119","2007-06-22",31.92
"120","2007-06-25",31.24
"121","2007-06-26",30.809999
"122","2007-06-27",30.67
"123","2007-06-28",31.4
"124","2007-06-29",32
"125","2007-07-02",31.639999
"126","2007-07-03",32.27
"127","2007-07-05",32.540001
"128","2007-07-06",32.32
"129","2007-07-09",32.25
"130","2007-07-10",31.879999
"131","2007-07-11",31.309999
"132","2007-07-12",31.48
"133","2007-07-13",31.15
"134","2007-07-16",30.75
"135","2007-07-17",31
"136","2007-07-18",30.26
"137","2007-07-19",31
"138","2007-07-20",30.35
"139","2007-07-23",30.629999
"140","2007-07-24",29.57
"141","2007-07-25",29.559999
"142","2007-07-26",28.99
"143","2007-07-27",27.98
"144","2007-07-30",27.65
"145","2007-07-31",25.959999
"146","2007-08-01",25
"147","2007-08-02",25.049999
"148","2007-08-03",24.92
"149","2007-08-06",25.190001
"150","2007-08-07",24.25
"151","2007-08-08",24.85
"152","2007-08-09",23.299999
"153","2007-08-10",24
"154","2007-08-13",25.18
"155","2007-08-14",24.75
"156","2007-08-15",24.030001
"157","2007-08-16",22.85
"158","2007-08-17",24.32
"159","2007-08-20",25.030001
"160","2007-08-21",25.41
"161","2007-08-22",25.799999
"162","2007-08-23",25.32
"163","2007-08-24",25.57
"164","2007-08-27",24.780001
"165","2007-08-28",24.200001
"166","2007-08-29",24.5
"167","2007-08-30",24.07
"168","2007-08-31",25.440001
"169","2007-09-04",25.92
"170","2007-09-05",25.85
"171","2007-09-06",25.639999
"172","2007-09-07",25.549999
"173","2007-09-10",24.950001
"174","2007-09-11",25
"175","2007-09-12",24.610001
"176","2007-09-13",24.190001
"177","2007-09-14",24.709999
"178","2007-09-17",24.969999
"179","2007-09-18",25.84
"180","2007-09-19",26.200001
"181","2007-09-20",25.85
"182","2007-09-21",25.93
"183","2007-09-24",25.719999
"184","2007-09-25",25.4
"185","2007-09-26",24.950001
"186","2007-09-27",25.1
"187","2007-09-28",24.889999
"188","2007-10-01",25.82
"189","2007-10-02",27.01
"190","2007-10-03",26.309999
"191","2007-10-04",26.68
"192","2007-10-05",27.25
"193","2007-10-08",27
"194","2007-10-09",26.75
"195","2007-10-10",27.6
"196","2007-10-11",28.35
