"","date","WPRT"
"1","2008-08-15",12.14
"2","2008-08-18",12.48
"3","2008-08-19",12.31
"4","2008-08-20",12
"5","2008-08-21",11.85
"6","2008-08-22",12.06
"7","2008-08-25",11.95
"8","2008-08-26",12.01
"9","2008-08-27",12.24
"10","2008-08-28",12.45
"11","2008-08-29",12.56
"12","2008-09-02",12.11
"13","2008-09-03",11.86
"14","2008-09-04",12.29
"15","2008-09-05",12.07
"16","2008-09-08",12.24
"17","2008-09-09",11.33
"18","2008-09-10",10.98
"19","2008-09-11",12.05
"20","2008-09-12",12.5
"21","2008-09-15",12.2
"22","2008-09-16",11.05
"23","2008-09-17",9.9
"24","2008-09-18",8.62
"25","2008-09-19",9.79
"26","2008-09-22",10.43
"27","2008-09-23",10.66
"28","2008-09-24",10.64
"29","2008-09-25",11.1
"30","2008-09-26",10.35
"31","2008-09-29",10.35
"32","2008-09-30",9.14
"33","2008-10-01",8.9
"34","2008-10-02",8.05
"35","2008-10-03",7.75
"36","2008-10-06",6.11
"37","2008-10-07",5.43
"38","2008-10-08",4.76
"39","2008-10-09",4.95
"40","2008-10-10",4.39
"41","2008-10-13",5.05
"42","2008-10-14",5.15
"43","2008-10-15",5.72
"44","2008-10-16",5.11
"45","2008-10-17",4.54
"46","2008-10-20",4.21
"47","2008-10-21",4.37
"48","2008-10-22",4.16
"49","2008-10-23",3.98
"50","2008-10-24",3.43
"51","2008-10-27",3.4
"52","2008-10-28",3.63
"53","2008-10-29",4.1
"54","2008-10-30",4.14
"55","2008-10-31",4.43
"56","2008-11-03",5.11
"57","2008-11-04",6.14
"58","2008-11-05",5.21
"59","2008-11-06",4.85
"60","2008-11-07",5.4
"61","2008-11-10",4.67
"62","2008-11-11",4.41
"63","2008-11-12",4.13
"64","2008-11-13",4.15
"65","2008-11-14",4.15
"66","2008-11-17",4.1
"67","2008-11-18",4
"68","2008-11-19",3.97
"69","2008-11-20",3.5
"70","2008-11-21",3.22
"71","2008-11-24",3.72
"72","2008-11-25",4.16
"73","2008-11-26",4.15
"74","2008-11-28",3.96
"75","2008-12-01",4.04
"76","2008-12-02",4.01
"77","2008-12-03",4
"78","2008-12-04",3.97
"79","2008-12-05",3.99
"80","2008-12-08",4
"81","2008-12-09",3.8
"82","2008-12-10",3.71
"83","2008-12-11",3.7
"84","2008-12-12",3.8
"85","2008-12-15",3.93
"86","2008-12-16",4.01
"87","2008-12-17",3.89
"88","2008-12-18",3.87
"89","2008-12-19",4.11
"90","2008-12-22",4.44
"91","2008-12-23",4.26
"92","2008-12-24",4.18
"93","2008-12-26",4.33
"94","2008-12-29",4.41
"95","2008-12-30",4.84
"96","2008-12-31",5.1
"97","2009-01-02",5.4
"98","2009-01-05",6
"99","2009-01-06",6.33
"100","2009-01-07",5.89
"101","2009-01-08",6.02
"102","2009-01-09",5.94
"103","2009-01-12",5.65
"104","2009-01-13",5.46
"105","2009-01-14",5.2
"106","2009-01-15",5.47
"107","2009-01-16",5.6
"108","2009-01-20",5.41
"109","2009-01-21",5.57
"110","2009-01-22",5.73
"111","2009-01-23",5.54
"112","2009-01-26",5.46
"113","2009-01-27",5.55
"114","2009-01-28",5.57
"115","2009-01-29",5.3
"116","2009-01-30",5.27
"117","2009-02-02",5.19
"118","2009-02-03",5.57
"119","2009-02-04",5.24
"120","2009-02-05",5.3
"121","2009-02-06",5.7
"122","2009-02-09",5.47
"123","2009-02-10",5.63
"124","2009-02-11",5.83
"125","2009-02-12",5.34
"126","2009-02-13",5.06
"127","2009-02-17",4.8
"128","2009-02-18",3.98
"129","2009-02-19",3.99
"130","2009-02-20",3.84
"131","2009-02-23",3.93
"132","2009-02-24",4.08
"133","2009-02-25",4.07
"134","2009-02-26",4.1
"135","2009-02-27",4.05
"136","2009-03-02",3.84
"137","2009-03-03",3.59
"138","2009-03-04",3.63
"139","2009-03-05",3.25
"140","2009-03-06",3.18
"141","2009-03-09",3.06
"142","2009-03-10",3.18
"143","2009-03-11",3.53
"144","2009-03-12",3.7
"145","2009-03-13",3.98
"146","2009-03-16",4.12
"147","2009-03-17",4.45
"148","2009-03-18",5.11
"149","2009-03-19",4.68
"150","2009-03-20",4.58
"151","2009-03-23",5.08
"152","2009-03-24",5
"153","2009-03-25",5.15
"154","2009-03-26",5.5
"155","2009-03-27",4.98
"156","2009-03-30",4.8
"157","2009-03-31",4.99
"158","2009-04-01",5.46
"159","2009-04-02",5.8
"160","2009-04-03",6
"161","2009-04-06",5.57
"162","2009-04-07",5.51
"163","2009-04-08",5.54
"164","2009-04-09",5.5
"165","2009-04-13",5.5
"166","2009-04-14",5.49
"167","2009-04-15",5.4
"168","2009-04-16",5.35
"169","2009-04-17",5.29
"170","2009-04-20",4.89
"171","2009-04-21",4.9
"172","2009-04-22",4.67
"173","2009-04-23",4.41
"174","2009-04-24",4.27
"175","2009-04-27",4.4
"176","2009-04-28",4.49
"177","2009-04-29",4.31
"178","2009-04-30",5.04
"179","2009-05-01",5.15
"180","2009-05-04",5.2
"181","2009-05-05",4.97
"182","2009-05-06",4.99
"183","2009-05-07",4.61
"184","2009-05-08",5.24
"185","2009-05-11",5.42
"186","2009-05-12",5.47
"187","2009-05-13",5.14
"188","2009-05-14",5.15
"189","2009-05-15",4.97
"190","2009-05-18",5.64
"191","2009-05-19",5.3
"192","2009-05-20",5.04
"193","2009-05-21",5.47
"194","2009-05-22",5.62
"195","2009-05-26",5.74
"196","2009-05-27",5.8
"197","2009-05-28",5.82
"198","2009-05-29",5.83
"199","2009-06-01",6.7
"200","2009-06-02",7.3
"201","2009-06-03",7
"202","2009-06-04",7.31
"203","2009-06-05",7.2
"204","2009-06-08",7.11
"205","2009-06-09",7.72
"206","2009-06-10",8.14
"207","2009-06-11",8.85
"208","2009-06-12",8.42
"209","2009-06-15",7.8
"210","2009-06-16",7.27
"211","2009-06-17",7.66
"212","2009-06-18",7.62
"213","2009-06-19",7.99
"214","2009-06-22",7.38
"215","2009-06-23",7.39
"216","2009-06-24",8.22
"217","2009-06-25",8.58
"218","2009-06-26",8.5
"219","2009-06-29",8.36
"220","2009-06-30",8.09
"221","2009-07-01",8.46
"222","2009-07-02",7.79
"223","2009-07-06",8.12
"224","2009-07-07",8.12
"225","2009-07-08",8.1
"226","2009-07-09",8.06
"227","2009-07-10",8.28
"228","2009-07-13",8.42
"229","2009-07-14",8.5
"230","2009-07-15",8.7
"231","2009-07-16",8.82
"232","2009-07-17",9.3
"233","2009-07-20",9.48
"234","2009-07-21",8.84
"235","2009-07-22",8.87
"236","2009-07-23",8.21
"237","2009-07-24",8.88
"238","2009-07-27",8.83
"239","2009-07-28",8.77
"240","2009-07-29",8.63
"241","2009-07-30",8.78
"242","2009-07-31",8.97
"243","2009-08-03",9.11
"244","2009-08-04",9.11
"245","2009-08-05",9.19
"246","2009-08-06",8.94
"247","2009-08-07",8.35
"248","2009-08-10",7.99
"249","2009-08-11",7.73
"250","2009-08-12",8.01
"251","2009-08-13",7.95
"252","2009-08-14",7.73
"253","2009-08-17",7.18
"254","2009-08-18",7.25
"255","2009-08-19",7.37
"256","2009-08-20",7.61
"257","2009-08-21",7.86
"258","2009-08-24",7.88
"259","2009-08-25",7.67
"260","2009-08-26",8.79
"261","2009-08-27",10.44
"262","2009-08-28",9.9
"263","2009-08-31",10.07
"264","2009-09-01",9.99
"265","2009-09-02",10.01
"266","2009-09-03",10.81
"267","2009-09-04",10.98
"268","2009-09-08",10.69
"269","2009-09-09",10.68
"270","2009-09-10",10.77
"271","2009-09-11",10.45
"272","2009-09-14",10.95
"273","2009-09-15",10.98
"274","2009-09-16",10.9
"275","2009-09-17",10.25
"276","2009-09-18",10.52
"277","2009-09-21",10.31
"278","2009-09-22",11.43
"279","2009-09-23",11.35
"280","2009-09-24",11.02
"281","2009-09-25",11.66
"282","2009-09-28",12.5
"283","2009-09-29",12.68
"284","2009-09-30",12.7
"285","2009-10-01",11.77
"286","2009-10-02",11.26
"287","2009-10-05",11.55
"288","2009-10-06",12.13
"289","2009-10-07",11.89
"290","2009-10-08",11.89
"291","2009-10-09",12.05
"292","2009-10-12",12.13
"293","2009-10-13",12.1
"294","2009-10-14",12.03
"295","2009-10-15",11.92
"296","2009-10-16",11.82
"297","2009-10-19",11.87
"298","2009-10-20",11.36
"299","2009-10-21",11.34
"300","2009-10-22",11.24
"301","2009-10-23",11.22
"302","2009-10-26",10.74
"303","2009-10-27",10.4
"304","2009-10-28",9.34
"305","2009-10-29",10.16
"306","2009-10-30",9.78
"307","2009-11-02",10.12
"308","2009-11-03",10.22
"309","2009-11-04",10.03
"310","2009-11-05",10.32
"311","2009-11-06",10.21
"312","2009-11-09",10.94
"313","2009-11-10",11.21
"314","2009-11-11",11.62
"315","2009-11-12",11.16
"316","2009-11-13",11.11
"317","2009-11-16",12.23
"318","2009-11-17",12.08
"319","2009-11-18",12.55
"320","2009-11-19",12.28
"321","2009-11-20",12.3
"322","2009-11-23",12.46
"323","2009-11-24",12.21
"324","2009-11-25",12.31
"325","2009-11-27",11.93
"326","2009-11-30",12.21
"327","2009-12-01",12.75
"328","2009-12-02",12.51
"329","2009-12-03",12.2
"330","2009-12-04",12.44
"331","2009-12-07",12.16
