"","date","ASPU"
"1","2013-03-22",6
"2","2013-03-25",6
"3","2013-03-26",6
"4","2013-03-27",6
"5","2013-03-28",6
"6","2013-04-01",6
"7","2013-04-02",6
"8","2013-04-03",6
"9","2013-04-04",6
"10","2013-04-05",5.88
"11","2013-04-08",5.88
"12","2013-04-09",5.88
"13","2013-04-10",5.88
"14","2013-04-11",5.88
"15","2013-04-12",5.88
"16","2013-04-15",5.88
"17","2013-04-16",5.4
"18","2013-04-17",6
"19","2013-04-18",6
"20","2013-04-19",6
"21","2013-04-22",6
"22","2013-04-23",6
"23","2013-04-24",6
"24","2013-04-25",6
"25","2013-04-26",6
"26","2013-04-29",6
"27","2013-04-30",5.88
"28","2013-05-01",5.88
"29","2013-05-02",5.88
"30","2013-05-03",5.4
"31","2013-05-06",4.8
"32","2013-05-07",4.8
"33","2013-05-08",4.8
"34","2013-05-09",4.8
"35","2013-05-10",4.8
"36","2013-05-13",4.2
"37","2013-05-14",4.2
"38","2013-05-15",3.6
"39","2013-05-16",3.6
"40","2013-05-17",4.2
"41","2013-05-20",4.2
"42","2013-05-21",4.2
"43","2013-05-22",3.6
"44","2013-05-23",3.84
"45","2013-05-24",3.84
"46","2013-05-28",3.96
"47","2013-05-29",3.96
"48","2013-05-30",3.96
"49","2013-05-31",3.84
"50","2013-06-03",3.6
"51","2013-06-04",3.6
"52","2013-06-05",3.6
"53","2013-06-06",3
"54","2013-06-07",3
"55","2013-06-10",3
"56","2013-06-11",3
"57","2013-06-12",3
"58","2013-06-13",3
"59","2013-06-14",3
"60","2013-06-17",4.08
"61","2013-06-18",4.32
"62","2013-06-19",6
"63","2013-06-20",5.4
"64","2013-06-21",6
"65","2013-06-24",6.12
"66","2013-06-25",4.8
"67","2013-06-26",4.08
"68","2013-06-27",3.6
"69","2013-06-28",4.56
"70","2013-07-01",4.56
"71","2013-07-02",4.56
"72","2013-07-03",4.56
"73","2013-07-05",4.56
"74","2013-07-08",3.6
"75","2013-07-09",4.2
"76","2013-07-10",3.96
"77","2013-07-11",4.2
"78","2013-07-12",3.96
"79","2013-07-15",3.96
"80","2013-07-16",3.96
"81","2013-07-17",3.84
"82","2013-07-18",3.84
"83","2013-07-19",4.32
"84","2013-07-22",3
"85","2013-07-23",3.6
"86","2013-07-24",3.6
"87","2013-07-25",3
"88","2013-07-26",3.84
"89","2013-07-29",3.648
"90","2013-07-30",3.648
"91","2013-07-31",3.648
"92","2013-08-01",3.48
"93","2013-08-02",3.36
"94","2013-08-05",2.928
"95","2013-08-06",2.64
"96","2013-08-07",2.7
"97","2013-08-08",2.64
"98","2013-08-09",2.52
"99","2013-08-12",2.52
"100","2013-08-13",2.46
"101","2013-08-14",2.4
"102","2013-08-15",2.64
"103","2013-08-16",3.18
"104","2013-08-19",2.76
"105","2013-08-20",2.76
"106","2013-08-21",2.88
"107","2013-08-22",3.372
"108","2013-08-23",3.48
"109","2013-08-26",3.6
"110","2013-08-27",3.48
"111","2013-08-28",3.24
"112","2013-08-29",3.3
"113","2013-08-30",3.216
"114","2013-09-03",3.6
"115","2013-09-04",3.24
"116","2013-09-05",3.48
"117","2013-09-06",3.48
"118","2013-09-09",3.24
"119","2013-09-10",3.336
"120","2013-09-11",3.24
"121","2013-09-12",2.964
"122","2013-09-13",3
"123","2013-09-16",3.024
"124","2013-09-17",2.64
"125","2013-09-18",2.82
"126","2013-09-19",3
"127","2013-09-20",2.52
"128","2013-09-23",2.52
"129","2013-09-24",2.64
"130","2013-09-25",2.88
"131","2013-09-26",2.976
"132","2013-09-27",2.46
"133","2013-09-30",2.46
"134","2013-10-01",2.52
"135","2013-10-02",2.4
"136","2013-10-03",2.4
"137","2013-10-04",2.4
"138","2013-10-07",2.292
"139","2013-10-08",2.52
"140","2013-10-09",2.52
"141","2013-10-10",2.52
"142","2013-10-11",2.28
"143","2013-10-14",2.436
"144","2013-10-15",2.436
"145","2013-10-16",2.436
"146","2013-10-17",2.4
"147","2013-10-18",2.4
"148","2013-10-21",2.64
"149","2013-10-22",2.64
"150","2013-10-23",2.76
"151","2013-10-24",2.76
"152","2013-10-25",2.76
"153","2013-10-28",2.64
"154","2013-10-29",2.64
"155","2013-10-30",2.52
"156","2013-10-31",2.7
"157","2013-11-01",2.7
"158","2013-11-04",2.64
"159","2013-11-05",2.4
"160","2013-11-06",2.22
"161","2013-11-07",2.22
"162","2013-11-08",2.52
"163","2013-11-11",2.52
"164","2013-11-12",2.4
"165","2013-11-13",2.4
"166","2013-11-14",2.4
"167","2013-11-15",2.52
"168","2013-11-18",2.64
"169","2013-11-19",2.52
"170","2013-11-20",2.4
"171","2013-11-21",2.46
"172","2013-11-22",2.4
"173","2013-11-25",2.58
"174","2013-11-26",2.4
"175","2013-11-27",2.4
"176","2013-11-29",2.4
"177","2013-12-02",2.34
"178","2013-12-03",2.34
"179","2013-12-04",2.34
"180","2013-12-05",2.28
"181","2013-12-06",2.28
"182","2013-12-09",2.28
"183","2013-12-10",2.316
"184","2013-12-11",2.4
"185","2013-12-12",2.28
"186","2013-12-13",2.16
"187","2013-12-16",2.16
"188","2013-12-17",2.16
"189","2013-12-18",2.16
"190","2013-12-19",2.04
"191","2013-12-20",2.04
"192","2013-12-23",2.136
"193","2013-12-24",2.136
"194","2013-12-26",2.04
"195","2013-12-27",2.04
"196","2013-12-30",2.04
"197","2013-12-31",2.16
"198","2014-01-02",2.16
"199","2014-01-03",2.16
"200","2014-01-06",1.8
"201","2014-01-07",2.028
"202","2014-01-08",2.028
"203","2014-01-09",1.92
"204","2014-01-10",1.92
"205","2014-01-13",1.92
"206","2014-01-14",1.92
"207","2014-01-15",1.92
"208","2014-01-16",1.92
"209","2014-01-17",1.92
"210","2014-01-21",1.92
"211","2014-01-22",1.908
"212","2014-01-23",1.68
"213","2014-01-24",1.44
"214","2014-01-27",1.56
"215","2014-01-28",1.68
"216","2014-01-29",1.908
"217","2014-01-30",1.92
"218","2014-01-31",1.92
"219","2014-02-03",1.92
"220","2014-02-04",1.8
"221","2014-02-05",1.8
"222","2014-02-06",1.8
"223","2014-02-07",1.92
"224","2014-02-10",1.68
"225","2014-02-11",1.68
"226","2014-02-12",1.56
"227","2014-02-13",1.56
"228","2014-02-14",1.5
"229","2014-02-18",1.56
"230","2014-02-19",1.86
"231","2014-02-20",1.86
"232","2014-02-21",1.92
"233","2014-02-24",1.8
"234","2014-02-25",1.8
"235","2014-02-26",1.8
"236","2014-02-27",1.8
"237","2014-02-28",1.452
"238","2014-03-03",1.896
"239","2014-03-04",1.896
"240","2014-03-05",1.92
"241","2014-03-06",1.92
"242","2014-03-07",1.896
"243","2014-03-10",1.92
"244","2014-03-11",1.92
"245","2014-03-12",1.92
"246","2014-03-13",2.22
"247","2014-03-14",2.04
"248","2014-03-17",2.04
"249","2014-03-18",2.316
"250","2014-03-19",2.16
"251","2014-03-20",2.16
"252","2014-03-21",2.4
"253","2014-03-24",2.4
"254","2014-03-25",2.172
"255","2014-03-26",2.16
"256","2014-03-27",2.376
"257","2014-03-28",2.16
"258","2014-03-31",2.16
"259","2014-04-01",2.328
"260","2014-04-02",2.328
"261","2014-04-03",2.16
"262","2014-04-04",2.16
"263","2014-04-07",1.86
"264","2014-04-08",1.692
"265","2014-04-09",1.692
"266","2014-04-10",1.8
"267","2014-04-11",1.68
"268","2014-04-14",1.68
"269","2014-04-15",1.68
"270","2014-04-16",1.656
"271","2014-04-17",1.68
"272","2014-04-21",1.5
"273","2014-04-22",1.272
"274","2014-04-23",1.416
"275","2014-04-24",1.728
"276","2014-04-25",1.8
"277","2014-04-28",1.92
"278","2014-04-29",1.8
"279","2014-04-30",1.92
"280","2014-05-01",1.92
"281","2014-05-02",1.86
"282","2014-05-05",1.86
"283","2014-05-06",1.68
"284","2014-05-07",1.56
"285","2014-05-08",1.56
"286","2014-05-09",1.74
"287","2014-05-12",1.8
"288","2014-05-13",1.8
"289","2014-05-14",1.8
"290","2014-05-15",1.56
"291","2014-05-16",1.44
"292","2014-05-19",1.32
"293","2014-05-20",1.44
"294","2014-05-21",1.44
"295","2014-05-22",1.44
"296","2014-05-23",1.44
"297","2014-05-27",1.476
"298","2014-05-28",1.476
"299","2014-05-29",1.644
"300","2014-05-30",1.56
"301","2014-06-02",1.584
"302","2014-06-03",1.584
"303","2014-06-04",1.608
"304","2014-06-05",1.608
"305","2014-06-06",1.608
"306","2014-06-09",1.404
"307","2014-06-10",1.332
"308","2014-06-11",2.076
"309","2014-06-12",1.98
"310","2014-06-13",1.8
"311","2014-06-16",1.44
