"","date","RELL"
"1","2007-01-03",8.83
"2","2007-01-04",9
"3","2007-01-05",8.97
"4","2007-01-08",8.83
"5","2007-01-09",8.84
"6","2007-01-10",8.87
"7","2007-01-11",9.55
"8","2007-01-12",9.44
"9","2007-01-16",9.5
"10","2007-01-17",9.45
"11","2007-01-18",9.25
"12","2007-01-19",9.33
"13","2007-01-22",9.13
"14","2007-01-23",9.08
"15","2007-01-24",9.03
"16","2007-01-25",9
"17","2007-01-26",9
"18","2007-01-29",9.07
"19","2007-01-30",8.81
"20","2007-01-31",8.94
"21","2007-02-01",8.92
"22","2007-02-02",8.94
"23","2007-02-05",8.71
"24","2007-02-06",8.89
"25","2007-02-07",9.1
"26","2007-02-08",9.1
"27","2007-02-09",8.99
"28","2007-02-12",9
"29","2007-02-13",9.17
"30","2007-02-14",9.34
"31","2007-02-15",9.06
"32","2007-02-16",8.99
"33","2007-02-20",9.59
"34","2007-02-21",9.4
"35","2007-02-22",9.34
"36","2007-02-23",9.29
"37","2007-02-26",9.39
"38","2007-02-27",9.01
"39","2007-02-28",9.19
"40","2007-03-01",9.08
"41","2007-03-02",8.88
"42","2007-03-05",9
"43","2007-03-06",9.04
"44","2007-03-07",8.76
"45","2007-03-08",9.04
"46","2007-03-09",8.85
"47","2007-03-12",9.07
"48","2007-03-13",8.69
"49","2007-03-14",9.04
"50","2007-03-15",8.81
"51","2007-03-16",8.92
"52","2007-03-19",8.85
"53","2007-03-20",8.97
"54","2007-03-21",8.97
"55","2007-03-22",9.03
"56","2007-03-23",9.05
"57","2007-03-26",8.95
"58","2007-03-27",9.13
"59","2007-03-28",9.28
"60","2007-03-29",9.26
"61","2007-03-30",9.33
"62","2007-04-02",9.39
"63","2007-04-03",9.5
"64","2007-04-04",9.66
"65","2007-04-05",9.81
"66","2007-04-09",10.03
"67","2007-04-10",9.75
"68","2007-04-11",9.58
"69","2007-04-12",8.8
"70","2007-04-13",8.9
"71","2007-04-16",8.92
"72","2007-04-17",8.78
"73","2007-04-18",8.48
"74","2007-04-19",8.62
"75","2007-04-20",9.13
"76","2007-04-23",9.26
"77","2007-04-24",9.01
"78","2007-04-25",9.04
"79","2007-04-26",8.91
"80","2007-04-27",8.75
"81","2007-04-30",8.77
"82","2007-05-01",8.74
"83","2007-05-02",8.3
"84","2007-05-03",8.79
"85","2007-05-04",8.81
"86","2007-05-07",8.98
"87","2007-05-08",9.14
"88","2007-05-09",9.3
"89","2007-05-10",9.31
"90","2007-05-11",9.34
"91","2007-05-14",9.23
"92","2007-05-15",9.3
"93","2007-05-16",9.32
"94","2007-05-17",9.3
"95","2007-05-18",8.96
"96","2007-05-21",9.06
"97","2007-05-22",8.99
"98","2007-05-23",8.9
"99","2007-05-24",8.96
"100","2007-05-25",9.11
"101","2007-05-29",9.12
"102","2007-05-30",9.26
"103","2007-05-31",9.55
"104","2007-06-01",9.7
"105","2007-06-04",9.8
