"","date","MCB"
"1","2017-11-08",37.209999
"2","2017-11-09",37.02
"3","2017-11-10",36.990002
"4","2017-11-13",37.939999
"5","2017-11-14",37.099998
"6","2017-11-15",38.740002
"7","2017-11-16",39.139999
"8","2017-11-17",39.59
"9","2017-11-20",41.32
"10","2017-11-21",42.07
"11","2017-11-22",41.939999
"12","2017-11-24",42.150002
"13","2017-11-27",42.540001
"14","2017-11-28",42.490002
"15","2017-11-29",43.650002
"16","2017-11-30",43.759998
"17","2017-12-01",43.950001
"18","2017-12-04",44.66
"19","2017-12-05",44.580002
"20","2017-12-06",44.639999
"21","2017-12-07",46.009998
"22","2017-12-08",47.259998
"23","2017-12-11",47.82
"24","2017-12-12",50.029999
"25","2017-12-13",46.16
"26","2017-12-14",43.459999
"27","2017-12-15",44.549999
"28","2017-12-18",47.490002
"29","2017-12-19",44.5
"30","2017-12-20",45.75
"31","2017-12-21",45.5
"32","2017-12-22",43.18
"33","2017-12-26",43.75
"34","2017-12-27",43.419998
"35","2017-12-28",43.110001
"36","2017-12-29",42.099998
"37","2018-01-02",45.490002
"38","2018-01-03",45.209999
"39","2018-01-04",45.990002
"40","2018-01-05",45.82
"41","2018-01-08",45.580002
"42","2018-01-09",45.669998
"43","2018-01-10",45.240002
"44","2018-01-11",44.860001
"45","2018-01-12",44.950001
"46","2018-01-16",44.82
"47","2018-01-17",44.060001
"48","2018-01-18",43
"49","2018-01-19",42.93
"50","2018-01-22",43.360001
"51","2018-01-23",44.209999
"52","2018-01-24",44.209999
"53","2018-01-25",43.650002
"54","2018-01-26",43.16
"55","2018-01-29",43.5
"56","2018-01-30",44.549999
"57","2018-01-31",47.490002
"58","2018-02-01",48.040001
"59","2018-02-02",46.700001
"60","2018-02-05",46.220001
"61","2018-02-06",45.279999
"62","2018-02-07",45.060001
"63","2018-02-08",44.91
"64","2018-02-09",44.700001
"65","2018-02-12",45.509998
"66","2018-02-13",45
"67","2018-02-14",45.189999
"68","2018-02-15",45.130001
"69","2018-02-16",45.66
"70","2018-02-20",45.450001
"71","2018-02-21",45.57
"72","2018-02-22",44.950001
"73","2018-02-23",45.259998
"74","2018-02-26",45.169998
"75","2018-02-27",45.049999
"76","2018-02-28",44.419998
"77","2018-03-01",44.639999
"78","2018-03-02",45.299999
"79","2018-03-05",46.5
"80","2018-03-06",46.43
"81","2018-03-07",46.720001
"82","2018-03-08",46.200001
"83","2018-03-09",46.790001
"84","2018-03-12",44.560001
"85","2018-03-13",45.419998
"86","2018-03-14",44.09
"87","2018-03-15",43.689999
"88","2018-03-16",43.880001
"89","2018-03-19",42.900002
"90","2018-03-20",42.580002
"91","2018-03-21",42.669998
"92","2018-03-22",42.099998
"93","2018-03-23",41.669998
"94","2018-03-26",42.43
"95","2018-03-27",41.650002
"96","2018-03-28",41.450001
"97","2018-03-29",42.110001
"98","2018-04-02",42.5
"99","2018-04-03",43.099998
"100","2018-04-04",43.779999
"101","2018-04-05",44.189999
"102","2018-04-06",43.66
"103","2018-04-09",44.279999
"104","2018-04-10",44.279999
"105","2018-04-11",43.279999
"106","2018-04-12",44.25
"107","2018-04-13",43.5
"108","2018-04-16",44.669998
"109","2018-04-17",44.290001
"110","2018-04-18",44.07
"111","2018-04-19",43.549999
"112","2018-04-20",43.93
"113","2018-04-23",44.25
"114","2018-04-24",44.950001
"115","2018-04-25",46.529999
"116","2018-04-26",46.98
"117","2018-04-27",47.220001
"118","2018-04-30",47.330002
"119","2018-05-01",48.450001
"120","2018-05-02",49.25
"121","2018-05-03",48.360001
"122","2018-05-04",48.599998
"123","2018-05-07",48.709999
"124","2018-05-08",48.580002
