"","date","PBPB"
"1","2013-10-04",30.77
"2","2013-10-07",32.400002
"3","2013-10-08",30.219999
"4","2013-10-09",30.66
"5","2013-10-10",29.32
"6","2013-10-11",27.809999
"7","2013-10-14",26.209999
"8","2013-10-15",25.68
"9","2013-10-16",25.33
"10","2013-10-17",25.120001
"11","2013-10-18",26.85
"12","2013-10-21",28.049999
"13","2013-10-22",28.620001
"14","2013-10-23",29.23
"15","2013-10-24",29.48
"16","2013-10-25",30.25
"17","2013-10-28",30.84
"18","2013-10-29",29.450001
"19","2013-10-30",28.4
"20","2013-10-31",27
"21","2013-11-01",26.540001
"22","2013-11-04",27.52
"23","2013-11-05",27.4
"24","2013-11-06",26.959999
"25","2013-11-07",25.76
"26","2013-11-08",25.77
"27","2013-11-11",25.969999
"28","2013-11-12",27.059999
"29","2013-11-13",29.58
"30","2013-11-14",29.65
"31","2013-11-15",30.07
"32","2013-11-18",28.15
"33","2013-11-19",27.700001
"34","2013-11-20",28.030001
"35","2013-11-21",27.799999
"36","2013-11-22",27.959999
"37","2013-11-25",27.33
"38","2013-11-26",27.32
"39","2013-11-27",28
"40","2013-11-29",27.879999
"41","2013-12-02",28.25
"42","2013-12-03",28.27
"43","2013-12-04",27.68
"44","2013-12-05",26.66
"45","2013-12-06",26.4
"46","2013-12-09",26.639999
"47","2013-12-10",26.9
"48","2013-12-11",25.99
"49","2013-12-12",25.16
"50","2013-12-13",24.950001
"51","2013-12-16",24.35
"52","2013-12-17",25.35
"53","2013-12-18",25.6
"54","2013-12-19",25.559999
"55","2013-12-20",25.5
"56","2013-12-23",26.1
"57","2013-12-24",26.030001
"58","2013-12-26",25.4
"59","2013-12-27",25.24
"60","2013-12-30",24.25
"61","2013-12-31",24.280001
"62","2014-01-02",24.040001
"63","2014-01-03",24.450001
"64","2014-01-06",24.99
"65","2014-01-07",26.17
"66","2014-01-08",24.73
"67","2014-01-09",24.290001
"68","2014-01-10",24.58
"69","2014-01-13",23.4
"70","2014-01-14",23.610001
"71","2014-01-15",24.030001
"72","2014-01-16",24.83
"73","2014-01-17",24.15
"74","2014-01-21",23.4
"75","2014-01-22",23.559999
"76","2014-01-23",22.709999
"77","2014-01-24",22.299999
"78","2014-01-27",22.719999
"79","2014-01-28",23.4
"80","2014-01-29",22.41
"81","2014-01-30",23.200001
"82","2014-01-31",22.67
"83","2014-02-03",21.700001
"84","2014-02-04",22.059999
"85","2014-02-05",21.51
"86","2014-02-06",21.190001
"87","2014-02-07",21.370001
"88","2014-02-10",21.67
"89","2014-02-11",21.24
"90","2014-02-12",22.209999
"91","2014-02-13",22.700001
"92","2014-02-14",22.620001
"93","2014-02-18",22.4
"94","2014-02-19",20.459999
"95","2014-02-20",19.360001
"96","2014-02-21",20.110001
"97","2014-02-24",20.530001
"98","2014-02-25",20.48
"99","2014-02-26",21.15
"100","2014-02-27",21.35
"101","2014-02-28",21.41
"102","2014-03-03",20.84
"103","2014-03-04",21.040001
"104","2014-03-05",20.530001
"105","2014-03-06",20.530001
"106","2014-03-07",21
"107","2014-03-10",20.870001
"108","2014-03-11",21.01
"109","2014-03-12",20.77
"110","2014-03-13",19.969999
