"","date","SIBN"
"1","2018-10-17",20.059999
"2","2018-10-18",21
"3","2018-10-19",20.35
"4","2018-10-22",20.200001
"5","2018-10-23",19.5
"6","2018-10-24",18.540001
"7","2018-10-25",18.360001
"8","2018-10-26",18.58
"9","2018-10-29",18.51
"10","2018-10-30",18.719999
"11","2018-10-31",18.75
"12","2018-11-01",18.85
"13","2018-11-02",18.34
"14","2018-11-05",18.040001
"15","2018-11-06",18.48
"16","2018-11-07",18.59
"17","2018-11-08",18.540001
"18","2018-11-09",18.4
"19","2018-11-12",18.34
"20","2018-11-13",18.17
"21","2018-11-14",17.809999
"22","2018-11-15",17.57
"23","2018-11-16",17.68
"24","2018-11-19",16.790001
"25","2018-11-20",16.9
"26","2018-11-21",18.139999
"27","2018-11-23",18.1
"28","2018-11-26",18.41
"29","2018-11-27",18.559999
"30","2018-11-28",18.52
"31","2018-11-29",18.469999
"32","2018-11-30",17.959999
"33","2018-12-03",20.440001
"34","2018-12-04",19.4
"35","2018-12-06",17.440001
"36","2018-12-07",20.290001
"37","2018-12-10",19.98
"38","2018-12-11",18.860001
"39","2018-12-12",18.75
"40","2018-12-13",19.98
"41","2018-12-14",20.17
"42","2018-12-17",20
"43","2018-12-18",20.25
"44","2018-12-19",20.549999
"45","2018-12-20",18.709999
"46","2018-12-21",18.41
"47","2018-12-24",18.32
"48","2018-12-26",19.35
"49","2018-12-27",19.459999
"50","2018-12-28",20.459999
"51","2018-12-31",20.889999
"52","2019-01-02",20.85
"53","2019-01-03",18.799999
"54","2019-01-04",19.92
"55","2019-01-07",19.99
"56","2019-01-08",20.129999
"57","2019-01-09",21.08
"58","2019-01-10",21.59
"59","2019-01-11",21.379999
"60","2019-01-14",21.360001
"61","2019-01-15",22
"62","2019-01-16",22.110001
"63","2019-01-17",22.35
"64","2019-01-18",20.77
"65","2019-01-22",19.99
"66","2019-01-23",19.74
"67","2019-01-24",19.530001
"68","2019-01-25",19.57
"69","2019-01-28",19.17
"70","2019-01-29",18.16
"71","2019-01-30",17.290001
"72","2019-01-31",17.98
"73","2019-02-01",18.450001
"74","2019-02-04",19.379999
"75","2019-02-05",18.59
"76","2019-02-06",18.440001
"77","2019-02-07",17.58
"78","2019-02-08",17.549999
"79","2019-02-11",17.4
"80","2019-02-12",17.549999
"81","2019-02-13",17.6
"82","2019-02-14",18.120001
"83","2019-02-15",18
"84","2019-02-19",18.92
"85","2019-02-20",19.139999
"86","2019-02-21",19.059999
"87","2019-02-22",20.48
"88","2019-02-25",20.719999
"89","2019-02-26",20.639999
