"","date","AMCX"
"1","2011-06-16",35.490002
"2","2011-06-17",35.049999
"3","2011-06-20",34.950001
"4","2011-06-21",35
"5","2011-06-22",35.540001
"6","2011-06-23",35
"7","2011-06-24",35.549999
"8","2011-06-27",36.209999
"9","2011-06-28",37.5
"10","2011-06-29",39.91
"11","2011-06-30",43.5
"12","2011-07-01",39.849998
"13","2011-07-05",38.529999
"14","2011-07-06",38.779999
"15","2011-07-07",39.52
"16","2011-07-08",38.540001
"17","2011-07-11",37.060001
"18","2011-07-12",37.049999
"19","2011-07-13",37.009998
"20","2011-07-14",37.25
"21","2011-07-15",37.09
"22","2011-07-18",36.459999
"23","2011-07-19",36.970001
"24","2011-07-20",37.32
"25","2011-07-21",38.290001
"26","2011-07-22",37.509998
"27","2011-07-25",37.630001
"28","2011-07-26",37.619999
"29","2011-07-27",37.349998
"30","2011-07-28",37.450001
"31","2011-07-29",37.189999
"32","2011-08-01",37.299999
"33","2011-08-02",37.009998
"34","2011-08-03",36.139999
"35","2011-08-04",35.040001
"36","2011-08-05",35.220001
"37","2011-08-08",30.709999
"38","2011-08-09",31.059999
"39","2011-08-10",30.280001
"40","2011-08-11",34.310001
"41","2011-08-12",33.669998
"42","2011-08-15",33.98
"43","2011-08-16",34.549999
"44","2011-08-17",34.490002
"45","2011-08-18",32.959999
"46","2011-08-19",33.049999
"47","2011-08-22",32.23
"48","2011-08-23",33.060001
"49","2011-08-24",33.720001
"50","2011-08-25",33.259998
"51","2011-08-26",34.299999
"52","2011-08-29",34.82
"53","2011-08-30",36.490002
"54","2011-08-31",37
"55","2011-09-01",35.939999
"56","2011-09-02",34.02
"57","2011-09-06",32.869999
"58","2011-09-07",33.970001
"59","2011-09-08",33.41
"60","2011-09-09",32.98
"61","2011-09-12",32.799999
"62","2011-09-13",33.830002
"63","2011-09-14",36.25
"64","2011-09-15",36.330002
"65","2011-09-16",36.349998
"66","2011-09-19",36.459999
"67","2011-09-20",35.990002
"68","2011-09-21",35.48
"69","2011-09-22",34.009998
"70","2011-09-23",34.099998
"71","2011-09-26",34.41
"72","2011-09-27",34.029999
"73","2011-09-28",33.41
"74","2011-09-29",33.189999
"75","2011-09-30",31.950001
"76","2011-10-03",31.459999
"77","2011-10-04",30.99
"78","2011-10-05",31
"79","2011-10-06",32.700001
"80","2011-10-07",32.630001
"81","2011-10-10",33.110001
"82","2011-10-11",32.82
"83","2011-10-12",31.5
"84","2011-10-13",31.5
"85","2011-10-14",32.549999
"86","2011-10-17",32.740002
"87","2011-10-18",33.59
"88","2011-10-19",34.060001
"89","2011-10-20",33.689999
"90","2011-10-21",33.84
"91","2011-10-24",34.09
"92","2011-10-25",33.080002
"93","2011-10-26",33.349998
"94","2011-10-27",34
"95","2011-10-28",33.490002
"96","2011-10-31",32.619999
"97","2011-11-01",31.26
"98","2011-11-02",32.759998
"99","2011-11-03",33.450001
"100","2011-11-04",33.25
"101","2011-11-07",33.150002
"102","2011-11-08",32.98
"103","2011-11-09",32.529999
"104","2011-11-10",34.419998
"105","2011-11-11",36.799999
"106","2011-11-14",36.349998
"107","2011-11-15",36.970001
"108","2011-11-16",36.779999
"109","2011-11-17",37.139999
"110","2011-11-18",37.369999
"111","2011-11-21",37.119999
"112","2011-11-22",35.869999
"113","2011-11-23",34.599998
"114","2011-11-25",33.599998
"115","2011-11-28",35.200001
"116","2011-11-29",35.310001
"117","2011-11-30",36
"118","2011-12-01",35.810001
