"","date","EPD"
"1","2007-01-03",14.485
"2","2007-01-04",14.4
"3","2007-01-05",14.255
"4","2007-01-08",14.425
"5","2007-01-09",14.29
"6","2007-01-10",14.27
"7","2007-01-11",14.23
"8","2007-01-12",14.255
"9","2007-01-16",14.405
"10","2007-01-17",14.6
"11","2007-01-18",14.505
"12","2007-01-19",14.565
"13","2007-01-22",14.805
"14","2007-01-23",14.9
"15","2007-01-24",14.7
"16","2007-01-25",14.55
"17","2007-01-26",14.615
"18","2007-01-29",14.475
"19","2007-01-30",14.685
"20","2007-01-31",14.785
"21","2007-02-01",14.79
"22","2007-02-02",14.92
"23","2007-02-05",15.04
"24","2007-02-06",15.11
"25","2007-02-07",15.105
"26","2007-02-08",15.085
"27","2007-02-09",15.085
"28","2007-02-12",14.955
"29","2007-02-13",14.965
"30","2007-02-14",14.97
"31","2007-02-15",15
"32","2007-02-16",15
"33","2007-02-20",14.94
"34","2007-02-21",15.005
"35","2007-02-22",15.065
"36","2007-02-23",15.165
"37","2007-02-26",15.295
"38","2007-02-27",15.08
"39","2007-02-28",15.255
"40","2007-03-01",15.36
"41","2007-03-02",15.325
"42","2007-03-05",15.095
"43","2007-03-06",15.21
"44","2007-03-07",15.205
"45","2007-03-08",15.24
"46","2007-03-09",15.36
"47","2007-03-12",15.425
"48","2007-03-13",15.42
"49","2007-03-14",15.46
"50","2007-03-15",15.695
"51","2007-03-16",15.68
"52","2007-03-19",15.735
"53","2007-03-20",15.82
"54","2007-03-21",15.835
"55","2007-03-22",16.110001
"56","2007-03-23",16.299999
"57","2007-03-26",15.775
"58","2007-03-27",15.86
"59","2007-03-28",15.965
"60","2007-03-29",15.97
"61","2007-03-30",15.9
"62","2007-04-02",15.875
"63","2007-04-03",15.955
"64","2007-04-04",16.040001
"65","2007-04-05",16.035
"66","2007-04-09",16.045
"67","2007-04-10",16.025
"68","2007-04-11",16.135
"69","2007-04-12",16.235001
"70","2007-04-13",15.955
"71","2007-04-16",16.040001
"72","2007-04-17",16.120001
"73","2007-04-18",16.389999
"74","2007-04-19",16.375
"75","2007-04-20",16.455
"76","2007-04-23",16.469999
"77","2007-04-24",16.445
"78","2007-04-25",16.575001
"79","2007-04-26",16.299999
"80","2007-04-27",16.299999
"81","2007-04-30",16.225
"82","2007-05-01",16.125
"83","2007-05-02",16.115
"84","2007-05-03",16.1
"85","2007-05-04",15.93
"86","2007-05-07",15.985
"87","2007-05-08",16.084999
"88","2007-05-09",16.440001
"89","2007-05-10",16.43
"90","2007-05-11",16.440001
"91","2007-05-14",16.389999
"92","2007-05-15",16.195
"93","2007-05-16",16.135
"94","2007-05-17",16.155001
"95","2007-05-18",16.02
"96","2007-05-21",16.125
"97","2007-05-22",16.055
"98","2007-05-23",15.905
"99","2007-05-24",15.25
"100","2007-05-25",15.485
"101","2007-05-29",15.48
"102","2007-05-30",15.505
"103","2007-05-31",15.66
"104","2007-06-01",15.6
"105","2007-06-04",15.84
"106","2007-06-05",15.97
"107","2007-06-06",15.81
"108","2007-06-07",15.46
"109","2007-06-08",15.32
