"","date","FINV"
"1","2017-11-09",13
"2","2017-11-10",13.08
"3","2017-11-13",13.15
"4","2017-11-14",13
"5","2017-11-15",12.7
"6","2017-11-16",12.93
"7","2017-11-17",13
"8","2017-11-20",12.56
"9","2017-11-21",10.8
"10","2017-11-22",10.81
"11","2017-11-24",9.45
"12","2017-11-27",9.43
"13","2017-11-28",10.07
"14","2017-11-29",9.31
"15","2017-11-30",9.6
"16","2017-12-01",8.8
"17","2017-12-04",8.34
"18","2017-12-05",7.8
"19","2017-12-06",8.06
"20","2017-12-07",7.16
"21","2017-12-08",7.57
"22","2017-12-11",8
"23","2017-12-12",7.5
"24","2017-12-13",8.5
"25","2017-12-14",8.09
"26","2017-12-15",7.51
"27","2017-12-18",7.26
"28","2017-12-19",7.26
"29","2017-12-20",7.09
"30","2017-12-21",7.25
"31","2017-12-22",7.23
"32","2017-12-26",7.07
"33","2017-12-27",7.09
"34","2017-12-28",7.09
"35","2017-12-29",7.11
"36","2018-01-02",7.19
"37","2018-01-03",7.19
"38","2018-01-04",7.14
"39","2018-01-05",7.13
"40","2018-01-08",7.1
"41","2018-01-09",7.09
"42","2018-01-10",7.07
"43","2018-01-11",7
"44","2018-01-12",7
"45","2018-01-16",6.87
"46","2018-01-17",6.68
"47","2018-01-18",6.95
"48","2018-01-19",6.77
"49","2018-01-22",6.79
"50","2018-01-23",7
"51","2018-01-24",7.5
"52","2018-01-25",8.46
"53","2018-01-26",8.46
"54","2018-01-29",8.35
"55","2018-01-30",7.87
"56","2018-01-31",7.65
"57","2018-02-01",7.11
"58","2018-02-02",7.08
"59","2018-02-05",7.1
"60","2018-02-06",7.29
"61","2018-02-07",7.1
"62","2018-02-08",6.92
"63","2018-02-09",6.9
"64","2018-02-12",7.11
"65","2018-02-13",7.01
"66","2018-02-14",7.81
"67","2018-02-15",7.73
"68","2018-02-16",7.7
"69","2018-02-20",7.58
"70","2018-02-21",7.62
"71","2018-02-22",7.59
"72","2018-02-23",7.42
"73","2018-02-26",7.07
"74","2018-02-27",7.07
"75","2018-02-28",7.08
"76","2018-03-01",7
"77","2018-03-02",7.09
"78","2018-03-05",7.36
"79","2018-03-06",7.35
"80","2018-03-07",7.5
"81","2018-03-08",8.02
"82","2018-03-09",7.87
"83","2018-03-12",8.43
"84","2018-03-13",7.95
"85","2018-03-14",7.84
"86","2018-03-15",7.6
"87","2018-03-16",7.67
"88","2018-03-19",7.68
"89","2018-03-20",7.69
"90","2018-03-21",8.17
"91","2018-03-22",8
"92","2018-03-23",7.95
"93","2018-03-26",7.25
"94","2018-03-27",7.33
"95","2018-03-28",7.33
"96","2018-03-29",7.45
"97","2018-04-02",7.19
"98","2018-04-03",7.12
"99","2018-04-04",7.29
"100","2018-04-05",7.12
"101","2018-04-06",7.08
"102","2018-04-09",7.08
"103","2018-04-10",7.02
"104","2018-04-11",7.02
"105","2018-04-12",6.97
"106","2018-04-13",6.87
"107","2018-04-16",6.71
"108","2018-04-17",6.79
"109","2018-04-18",6.82
"110","2018-04-19",6.7
"111","2018-04-20",6.7
"112","2018-04-23",6.7
"113","2018-04-24",6.76
"114","2018-04-25",6.67
"115","2018-04-26",6.69
"116","2018-04-27",6.73
"117","2018-04-30",6.8
"118","2018-05-01",6.57
"119","2018-05-02",6.55
"120","2018-05-03",6.53
"121","2018-05-04",6.53
"122","2018-05-07",6.56
"123","2018-05-08",6.52
"124","2018-05-09",6.69
"125","2018-05-10",6.83
"126","2018-05-11",6.73
"127","2018-05-14",6.88
"128","2018-05-15",7.98
"129","2018-05-16",8.35
"130","2018-05-17",8.08
"131","2018-05-18",7.44
"132","2018-05-21",7.32
"133","2018-05-22",7.38
"134","2018-05-23",7.35
"135","2018-05-24",7.43
"136","2018-05-25",7.36
"137","2018-05-29",7.44
"138","2018-05-30",7.44
"139","2018-05-31",7.43
"140","2018-06-01",7.69
"141","2018-06-04",6.94
"142","2018-06-05",6.62
"143","2018-06-06",6.77
"144","2018-06-07",6.79
"145","2018-06-08",6.57
"146","2018-06-11",6.51
"147","2018-06-12",6.47
"148","2018-06-13",6.42
"149","2018-06-14",6.21
"150","2018-06-15",6.62
"151","2018-06-18",6.61
"152","2018-06-19",6.27
"153","2018-06-20",6.38
"154","2018-06-21",6.33
"155","2018-06-22",6.2
"156","2018-06-25",5.99
"157","2018-06-26",5.84
"158","2018-06-27",5.9
"159","2018-06-28",5.97
"160","2018-06-29",5.95
"161","2018-07-02",5.87
"162","2018-07-03",5.7
"163","2018-07-05",5.79
"164","2018-07-06",5.8
"165","2018-07-09",5.49
"166","2018-07-10",4.84
"167","2018-07-11",4.52
"168","2018-07-12",4.59
"169","2018-07-13",4.36
"170","2018-07-16",4.39
"171","2018-07-17",4.43
"172","2018-07-18",4.24
"173","2018-07-19",3.99
"174","2018-07-20",4.09
"175","2018-07-23",4.22
"176","2018-07-24",4.71
"177","2018-07-25",4.93
"178","2018-07-26",4.91
"179","2018-07-27",4.77
"180","2018-07-30",4.68
"181","2018-07-31",4.54
"182","2018-08-01",4.01
"183","2018-08-02",4.13
"184","2018-08-03",4.2
"185","2018-08-06",4.18
"186","2018-08-07",4.35
"187","2018-08-08",4.32
"188","2018-08-09",4.4
"189","2018-08-10",4.03
"190","2018-08-13",4.1
"191","2018-08-14",4.31
"192","2018-08-15",4.19
"193","2018-08-16",4.27
"194","2018-08-17",4.85
"195","2018-08-20",5.12
"196","2018-08-21",5.19
"197","2018-08-22",5.5
"198","2018-08-23",5.5
"199","2018-08-24",5.95
"200","2018-08-27",5.71
"201","2018-08-28",5.82
"202","2018-08-29",5.99
"203","2018-08-30",6.11
"204","2018-08-31",6.5
"205","2018-09-04",6.82
"206","2018-09-05",6.75
"207","2018-09-06",6.22
"208","2018-09-07",6.23
"209","2018-09-10",5.79
"210","2018-09-11",5.88
"211","2018-09-12",5.97
"212","2018-09-13",5.93
"213","2018-09-14",6.06
"214","2018-09-17",6.04
"215","2018-09-18",5.87
"216","2018-09-19",5.86
"217","2018-09-20",5.89
"218","2018-09-21",6.6
"219","2018-09-24",5.99
"220","2018-09-25",5.76
"221","2018-09-26",5.37
"222","2018-09-27",5.35
"223","2018-09-28",5.38
"224","2018-10-01",5.3
"225","2018-10-02",5.26
"226","2018-10-03",5.6
"227","2018-10-04",5.75
"228","2018-10-05",5.98
"229","2018-10-08",6.03
"230","2018-10-09",5.99
"231","2018-10-10",5.9
"232","2018-10-11",5.86
"233","2018-10-12",5.9
"234","2018-10-15",5.99
"235","2018-10-16",5.99
"236","2018-10-17",6.04
"237","2018-10-18",5.9
"238","2018-10-19",5.83
"239","2018-10-22",5.72
