"","date","ETTX"
"1","2018-09-26",10.66
"2","2018-09-27",10
"3","2018-09-28",10.88
"4","2018-10-01",10
"5","2018-10-02",9.52
"6","2018-10-03",8.97
"7","2018-10-04",8.33
"8","2018-10-05",8.01
"9","2018-10-08",8.33
"10","2018-10-09",8.63
"11","2018-10-10",8.55
"12","2018-10-11",8.27
"13","2018-10-12",8.67
"14","2018-10-15",8.41
"15","2018-10-16",8.32
"16","2018-10-17",7.83
"17","2018-10-18",7.44
"18","2018-10-19",7.44
"19","2018-10-22",7.32
"20","2018-10-23",6.92
"21","2018-10-24",6.61
"22","2018-10-25",6.38
"23","2018-10-26",6.04
"24","2018-10-29",5.83
"25","2018-10-30",5.75
"26","2018-10-31",6.11
"27","2018-11-01",6.6
"28","2018-11-02",6.8
"29","2018-11-05",6.22
"30","2018-11-06",6.11
"31","2018-11-07",6.41
"32","2018-11-08",6.28
"33","2018-11-09",6.5
"34","2018-11-12",6.2
"35","2018-11-13",6.23
"36","2018-11-14",6.18
"37","2018-11-15",6.34
"38","2018-11-16",6.25
"39","2018-11-19",6.23
"40","2018-11-20",6.1
"41","2018-11-21",6.38
"42","2018-11-23",6.71
"43","2018-11-26",6.4
"44","2018-11-27",6.21
"45","2018-11-28",5.89
"46","2018-11-29",5.98
"47","2018-11-30",6.14
"48","2018-12-03",6
"49","2018-12-04",6.1
"50","2018-12-06",6.05
"51","2018-12-07",5.98
"52","2018-12-10",5.95
"53","2018-12-11",5.95
"54","2018-12-12",6.18
"55","2018-12-13",6.26
"56","2018-12-14",6.19
"57","2018-12-17",6.05
"58","2018-12-18",5.84
"59","2018-12-19",5.51
"60","2018-12-20",5.74
"61","2018-12-21",5.09
"62","2018-12-24",4.77
"63","2018-12-26",4.49
"64","2018-12-27",4.55
"65","2018-12-28",4.33
"66","2018-12-31",4.07
"67","2019-01-02",4.51
"68","2019-01-03",4.44
"69","2019-01-04",4.65
"70","2019-01-07",4.9
"71","2019-01-08",5.39
"72","2019-01-09",5.6
"73","2019-01-10",5.45
"74","2019-01-11",5.01
"75","2019-01-14",5.05
"76","2019-01-15",5.44
"77","2019-01-16",5.51
"78","2019-01-17",5.71
"79","2019-01-18",5.66
"80","2019-01-22",5
"81","2019-01-23",5
"82","2019-01-24",5.34
"83","2019-01-25",5.66
"84","2019-01-28",5.57
"85","2019-01-29",5.43
"86","2019-01-30",5.2
"87","2019-01-31",5.26
"88","2019-02-01",4.9
"89","2019-02-04",5.38
"90","2019-02-05",5.81
"91","2019-02-06",5.8
"92","2019-02-07",5.72
"93","2019-02-08",6.23
"94","2019-02-11",7.02
"95","2019-02-12",7.15
"96","2019-02-13",7.05
"97","2019-02-14",6.7
"98","2019-02-15",6.5
"99","2019-02-19",6
"100","2019-02-20",5.67
"101","2019-02-21",5.82
"102","2019-02-22",5.79
"103","2019-02-25",5.75
"104","2019-02-26",5.38
"105","2019-02-27",5.85
"106","2019-02-28",5.8
"107","2019-03-01",5.83
"108","2019-03-04",6.32
"109","2019-03-05",5.96
"110","2019-03-06",6.36
"111","2019-03-07",6.93
"112","2019-03-08",6.88
"113","2019-03-11",6.72
"114","2019-03-12",7.1
"115","2019-03-13",6.99
"116","2019-03-14",6.8
"117","2019-03-15",7
"118","2019-03-18",7.05
"119","2019-03-19",6.98
"120","2019-03-20",6.97
"121","2019-03-21",6.96
"122","2019-03-22",6.72
"123","2019-03-25",6.56
"124","2019-03-26",6.92
"125","2019-03-27",6.9
"126","2019-03-28",6.64
"127","2019-03-29",6.76
"128","2019-04-01",6.46
"129","2019-04-02",6.45
"130","2019-04-03",6.77
"131","2019-04-04",6.56
"132","2019-04-05",6.67
"133","2019-04-08",6.69
"134","2019-04-09",6.61
"135","2019-04-10",6.5
"136","2019-04-11",6.45
"137","2019-04-12",6.48
"138","2019-04-15",6.46
"139","2019-04-16",6.38
"140","2019-04-17",6.36
"141","2019-04-18",5.5
"142","2019-04-22",5.98
"143","2019-04-23",6.48
"144","2019-04-24",6.45
"145","2019-04-25",6.5
"146","2019-04-26",6.9
"147","2019-04-29",6.88
"148","2019-04-30",6.88
"149","2019-05-01",6.63
"150","2019-05-02",6.88
"151","2019-05-03",6.74
"152","2019-05-06",6.79
"153","2019-05-07",7
"154","2019-05-08",6.75
"155","2019-05-09",6.77
"156","2019-05-10",6.68
"157","2019-05-13",6.86
"158","2019-05-14",6.89
"159","2019-05-15",6.79
"160","2019-05-16",6.7
"161","2019-05-17",6.64
"162","2019-05-20",6.45
"163","2019-05-21",6.32
"164","2019-05-22",6.48
"165","2019-05-23",6.25
"166","2019-05-24",6.34
"167","2019-05-28",6.25
"168","2019-05-29",6.21
"169","2019-05-30",6.11
"170","2019-05-31",6.15
"171","2019-06-03",6.24
"172","2019-06-04",6.15
"173","2019-06-05",6.15
"174","2019-06-06",6.12
"175","2019-06-07",6.16
"176","2019-06-10",6.5
"177","2019-06-11",6.25
"178","2019-06-12",6.43
"179","2019-06-13",6.25
"180","2019-06-14",6.27
"181","2019-06-17",6.02
"182","2019-06-18",6.19
"183","2019-06-19",6.12
"184","2019-06-20",6
"185","2019-06-21",6.07
"186","2019-06-24",6.02
"187","2019-06-25",6.17
"188","2019-06-26",6.03
"189","2019-06-27",6.37
"190","2019-06-28",6.45
"191","2019-07-01",6.45
"192","2019-07-02",6.4
"193","2019-07-03",6.38
"194","2019-07-05",6.4
"195","2019-07-08",6.35
"196","2019-07-09",6.45
"197","2019-07-10",6.33
"198","2019-07-11",6.35
"199","2019-07-12",6.32
"200","2019-07-15",6.4
"201","2019-07-16",6.43
"202","2019-07-17",6.43
"203","2019-07-18",6.26
"204","2019-07-19",6.3
"205","2019-07-22",6.38
"206","2019-07-23",6.29
