"","date","CSWI"
"1","2015-09-30",30
"2","2015-10-01",30.799999
"3","2015-10-02",32.25
"4","2015-10-05",32.59
"5","2015-10-06",32.740002
"6","2015-10-07",32.68
"7","2015-10-08",32.139999
"8","2015-10-09",33.799999
"9","2015-10-12",34
"10","2015-10-13",34.400002
"11","2015-10-14",34.23
"12","2015-10-15",34.400002
"13","2015-10-16",34.5
"14","2015-10-19",34.349998
"15","2015-10-20",34.25
"16","2015-10-21",34.990002
"17","2015-10-22",35
"18","2015-10-23",35.419998
"19","2015-10-26",36.540001
"20","2015-10-27",37
"21","2015-10-28",35.830002
"22","2015-10-29",35.759998
"23","2015-10-30",36.009998
"24","2015-11-02",36.099998
"25","2015-11-03",35.75
"26","2015-11-04",35.720001
"27","2015-11-05",35.950001
"28","2015-11-06",36.220001
"29","2015-11-09",36.099998
"30","2015-11-10",36.610001
"31","2015-11-11",36.860001
"32","2015-11-12",37.810001
"33","2015-11-13",37.939999
"34","2015-11-16",37.439999
"35","2015-11-17",36.860001
"36","2015-11-18",35.990002
"37","2015-11-19",36.830002
"38","2015-11-20",36.950001
"39","2015-11-23",36.720001
"40","2015-11-24",36.779999
"41","2015-11-25",36.639999
"42","2015-11-27",36.970001
"43","2015-11-30",36.669998
"44","2015-12-01",36.59
"45","2015-12-02",36.290001
"46","2015-12-03",36.48
"47","2015-12-04",36.25
"48","2015-12-07",37.27
"49","2015-12-08",37.540001
"50","2015-12-09",37.639999
"51","2015-12-10",38.049999
"52","2015-12-11",37.959999
"53","2015-12-14",38.900002
"54","2015-12-15",38.740002
"55","2015-12-16",38.23
"56","2015-12-17",38.110001
"57","2015-12-18",36.959999
"58","2015-12-21",37.290001
"59","2015-12-22",37.529999
"60","2015-12-23",37.540001
"61","2015-12-24",37.759998
"62","2015-12-28",38.060001
"63","2015-12-29",37.560001
"64","2015-12-30",36.794998
"65","2015-12-31",37.669998
"66","2016-01-04",37.299999
"67","2016-01-05",36.799999
"68","2016-01-06",35.779999
"69","2016-01-07",35.52
"70","2016-01-08",36.060001
"71","2016-01-11",35.860001
"72","2016-01-12",35.209999
"73","2016-01-13",34.790001
"74","2016-01-14",33.990002
"75","2016-01-15",34.189999
"76","2016-01-19",33.259998
"77","2016-01-20",32.970001
"78","2016-01-21",33.040001
"79","2016-01-22",33.75
"80","2016-01-25",34
"81","2016-01-26",34.040001
"82","2016-01-27",33.490002
"83","2016-01-28",33.990002
"84","2016-01-29",34.080002
"85","2016-02-01",34.400002
"86","2016-02-02",33.880001
"87","2016-02-03",33.779999
"88","2016-02-04",34.07
"89","2016-02-05",33.41
"90","2016-02-08",32
"91","2016-02-09",31.719999
"92","2016-02-10",32.279999
"93","2016-02-11",32.189999
"94","2016-02-12",32.200001
"95","2016-02-16",29.860001
"96","2016-02-17",29.450001
"97","2016-02-18",29.15
"98","2016-02-19",28.85
"99","2016-02-22",28.389999
"100","2016-02-23",29
"101","2016-02-24",29.110001
"102","2016-02-25",29.629999
"103","2016-02-26",29.549999
"104","2016-02-29",30.5
"105","2016-03-01",30.49
"106","2016-03-02",29.99
"107","2016-03-03",29.969999
"108","2016-03-04",30.280001
"109","2016-03-07",30.030001
"110","2016-03-08",29.98
"111","2016-03-09",30.27
"112","2016-03-10",30.280001
"113","2016-03-11",30.99
"114","2016-03-14",30.99
"115","2016-03-15",30.91
"116","2016-03-16",30.790001
"117","2016-03-17",31.129999
"118","2016-03-18",31
"119","2016-03-21",30.91
"120","2016-03-22",30.99
"121","2016-03-23",30.940001
"122","2016-03-24",30.959999
"123","2016-03-28",31
"124","2016-03-29",30.809999
"125","2016-03-30",31.85
"126","2016-03-31",31.5
"127","2016-04-01",31.24
"128","2016-04-04",31.190001
"129","2016-04-05",30.959999
"130","2016-04-06",31.18
"131","2016-04-07",31.92
"132","2016-04-08",31.59
"133","2016-04-11",31.98
"134","2016-04-12",31.92
"135","2016-04-13",32.029999
"136","2016-04-14",32
"137","2016-04-15",32.23
"138","2016-04-18",32.299999
"139","2016-04-19",32.169998
"140","2016-04-20",32.540001
"141","2016-04-21",32.02
"142","2016-04-22",32.139999
"143","2016-04-25",31.860001
"144","2016-04-26",32
"145","2016-04-27",32.169998
"146","2016-04-28",32.32
"147","2016-04-29",32.560001
"148","2016-05-02",32.360001
"149","2016-05-03",32.490002
"150","2016-05-04",32.540001
"151","2016-05-05",32.450001
"152","2016-05-06",32.459999
"153","2016-05-09",32.380001
"154","2016-05-10",32.549999
"155","2016-05-11",32.84
"156","2016-05-12",32.279999
"157","2016-05-13",32.950001
"158","2016-05-16",33.029999
"159","2016-05-17",32.34
"160","2016-05-18",32.259998
"161","2016-05-19",32.299999
"162","2016-05-20",32.509998
"163","2016-05-23",32.580002
"164","2016-05-24",33.389999
"165","2016-05-25",33.889999
