"","date","ADIL"
"1","2018-07-27",4.05
"2","2018-07-30",4.01
"3","2018-07-31",4
"4","2018-08-01",4.25
"5","2018-08-02",4
"6","2018-08-03",4
"7","2018-08-06",3.98
"8","2018-08-07",3.91
"9","2018-08-08",3.8
"10","2018-08-09",3.3
"11","2018-08-10",3.43
"12","2018-08-13",3.42
"13","2018-08-14",3.85
"14","2018-08-15",3.75
"15","2018-08-16",3.75
"16","2018-08-17",3.84
"17","2018-08-20",3.52
"18","2018-08-21",3.71
"19","2018-08-22",3.6
"20","2018-08-23",3.54
"21","2018-08-24",3.25
"22","2018-08-27",3.02
"23","2018-08-28",3.1
"24","2018-08-29",3.03
"25","2018-08-30",3.15
"26","2018-08-31",3.08
"27","2018-09-04",3.13
"28","2018-09-05",2.9
"29","2018-09-06",2.9
"30","2018-09-07",2.9
"31","2018-09-10",2.8
"32","2018-09-11",2.85
"33","2018-09-12",2.89
"34","2018-09-13",2.94
"35","2018-09-14",2.75
"36","2018-09-17",2.92
"37","2018-09-18",3.2
"38","2018-09-19",2.9
"39","2018-09-20",2.94
"40","2018-09-21",2.9
"41","2018-09-24",2.91
"42","2018-09-25",2.85
"43","2018-09-26",2.75
"44","2018-09-27",2.87
"45","2018-09-28",2.73
"46","2018-10-01",2.72
"47","2018-10-02",2.64
"48","2018-10-03",2.7
"49","2018-10-04",2.75
"50","2018-10-05",2.75
"51","2018-10-08",2.72
"52","2018-10-09",2.96
"53","2018-10-10",2.6
"54","2018-10-11",2.64
"55","2018-10-12",2.61
"56","2018-10-15",2.56
"57","2018-10-16",2.56
"58","2018-10-17",2.57
"59","2018-10-18",2.19
"60","2018-10-19",2.63
"61","2018-10-22",2.41
"62","2018-10-23",2.6
"63","2018-10-24",2.11
"64","2018-10-25",2
"65","2018-10-26",1.95
"66","2018-10-29",1.88
"67","2018-10-30",1.9
"68","2018-10-31",1.89
"69","2018-11-01",1.91
"70","2018-11-02",2
"71","2018-11-05",1.93
"72","2018-11-06",1.7
"73","2018-11-07",1.4
"74","2018-11-08",1.4
"75","2018-11-09",1.57
"76","2018-11-12",1.41
"77","2018-11-13",1.27
"78","2018-11-14",1.21
"79","2018-11-15",1.38
"80","2018-11-16",1.44
"81","2018-11-19",1.38
"82","2018-11-20",1.35
"83","2018-11-21",1.52
"84","2018-11-23",1.33
"85","2018-11-26",1.66
"86","2018-11-27",1.35
"87","2018-11-28",1.32
"88","2018-11-29",2.8
"89","2018-11-30",3.84
"90","2018-12-03",2.83
"91","2018-12-04",2.8
"92","2018-12-06",3
"93","2018-12-07",2.38
"94","2018-12-10",2.13
"95","2018-12-11",1.96
"96","2018-12-12",2.03
"97","2018-12-13",4.16
"98","2018-12-14",3.8
"99","2018-12-17",2.8
"100","2018-12-18",2.95
"101","2018-12-19",3.64
"102","2018-12-20",3.07
"103","2018-12-21",4.3
"104","2018-12-24",4.95
"105","2018-12-26",6.31
"106","2018-12-27",5.78
"107","2018-12-28",5.55
"108","2018-12-31",5.12
"109","2019-01-02",6.5
"110","2019-01-03",6.75
"111","2019-01-04",6.4
"112","2019-01-07",6
"113","2019-01-08",6.29
"114","2019-01-09",6.05
"115","2019-01-10",6.78
"116","2019-01-11",6.97
"117","2019-01-14",7.27
"118","2019-01-15",8.33
"119","2019-01-16",7.6
"120","2019-01-17",7.1
"121","2019-01-18",6.7
"122","2019-01-22",5.8
"123","2019-01-23",5.4
"124","2019-01-24",5.95
"125","2019-01-25",5.84
"126","2019-01-28",5.2
"127","2019-01-29",4.82
"128","2019-01-30",5.48
"129","2019-01-31",5.47
"130","2019-02-01",6.88
"131","2019-02-04",6.46
"132","2019-02-05",6.19
"133","2019-02-06",5.95
"134","2019-02-07",5.86
"135","2019-02-08",5.39
"136","2019-02-11",5.25
"137","2019-02-12",4.74
"138","2019-02-13",4.64
"139","2019-02-14",4.3
"140","2019-02-15",4.2
"141","2019-02-19",3.59
"142","2019-02-20",3.37
"143","2019-02-21",3.97
"144","2019-02-22",3.83
"145","2019-02-25",3.97
"146","2019-02-26",3.69
"147","2019-02-27",3.6
"148","2019-02-28",3.61
"149","2019-03-01",3.51
"150","2019-03-04",3.37
"151","2019-03-05",3.33
"152","2019-03-06",3.45
"153","2019-03-07",3.33
"154","2019-03-08",3.39
"155","2019-03-11",3.61
"156","2019-03-12",3.45
"157","2019-03-13",3.63
"158","2019-03-14",3.63
"159","2019-03-15",3.31
"160","2019-03-18",3.01
"161","2019-03-19",2.98
"162","2019-03-20",2.92
"163","2019-03-21",3.11
"164","2019-03-22",3.01
"165","2019-03-25",2.98
"166","2019-03-26",2.95
"167","2019-03-27",2.94
"168","2019-03-28",3.24
"169","2019-03-29",3.43
"170","2019-04-01",3.15
"171","2019-04-02",3.22
"172","2019-04-03",3.21
"173","2019-04-04",3.08
"174","2019-04-05",3.07
"175","2019-04-08",2.98
"176","2019-04-09",2.95
"177","2019-04-10",2.96
"178","2019-04-11",2.9
"179","2019-04-12",2.93
"180","2019-04-15",2.93
"181","2019-04-16",2.91
"182","2019-04-17",2.83
"183","2019-04-18",2.69
"184","2019-04-22",2.69
"185","2019-04-23",2.59
"186","2019-04-24",2.4
"187","2019-04-25",2.4
"188","2019-04-26",2.5
"189","2019-04-29",2.55
"190","2019-04-30",2.62
"191","2019-05-01",2.72
"192","2019-05-02",2.83
"193","2019-05-03",2.89
"194","2019-05-06",2.88
"195","2019-05-07",2.76
"196","2019-05-08",2.77
"197","2019-05-09",2.63
"198","2019-05-10",2.37
"199","2019-05-13",2.26
"200","2019-05-14",2.23
"201","2019-05-15",2.28
"202","2019-05-16",2.25
"203","2019-05-17",2.26
"204","2019-05-20",2.2
"205","2019-05-21",2.15
"206","2019-05-22",2.21
"207","2019-05-23",2.3
"208","2019-05-24",2.28
"209","2019-05-28",2.23
"210","2019-05-29",2.04
"211","2019-05-30",2.09
"212","2019-05-31",1.85
"213","2019-06-03",1.83
"214","2019-06-04",1.81
"215","2019-06-05",1.92
"216","2019-06-06",2.05
"217","2019-06-07",2.13
"218","2019-06-10",2.04
"219","2019-06-11",1.92
"220","2019-06-12",1.92
"221","2019-06-13",2.06
"222","2019-06-14",1.95
"223","2019-06-17",1.93
"224","2019-06-18",1.98
"225","2019-06-19",1.87
"226","2019-06-20",1.93
"227","2019-06-21",1.95
"228","2019-06-24",1.88
"229","2019-06-25",1.85
"230","2019-06-26",1.85
"231","2019-06-27",1.78
"232","2019-06-28",1.68
