"","date","RESN"
"1","2014-05-29",9.1
"2","2014-05-30",8.38
"3","2014-06-02",7.95
"4","2014-06-03",7.6
"5","2014-06-04",7.89
"6","2014-06-05",8.2
"7","2014-06-06",8.14
"8","2014-06-09",7.93
"9","2014-06-10",7.74
"10","2014-06-11",7.83
"11","2014-06-12",7.75
"12","2014-06-13",7.64
"13","2014-06-16",7.59
"14","2014-06-17",7.25
"15","2014-06-18",7.3
"16","2014-06-19",7.42
"17","2014-06-20",7.499
"18","2014-06-23",7.63
"19","2014-06-24",7.8
"20","2014-06-25",8
"21","2014-06-26",8.55
"22","2014-06-27",8.29
"23","2014-06-30",7.72
"24","2014-07-01",7.15
"25","2014-07-02",7.14
"26","2014-07-03",7.2
"27","2014-07-07",7.43
"28","2014-07-08",7.25
"29","2014-07-09",7.15
"30","2014-07-10",7.05
"31","2014-07-11",7.2
"32","2014-07-14",7.14
"33","2014-07-15",6.61
"34","2014-07-16",6.52
"35","2014-07-17",6.26
"36","2014-07-18",6.5
"37","2014-07-21",6.65
"38","2014-07-22",6.65
"39","2014-07-23",7.07
"40","2014-07-24",7.01
"41","2014-07-25",7.01
"42","2014-07-28",7.1
"43","2014-07-29",6.9
"44","2014-07-30",6.9
"45","2014-07-31",6.49
"46","2014-08-01",6.76
"47","2014-08-04",6.9
"48","2014-08-05",6.94
"49","2014-08-06",6.74
"50","2014-08-07",6.95
"51","2014-08-08",7.87
"52","2014-08-11",7.23
"53","2014-08-12",6.96
"54","2014-08-13",6.91
"55","2014-08-14",6.8
"56","2014-08-15",7
"57","2014-08-18",7.66
"58","2014-08-19",7.7
"59","2014-08-20",8.14
"60","2014-08-21",8.12
"61","2014-08-22",8.07
"62","2014-08-25",7.95
"63","2014-08-26",7.875
"64","2014-08-27",7.45
"65","2014-08-28",7.37
"66","2014-08-29",7.41
"67","2014-09-02",6.87
"68","2014-09-03",6.81
"69","2014-09-04",6.79
"70","2014-09-05",6.8
"71","2014-09-08",6.8
"72","2014-09-09",6.8
"73","2014-09-10",6.5
"74","2014-09-11",6.49
"75","2014-09-12",6.74
"76","2014-09-15",6.19
"77","2014-09-16",6.465
"78","2014-09-17",6.8
"79","2014-09-18",6.78
"80","2014-09-19",6.5
"81","2014-09-22",6.25
"82","2014-09-23",6.52
"83","2014-09-24",6.378
"84","2014-09-25",6.264
"85","2014-09-26",6.42
"86","2014-09-29",6.9
"87","2014-09-30",7.29
"88","2014-10-01",7.55
"89","2014-10-02",6.97
"90","2014-10-03",6.85
"91","2014-10-06",6.53
"92","2014-10-07",6.54
"93","2014-10-08",6.48
"94","2014-10-09",6.35
"95","2014-10-10",6.3
"96","2014-10-13",6.05
