"","date","NTRP"
"1","2017-01-17",7.05
"2","2017-01-18",6.75
"3","2017-01-19",7
"4","2017-01-20",8.45
"5","2017-01-23",8.5
"6","2017-01-24",8.21
"7","2017-01-25",8.38
"8","2017-01-26",8.73
"9","2017-01-27",9.75
"10","2017-01-30",11.59
"11","2017-01-31",10.9
"12","2017-02-01",11.18
"13","2017-02-02",13.25
"14","2017-02-03",14.25
"15","2017-02-06",12.7
"16","2017-02-07",11.2
"17","2017-02-08",11.445
"18","2017-02-09",13.45
"19","2017-02-10",13.35
"20","2017-02-13",15
"21","2017-02-14",13.8
"22","2017-02-15",11.642
"23","2017-02-16",NA
"24","2017-02-17",15.77
"25","2017-02-21",18.469999
"26","2017-02-22",18.33
"27","2017-02-23",19
"28","2017-02-24",18.15
"29","2017-02-27",18.9
"30","2017-02-28",19.5
"31","2017-03-01",19.91
"32","2017-03-02",19.700001
"33","2017-03-03",19.549999
"34","2017-03-06",19.5
"35","2017-03-07",19.6
"36","2017-03-08",20
"37","2017-03-09",22.049999
"38","2017-03-10",25.799999
"39","2017-03-13",28.6
"40","2017-03-14",23.35
"41","2017-03-15",22.35
"42","2017-03-16",19
"43","2017-03-17",19.1
"44","2017-03-20",19.299999
"45","2017-03-21",18.6
"46","2017-03-22",18.9
"47","2017-03-23",19.549999
"48","2017-03-24",19.355
"49","2017-03-27",18.1
"50","2017-03-28",18.5
"51","2017-03-29",18.5
"52","2017-03-30",19.209
"53","2017-03-31",19.110001
"54","2017-04-03",18.049999
"55","2017-04-04",18.610001
"56","2017-04-05",18
"57","2017-04-06",18.4
"58","2017-04-07",19.280001
"59","2017-04-10",20.650999
"60","2017-04-11",19.620001
"61","2017-04-12",19.43
"62","2017-04-13",19.84
"63","2017-04-17",19.450001
"64","2017-04-18",19.110001
"65","2017-04-19",19.209999
"66","2017-04-20",19.9
"67","2017-04-21",18.610001
"68","2017-04-24",17
"69","2017-04-25",15.5
"70","2017-04-26",15.73
"71","2017-04-27",15.14
