"","date","IR"
"1","2017-05-12",21.1
"2","2017-05-15",22.02
"3","2017-05-16",22.1
"4","2017-05-17",22.1
"5","2017-05-18",22.5
"6","2017-05-19",22.719999
"7","2017-05-22",22.889999
"8","2017-05-23",23.450001
"9","2017-05-24",23.35
"10","2017-05-25",22.51
"11","2017-05-26",23.030001
"12","2017-05-30",22.950001
"13","2017-05-31",22.93
"14","2017-06-01",22.93
"15","2017-06-02",22.65
"16","2017-06-05",22.629999
"17","2017-06-06",22.290001
"18","2017-06-07",21.76
"19","2017-06-08",21.65
"20","2017-06-09",22.49
"21","2017-06-12",23.030001
"22","2017-06-13",23.49
"23","2017-06-14",23.25
"24","2017-06-15",22.99
"25","2017-06-16",23.92
"26","2017-06-19",23.92
"27","2017-06-20",22.620001
"28","2017-06-21",20.719999
"29","2017-06-22",21.059999
"30","2017-06-23",20.469999
"31","2017-06-26",20.5
"32","2017-06-27",21.290001
"33","2017-06-28",21.27
"34","2017-06-29",21.43
"35","2017-06-30",21.610001
"36","2017-07-03",22.34
"37","2017-07-05",21.82
"38","2017-07-06",20.969999
"39","2017-07-07",20.67
"40","2017-07-10",21.34
"41","2017-07-11",21.73
"42","2017-07-12",22.129999
"43","2017-07-13",22.059999
"44","2017-07-14",22.08
"45","2017-07-17",22.969999
"46","2017-07-18",23.040001
"47","2017-07-19",23.42
"48","2017-07-20",23.549999
"49","2017-07-21",23.01
"50","2017-07-24",23.139999
"51","2017-07-25",23.450001
"52","2017-07-26",22.82
"53","2017-07-27",23.23
"54","2017-07-28",23.09
"55","2017-07-31",22.959999
"56","2017-08-01",22.5
"57","2017-08-02",23.02
"58","2017-08-03",23.26
"59","2017-08-04",24.07
"60","2017-08-07",24.040001
"61","2017-08-08",24.129999
"62","2017-08-09",23.6
"63","2017-08-10",22.66
"64","2017-08-11",22.68
"65","2017-08-14",22.59
"66","2017-08-15",22.690001
"67","2017-08-16",22.75
"68","2017-08-17",22
"69","2017-08-18",21.969999
"70","2017-08-21",22.389999
"71","2017-08-22",22.780001
"72","2017-08-23",22.959999
"73","2017-08-24",22.700001
"74","2017-08-25",22.98
"75","2017-08-28",22.950001
"76","2017-08-29",23.059999
"77","2017-08-30",23.299999
"78","2017-08-31",23.49
"79","2017-09-01",23.700001
"80","2017-09-05",23.120001
"81","2017-09-06",23.35
"82","2017-09-07",23.610001
"83","2017-09-08",23.76
"84","2017-09-11",23.889999
"85","2017-09-12",24.530001
"86","2017-09-13",24.67
"87","2017-09-14",24.969999
"88","2017-09-15",25.09
"89","2017-09-18",25.780001
"90","2017-09-19",25.82
"91","2017-09-20",25.98
"92","2017-09-21",25.85
"93","2017-09-22",26.280001
"94","2017-09-25",26.4
"95","2017-09-26",26.309999
"96","2017-09-27",27.07
"97","2017-09-28",27.33
"98","2017-09-29",27.52
"99","2017-10-02",27.549999
"100","2017-10-03",27.629999
"101","2017-10-04",26.889999
"102","2017-10-05",26.790001
"103","2017-10-06",26.6
"104","2017-10-09",26.780001
"105","2017-10-10",26.9
"106","2017-10-11",26.860001
"107","2017-10-12",26.889999
"108","2017-10-13",26.959999
"109","2017-10-16",26.92
"110","2017-10-17",26.99
"111","2017-10-18",26.75
"112","2017-10-19",26.360001
"113","2017-10-20",26.58
"114","2017-10-23",26.42
"115","2017-10-24",26.6
"116","2017-10-25",26.620001
"117","2017-10-26",29.1
"118","2017-10-27",30.42
"119","2017-10-30",29.120001
"120","2017-10-31",28.85
"121","2017-11-01",28.940001
"122","2017-11-02",29.309999
"123","2017-11-03",28.58
"124","2017-11-06",27.959999
"125","2017-11-07",28
"126","2017-11-08",28.07
"127","2017-11-09",28.139999
"128","2017-11-10",28.76
"129","2017-11-13",29.41
"130","2017-11-14",28.66
"131","2017-11-15",27.540001
"132","2017-11-16",28.889999
"133","2017-11-17",30.049999
"134","2017-11-20",30.57
"135","2017-11-21",30.73
"136","2017-11-22",30.98
"137","2017-11-24",31.139999
"138","2017-11-27",31.459999
"139","2017-11-28",31.23
"140","2017-11-29",31.15
"141","2017-11-30",32.41
"142","2017-12-01",32.080002
"143","2017-12-04",31.450001
"144","2017-12-05",31.16
"145","2017-12-06",31.469999
"146","2017-12-07",32.18
"147","2017-12-08",32.330002
"148","2017-12-11",32.029999
"149","2017-12-12",31.68
"150","2017-12-13",31.83
"151","2017-12-14",31.690001
"152","2017-12-15",32.610001
"153","2017-12-18",33.380001
"154","2017-12-19",33.290001
"155","2017-12-20",34.009998
"156","2017-12-21",34.43
"157","2017-12-22",34.200001
"158","2017-12-26",34.029999
"159","2017-12-27",34.110001
"160","2017-12-28",33.970001
"161","2017-12-29",33.93
"162","2018-01-02",33.709999
"163","2018-01-03",33.91
"164","2018-01-04",34.07
"165","2018-01-05",34.549999
"166","2018-01-08",34.91
"167","2018-01-09",35.09
"168","2018-01-10",34.450001
"169","2018-01-11",34.889999
"170","2018-01-12",34.560001
"171","2018-01-16",35.099998
"172","2018-01-17",34.959999
"173","2018-01-18",35.200001
"174","2018-01-19",35.919998
"175","2018-01-22",36.189999
"176","2018-01-23",36.689999
"177","2018-01-24",36.27
"178","2018-01-25",35.939999
"179","2018-01-26",36.279999
"180","2018-01-29",36.240002
"181","2018-01-30",35.470001
"182","2018-01-31",34.580002
"183","2018-02-01",35.040001
"184","2018-02-02",34.169998
"185","2018-02-05",33.509998
"186","2018-02-06",33.389999
"187","2018-02-07",32.810001
"188","2018-02-08",31.57
"189","2018-02-09",31.75
"190","2018-02-12",32.700001
"191","2018-02-13",33.080002
"192","2018-02-14",33.509998
"193","2018-02-15",34.529999
"194","2018-02-16",32.849998
"195","2018-02-20",31.73
"196","2018-02-21",31.780001
"197","2018-02-22",32.060001
"198","2018-02-23",32.880001
"199","2018-02-26",33
"200","2018-02-27",32.68
"201","2018-02-28",32.009998
"202","2018-03-01",30.889999
"203","2018-03-02",31.799999
"204","2018-03-05",32.040001
"205","2018-03-06",31.809999
"206","2018-03-07",31.82
"207","2018-03-08",32.369999
"208","2018-03-09",33
"209","2018-03-12",32.639999
"210","2018-03-13",32.529999
"211","2018-03-14",32.959999
"212","2018-03-15",32.66
"213","2018-03-16",32.959999
"214","2018-03-19",32.709999
"215","2018-03-20",32.549999
"216","2018-03-21",33.130001
"217","2018-03-22",31.209999
"218","2018-03-23",30.32
"219","2018-03-26",30.73
"220","2018-03-27",30.4
"221","2018-03-28",30.049999
"222","2018-03-29",30.68
"223","2018-04-02",29.129999
"224","2018-04-03",29.73
"225","2018-04-04",29.790001
"226","2018-04-05",30.809999
"227","2018-04-06",29.83
"228","2018-04-09",29.360001
"229","2018-04-10",30.889999
"230","2018-04-11",31
"231","2018-04-12",31.549999
"232","2018-04-13",31.620001
"233","2018-04-16",32.040001
"234","2018-04-17",32.290001
"235","2018-04-18",32.669998
"236","2018-04-19",32.529999
"237","2018-04-20",32.169998
"238","2018-04-23",31.780001
"239","2018-04-24",31.23
"240","2018-04-25",31.68
"241","2018-04-26",30.860001
"242","2018-04-27",31.84
"243","2018-04-30",31.629999
"244","2018-05-01",31.16
"245","2018-05-02",31.4
"246","2018-05-03",31.68
"247","2018-05-04",32.07
"248","2018-05-07",32.049999
"249","2018-05-08",31.51
"250","2018-05-09",32.049999
"251","2018-05-10",33.470001
"252","2018-05-11",33.439999
"253","2018-05-14",33.459999
"254","2018-05-15",33.630001
"255","2018-05-16",33.75
"256","2018-05-17",34.299999
"257","2018-05-18",34.459999
"258","2018-05-21",34.419998
"259","2018-05-22",34.41
"260","2018-05-23",34.27
"261","2018-05-24",33.860001
"262","2018-05-25",32.880001
"263","2018-05-29",32.610001
"264","2018-05-30",33.389999
"265","2018-05-31",32.869999
"266","2018-06-01",32.34
"267","2018-06-04",32.5
"268","2018-06-05",32.380001
"269","2018-06-06",32.82
"270","2018-06-07",33.110001
"271","2018-06-08",31.84
"272","2018-06-11",29.83
"273","2018-06-12",29.450001
"274","2018-06-13",29.389999
"275","2018-06-14",30.059999
"276","2018-06-15",29.68
"277","2018-06-18",29.98
"278","2018-06-19",29.469999
"279","2018-06-20",28.24
"280","2018-06-21",27.92
"281","2018-06-22",28.83
