"","date","DX"
"1","2007-01-03",21.18
"2","2007-01-04",21.059999
"3","2007-01-05",21.120001
"4","2007-01-08",21.33
"5","2007-01-09",21.09
"6","2007-01-10",21.120001
"7","2007-01-11",21.209999
"8","2007-01-12",21.360001
"9","2007-01-16",21.299999
"10","2007-01-17",21.48
"11","2007-01-18",21.450001
"12","2007-01-19",21.540001
"13","2007-01-22",21.93
"14","2007-01-23",21.9
"15","2007-01-24",21.809999
"16","2007-01-25",21.84
"17","2007-01-26",21.959999
"18","2007-01-29",21.9
"19","2007-01-30",22.200001
"20","2007-01-31",22.139999
"21","2007-02-01",22.23
"22","2007-02-02",22.200001
"23","2007-02-05",22.290001
"24","2007-02-06",22.290001
"25","2007-02-07",22.32
"26","2007-02-08",22.83
"27","2007-02-09",22.77
"28","2007-02-12",22.74
"29","2007-02-13",22.709999
"30","2007-02-14",22.889999
"31","2007-02-15",23.219999
"32","2007-02-16",23.76
"33","2007-02-20",23.85
"34","2007-02-21",23.76
"35","2007-02-22",23.73
"36","2007-02-23",23.790001
"37","2007-02-26",23.76
"38","2007-02-27",23.73
"39","2007-02-28",23.459999
"40","2007-03-01",23.610001
"41","2007-03-02",23.52
"42","2007-03-05",23.34
"43","2007-03-06",23.549999
"44","2007-03-07",23.58
"45","2007-03-08",23.49
"46","2007-03-09",23.309999
"47","2007-03-12",22.98
"48","2007-03-13",23.07
"49","2007-03-14",22.950001
"50","2007-03-15",22.889999
"51","2007-03-16",22.620001
"52","2007-03-19",22.620001
"53","2007-03-20",22.65
"54","2007-03-21",22.65
"55","2007-03-22",22.889999
"56","2007-03-23",23.43
"57","2007-03-26",23.370001
"58","2007-03-27",23.309999
"59","2007-03-28",23.549999
"60","2007-03-29",23.309999
"61","2007-03-30",23.25
"62","2007-04-02",23.549999
"63","2007-04-03",23.73
"64","2007-04-04",23.879999
"65","2007-04-05",23.91
"66","2007-04-09",23.82
"67","2007-04-10",23.639999
"68","2007-04-11",23.52
"69","2007-04-12",23.43
"70","2007-04-13",23.4
"71","2007-04-16",23.49
"72","2007-04-17",23.459999
"73","2007-04-18",23.610001
"74","2007-04-19",23.52
"75","2007-04-20",23.58
"76","2007-04-23",23.879999
"77","2007-04-24",23.879999
"78","2007-04-25",23.73
