"","date","PINE"
"1","2019-11-22",19
"2","2019-11-25",18.65
"3","2019-11-26",18.799999
"4","2019-11-27",18.77
"5","2019-11-29",18.77
"6","2019-12-02",18.92
"7","2019-12-03",18.98
"8","2019-12-04",18.799999
"9","2019-12-05",18.700001
"10","2019-12-06",18.65
"11","2019-12-09",18.6
"12","2019-12-10",18.66
"13","2019-12-11",18.6
"14","2019-12-12",18.77
"15","2019-12-13",18.85
"16","2019-12-16",18.950001
"17","2019-12-17",18.700001
"18","2019-12-18",18.91
"19","2019-12-19",18.969999
"20","2019-12-20",18.9
"21","2019-12-23",18.860001
"22","2019-12-24",18.9
"23","2019-12-26",18.9
"24","2019-12-27",18.799999
"25","2019-12-30",18.9
"26","2019-12-31",19.030001
"27","2020-01-02",19.040001
"28","2020-01-03",18.9
"29","2020-01-06",18.9
"30","2020-01-07",18.959999
"31","2020-01-08",19
"32","2020-01-09",19.190001
"33","2020-01-10",19.15
"34","2020-01-13",19.299999
"35","2020-01-14",19.17
"36","2020-01-15",19.200001
"37","2020-01-16",19.23
"38","2020-01-17",19.219999
"39","2020-01-21",19.1
"40","2020-01-22",19.09
"41","2020-01-23",19.1
"42","2020-01-24",18.93
"43","2020-01-27",19.014999
"44","2020-01-28",19.08
"45","2020-01-29",19.07
"46","2020-01-30",18.950001
"47","2020-01-31",19.02
"48","2020-02-03",19.049999
"49","2020-02-04",19.1
"50","2020-02-05",19
"51","2020-02-06",19.16
"52","2020-02-07",19.08
"53","2020-02-10",19.139999
"54","2020-02-11",19.35
"55","2020-02-12",19.385
"56","2020-02-13",19.235001
"57","2020-02-14",19.549999
"58","2020-02-18",19.483
"59","2020-02-19",19.48
"60","2020-02-20",19.280001
"61","2020-02-21",19.6
"62","2020-02-24",18.940001
"63","2020-02-25",19.049999
"64","2020-02-26",18.879999
"65","2020-02-27",18.719999
"66","2020-02-28",18.4
"67","2020-03-02",18.08
"68","2020-03-03",17.1
"69","2020-03-04",17.549999
"70","2020-03-05",17.889999
"71","2020-03-06",17.549999
"72","2020-03-09",16.66
"73","2020-03-10",16.92
"74","2020-03-11",15.75
"75","2020-03-12",13.47
"76","2020-03-13",13.23
"77","2020-03-16",8.81
"78","2020-03-17",9.26
"79","2020-03-18",7.84
"80","2020-03-19",9.4
"81","2020-03-20",12.14
"82","2020-03-23",11.73
"83","2020-03-24",12.73
"84","2020-03-25",12.55
"85","2020-03-26",11.94
"86","2020-03-27",12.39
"87","2020-03-30",12.03
"88","2020-03-31",12.31
"89","2020-04-01",11.78
"90","2020-04-02",11.83
"91","2020-04-03",11.44
"92","2020-04-06",10.74
"93","2020-04-07",8.77
"94","2020-04-08",10.18
"95","2020-04-09",10.78
"96","2020-04-13",10.86
"97","2020-04-14",11.11
"98","2020-04-15",10.73
"99","2020-04-16",10.67
"100","2020-04-17",10.64
"101","2020-04-20",10.45
"102","2020-04-21",10.14
"103","2020-04-22",10.17
"104","2020-04-23",10.9
"105","2020-04-24",10.9
"106","2020-04-27",11.6
"107","2020-04-28",12.4
"108","2020-04-29",13.89
"109","2020-04-30",12.95
"110","2020-05-01",12.17
"111","2020-05-04",11.9
"112","2020-05-05",11.41
"113","2020-05-06",12.33
"114","2020-05-07",12.78
"115","2020-05-08",13.37
"116","2020-05-11",13.24
"117","2020-05-12",12
"118","2020-05-13",10.71
"119","2020-05-14",10.97
"120","2020-05-15",11.54
"121","2020-05-18",11.78
"122","2020-05-19",12.1
"123","2020-05-20",11.985
"124","2020-05-21",11.47
"125","2020-05-22",11.89
"126","2020-05-26",11.8
"127","2020-05-27",11.83
"128","2020-05-28",11.99
"129","2020-05-29",12.37
"130","2020-06-01",12.56
"131","2020-06-02",14.26
"132","2020-06-03",14.95
"133","2020-06-04",14.21
"134","2020-06-05",15
"135","2020-06-08",15.1
"136","2020-06-09",15.02
"137","2020-06-10",14.86
"138","2020-06-11",14.29
"139","2020-06-12",16.059999
"140","2020-06-15",16.15
"141","2020-06-16",16.76
"142","2020-06-17",16.77
"143","2020-06-18",16.99
"144","2020-06-19",16.27
"145","2020-06-22",16.75
"146","2020-06-23",16.92
"147","2020-06-24",15.35
"148","2020-06-25",16.42
"149","2020-06-26",14.64
"150","2020-06-29",15.91
