"","date","RVMD"
"1","2020-02-13",28.9
"2","2020-02-14",28.309999
"3","2020-02-18",29.049999
"4","2020-02-19",30.379999
"5","2020-02-20",31
"6","2020-02-21",30.42
"7","2020-02-24",30.700001
"8","2020-02-25",32.07
"9","2020-02-26",33.169998
"10","2020-02-27",32.16
"11","2020-02-28",31.27
"12","2020-03-02",32.84
"13","2020-03-03",33.130001
"14","2020-03-04",34.080002
"15","2020-03-05",32.98
"16","2020-03-06",31.959999
"17","2020-03-09",31.83
"18","2020-03-10",29.01
"19","2020-03-11",29.67
"20","2020-03-12",24.540001
"21","2020-03-13",24.780001
"22","2020-03-16",20
"23","2020-03-17",20.34
"24","2020-03-18",20.16
"25","2020-03-19",22.629999
"26","2020-03-20",23.24
"27","2020-03-23",22.68
"28","2020-03-24",24.35
"29","2020-03-25",25.959999
"30","2020-03-26",25.219999
"31","2020-03-27",22.48
"32","2020-03-30",22.33
"33","2020-03-31",21.91
"34","2020-04-01",19.65
"35","2020-04-02",22.219999
"36","2020-04-03",23.43
"37","2020-04-06",23.690001
"38","2020-04-07",23.75
"39","2020-04-08",23.360001
"40","2020-04-09",23.65
"41","2020-04-13",23.73
"42","2020-04-14",23.74
"43","2020-04-15",20.85
"44","2020-04-16",22.23
"45","2020-04-17",23
"46","2020-04-20",25.209999
"47","2020-04-21",25.690001
"48","2020-04-22",26.34
"49","2020-04-23",27.799999
"50","2020-04-24",26.709999
"51","2020-04-27",29.440001
"52","2020-04-28",30.950001
"53","2020-04-29",33.630001
"54","2020-04-30",31.27
"55","2020-05-01",29.49
"56","2020-05-04",29.299999
"57","2020-05-05",34.139999
"58","2020-05-06",36.290001
"59","2020-05-07",37.950001
"60","2020-05-08",37.240002
"61","2020-05-11",37.900002
"62","2020-05-12",36.130001
"63","2020-05-13",34.389999
"64","2020-05-14",35.939999
"65","2020-05-15",33.939999
"66","2020-05-18",37.110001
"67","2020-05-19",34.669998
"68","2020-05-20",35.93
"69","2020-05-21",35.860001
"70","2020-05-22",33.27
"71","2020-05-26",33.630001
"72","2020-05-27",31.43
"73","2020-05-28",30.24
"74","2020-05-29",30.719999
"75","2020-06-01",33.580002
"76","2020-06-02",33.77
"77","2020-06-03",33.599998
"78","2020-06-04",33.029999
"79","2020-06-05",32.849998
"80","2020-06-08",35.5
"81","2020-06-09",35.080002
"82","2020-06-10",33.849998
"83","2020-06-11",32.790001
"84","2020-06-12",36.080002
"85","2020-06-15",38.860001
"86","2020-06-16",38.029999
"87","2020-06-17",36.57
"88","2020-06-18",38
"89","2020-06-19",37.650002
"90","2020-06-22",39.34
"91","2020-06-23",35.040001
"92","2020-06-24",33.560001
"93","2020-06-25",34.09
"94","2020-06-26",31.440001
"95","2020-06-29",30.549999
"96","2020-06-30",31.57
"97","2020-07-01",32.549999
"98","2020-07-02",31.01
"99","2020-07-06",29.459999
"100","2020-07-07",26.08
"101","2020-07-08",27
"102","2020-07-09",27.66
"103","2020-07-10",30.49
"104","2020-07-13",28
"105","2020-07-14",25.4
"106","2020-07-15",26.01
"107","2020-07-16",25.370001
"108","2020-07-17",25.41
"109","2020-07-20",24.6
"110","2020-07-21",24.41
"111","2020-07-22",25.209999
"112","2020-07-23",26
"113","2020-07-24",24.65
"114","2020-07-27",25.610001
"115","2020-07-28",25
"116","2020-07-29",23.450001
"117","2020-07-30",22.610001
"118","2020-07-31",24.120001
"119","2020-08-03",24.290001
"120","2020-08-04",23.52
"121","2020-08-05",24.559999
"122","2020-08-06",25.639999
"123","2020-08-07",26.219999
"124","2020-08-10",28.5
"125","2020-08-11",28.030001
"126","2020-08-12",26.110001
"127","2020-08-13",27.24
"128","2020-08-14",25.23
"129","2020-08-17",25.790001
"130","2020-08-18",25.870001
"131","2020-08-19",26.280001
"132","2020-08-20",25.65
"133","2020-08-21",26.219999
"134","2020-08-24",26.940001
"135","2020-08-25",28.200001
"136","2020-08-26",28.219999
"137","2020-08-27",28.42
"138","2020-08-28",28.690001
"139","2020-08-31",28.34
"140","2020-09-01",28.25
"141","2020-09-02",28.66
"142","2020-09-03",28.08
"143","2020-09-04",26.879999
"144","2020-09-08",26.870001
"145","2020-09-09",28.4
"146","2020-09-10",27.93
"147","2020-09-11",27.85
"148","2020-09-14",28.1
"149","2020-09-15",27.709999
"150","2020-09-16",28.799999
"151","2020-09-17",30.959999
"152","2020-09-18",30.940001
"153","2020-09-21",33.07
"154","2020-09-22",33.23
"155","2020-09-23",31.99
"156","2020-09-24",31.41
"157","2020-09-25",32.869999
"158","2020-09-28",33.869999
"159","2020-09-29",33.970001
"160","2020-09-30",34.799999
"161","2020-10-01",35.049999
"162","2020-10-02",35.549999
"163","2020-10-05",38.970001
"164","2020-10-06",39.880001
"165","2020-10-07",39.650002
"166","2020-10-08",40.189999
"167","2020-10-09",39.860001
"168","2020-10-12",41.57
"169","2020-10-13",44.540001
"170","2020-10-14",43.66
"171","2020-10-15",44.700001
"172","2020-10-16",45.490002
"173","2020-10-19",44.700001
"174","2020-10-20",42.700001
