"","date","SBNY"
"1","2007-01-03",30.98
"2","2007-01-04",31.18
"3","2007-01-05",30.17
"4","2007-01-08",30.33
"5","2007-01-09",30.02
"6","2007-01-10",30.219999
"7","2007-01-11",30.49
"8","2007-01-12",30.799999
"9","2007-01-16",30.450001
"10","2007-01-17",30.02
"11","2007-01-18",30.049999
"12","2007-01-19",30.450001
"13","2007-01-22",29.780001
"14","2007-01-23",30.32
"15","2007-01-24",30.190001
"16","2007-01-25",31.360001
"17","2007-01-26",31.700001
"18","2007-01-29",33.049999
"19","2007-01-30",33.029999
"20","2007-01-31",33.110001
"21","2007-02-01",32.900002
"22","2007-02-02",32.709999
"23","2007-02-05",32.389999
"24","2007-02-06",33.580002
"25","2007-02-07",33.43
"26","2007-02-08",33.490002
"27","2007-02-09",33.450001
"28","2007-02-12",33.32
"29","2007-02-13",33.459999
"30","2007-02-14",33.959999
"31","2007-02-15",33.990002
"32","2007-02-16",33.759998
"33","2007-02-20",33.720001
"34","2007-02-21",33.360001
"35","2007-02-22",33.139999
"36","2007-02-23",32.790001
"37","2007-02-26",32.57
"38","2007-02-27",31.25
"39","2007-02-28",30.719999
"40","2007-03-01",30.48
"41","2007-03-02",30.440001
"42","2007-03-05",30.200001
"43","2007-03-06",30.59
"44","2007-03-07",30.120001
"45","2007-03-08",30.030001
"46","2007-03-09",29.879999
"47","2007-03-12",30.6
"48","2007-03-13",29.73
"49","2007-03-14",29.9
"50","2007-03-15",30.48
"51","2007-03-16",30.309999
"52","2007-03-19",30.17
"53","2007-03-20",30.559999
"54","2007-03-21",31.84
"55","2007-03-22",33.240002
"56","2007-03-23",32.849998
"57","2007-03-26",32.790001
"58","2007-03-27",32.779999
"59","2007-03-28",32.59
"60","2007-03-29",32.549999
"61","2007-03-30",32.540001
"62","2007-04-02",32.939999
"63","2007-04-03",33.529999
"64","2007-04-04",33.200001
"65","2007-04-05",32.75
"66","2007-04-09",31.85
"67","2007-04-10",32.040001
"68","2007-04-11",32
"69","2007-04-12",31.1
"70","2007-04-13",30.790001
"71","2007-04-16",31.620001
"72","2007-04-17",32.290001
"73","2007-04-18",32.599998
"74","2007-04-19",31.84
"75","2007-04-20",31.450001
"76","2007-04-23",31.290001
"77","2007-04-24",31.09
"78","2007-04-25",31.24
"79","2007-04-26",31.16
"80","2007-04-27",31.9
"81","2007-04-30",31.459999
"82","2007-05-01",31.809999
"83","2007-05-02",32.720001
"84","2007-05-03",32.650002
"85","2007-05-04",33.299999
"86","2007-05-07",33.099998
"87","2007-05-08",33.209999
"88","2007-05-09",33.139999
"89","2007-05-10",32.200001
