"","date","PRTY"
"1","2015-04-15",17
"2","2015-04-16",20.700001
"3","2015-04-17",21.57
"4","2015-04-20",21.25
"5","2015-04-21",20.870001
"6","2015-04-22",20.65
"7","2015-04-23",21.049999
"8","2015-04-24",21.030001
"9","2015-04-27",21.370001
"10","2015-04-28",21.34
"11","2015-04-29",20.799999
"12","2015-04-30",20.790001
"13","2015-05-01",21.049999
"14","2015-05-04",21.280001
"15","2015-05-05",21.16
"16","2015-05-06",21.01
"17","2015-05-07",21.24
"18","2015-05-08",21.209999
"19","2015-05-11",21.25
"20","2015-05-12",20.969999
"21","2015-05-13",21.76
"22","2015-05-14",21.75
"23","2015-05-15",22.059999
"24","2015-05-18",21.83
"25","2015-05-19",22.049999
"26","2015-05-20",21.540001
"27","2015-05-21",21.85
"28","2015-05-22",21.799999
"29","2015-05-26",21.58
"30","2015-05-27",21.68
"31","2015-05-28",21.34
"32","2015-05-29",21.75
"33","2015-06-01",21.52
"34","2015-06-02",21.51
"35","2015-06-03",21.549999
"36","2015-06-04",21.59
"37","2015-06-05",21.549999
"38","2015-06-08",21.52
"39","2015-06-09",21.49
"40","2015-06-10",21.629999
"41","2015-06-11",21.73
"42","2015-06-12",21.93
"43","2015-06-15",21.82
"44","2015-06-16",21.879999
"45","2015-06-17",21.790001
"46","2015-06-18",21.77
"47","2015-06-19",21.450001
"48","2015-06-22",21
"49","2015-06-23",21.49
"50","2015-06-24",20.91
"51","2015-06-25",20.610001
"52","2015-06-26",20.33
"53","2015-06-29",20.139999
"54","2015-06-30",20.27
"55","2015-07-01",20.01
"56","2015-07-02",19.860001
"57","2015-07-06",19.799999
"58","2015-07-07",19.83
"59","2015-07-08",19.879999
"60","2015-07-09",20.549999
"61","2015-07-10",21.01
"62","2015-07-13",21.15
"63","2015-07-14",21.530001
"64","2015-07-15",21.469999
"65","2015-07-16",21.5
"66","2015-07-17",21.4
"67","2015-07-20",21.700001
"68","2015-07-21",21.709999
"69","2015-07-22",22.32
"70","2015-07-23",21.559999
"71","2015-07-24",21.360001
"72","2015-07-27",20.73
"73","2015-07-28",20.549999
"74","2015-07-29",20.620001
"75","2015-07-30",20.620001
"76","2015-07-31",20.620001
"77","2015-08-03",20.51
"78","2015-08-04",20.459999
"79","2015-08-05",20.76
"80","2015-08-06",19.93
"81","2015-08-07",19.799999
"82","2015-08-10",19.690001
"83","2015-08-11",19.35
"84","2015-08-12",19
"85","2015-08-13",18.889999
"86","2015-08-14",17.92
"87","2015-08-17",18.280001
"88","2015-08-18",17.889999
"89","2015-08-19",17.700001
"90","2015-08-20",17.610001
"91","2015-08-21",17.65
"92","2015-08-24",17.639999
"93","2015-08-25",17.51
"94","2015-08-26",16.799999
"95","2015-08-27",16.83
"96","2015-08-28",16.809999
"97","2015-08-31",16.940001
"98","2015-09-01",16.889999
