"","date","USX"
"1","2018-06-14",16.68
"2","2018-06-15",16.620001
"3","2018-06-18",16.1
"4","2018-06-19",15.11
"5","2018-06-20",15.79
"6","2018-06-21",15.63
"7","2018-06-22",15.3
"8","2018-06-25",14.46
"9","2018-06-26",13.52
"10","2018-06-27",12.66
"11","2018-06-28",13.67
"12","2018-06-29",15.14
"13","2018-07-02",15.2
"14","2018-07-03",15.31
"15","2018-07-05",15.33
"16","2018-07-06",15.77
"17","2018-07-09",15.49
"18","2018-07-10",15.64
"19","2018-07-11",15.82
"20","2018-07-12",15.59
"21","2018-07-13",15.64
"22","2018-07-16",14.71
"23","2018-07-17",14.42
"24","2018-07-18",14.84
"25","2018-07-19",14.79
"26","2018-07-20",14.85
"27","2018-07-23",15.29
"28","2018-07-24",14.16
"29","2018-07-25",13.34
"30","2018-07-26",13.1
"31","2018-07-27",13.09
"32","2018-07-30",13.07
"33","2018-07-31",13.1
"34","2018-08-01",13.02
"35","2018-08-02",13.48
"36","2018-08-03",13.33
"37","2018-08-06",13.66
"38","2018-08-07",13.92
"39","2018-08-08",14.09
"40","2018-08-09",14.05
"41","2018-08-10",14.04
"42","2018-08-13",13.99
"43","2018-08-14",14.18
"44","2018-08-15",14
"45","2018-08-16",14.07
"46","2018-08-17",14
"47","2018-08-20",14.17
"48","2018-08-21",14.28
"49","2018-08-22",14.42
"50","2018-08-23",14.38
"51","2018-08-24",14.54
"52","2018-08-27",14.88
"53","2018-08-28",14.77
"54","2018-08-29",14.82
"55","2018-08-30",14.78
"56","2018-08-31",14.79
"57","2018-09-04",14.82
"58","2018-09-05",15.01
"59","2018-09-06",15.21
"60","2018-09-07",15.78
"61","2018-09-10",16.110001
"62","2018-09-11",15.92
"63","2018-09-12",15.67
"64","2018-09-13",14.89
"65","2018-09-14",15.01
"66","2018-09-17",15.14
"67","2018-09-18",15.06
"68","2018-09-19",14.66
"69","2018-09-20",14.49
"70","2018-09-21",14.09
"71","2018-09-24",14.02
"72","2018-09-25",13.89
"73","2018-09-26",13.7
"74","2018-09-27",13.67
"75","2018-09-28",13.8
"76","2018-10-01",13.62
"77","2018-10-02",13.39
"78","2018-10-03",13.58
"79","2018-10-04",13.28
"80","2018-10-05",12.61
"81","2018-10-08",12.39
"82","2018-10-09",12.27
"83","2018-10-10",11.79
"84","2018-10-11",11.24
"85","2018-10-12",11.19
"86","2018-10-15",11.31
"87","2018-10-16",11.3
"88","2018-10-17",10.75
"89","2018-10-18",9.99
"90","2018-10-19",9.96
"91","2018-10-22",10.01
"92","2018-10-23",9.85
"93","2018-10-24",9.54
"94","2018-10-25",9.82
"95","2018-10-26",9.42
"96","2018-10-29",9.38
"97","2018-10-30",9.65
"98","2018-10-31",9.63
"99","2018-11-01",10.14
"100","2018-11-02",7.1
"101","2018-11-05",6.95
"102","2018-11-06",8.02
"103","2018-11-07",8.26
"104","2018-11-08",8.31
"105","2018-11-09",7.67
"106","2018-11-12",7.44
"107","2018-11-13",7.45
"108","2018-11-14",7.7
"109","2018-11-15",7.79
"110","2018-11-16",7.79
"111","2018-11-19",7.91
"112","2018-11-20",7.47
"113","2018-11-21",7.35
"114","2018-11-23",7.43
"115","2018-11-26",7.45
"116","2018-11-27",7.28
"117","2018-11-28",7.66
"118","2018-11-29",7.64
"119","2018-11-30",8.23
"120","2018-12-03",8.19
"121","2018-12-04",7.03
"122","2018-12-06",6.86
"123","2018-12-07",6.37
"124","2018-12-10",6
"125","2018-12-11",6.33
"126","2018-12-12",6.08
"127","2018-12-13",5.72
"128","2018-12-14",5.5
"129","2018-12-17",5.14
"130","2018-12-18",5.1
"131","2018-12-19",4.95
"132","2018-12-20",4.96
"133","2018-12-21",5.05
"134","2018-12-24",4.94
"135","2018-12-26",5.38
"136","2018-12-27",5.42
"137","2018-12-28",5.43
"138","2018-12-31",5.61
"139","2019-01-02",5.82
"140","2019-01-03",5.73
"141","2019-01-04",5.9
"142","2019-01-07",5.86
"143","2019-01-08",6.55
"144","2019-01-09",6.82
"145","2019-01-10",7.1
"146","2019-01-11",7
"147","2019-01-14",6.95
"148","2019-01-15",6.87
"149","2019-01-16",6.96
"150","2019-01-17",7.15
"151","2019-01-18",7.4
"152","2019-01-22",7.32
"153","2019-01-23",7.41
"154","2019-01-24",7.56
"155","2019-01-25",7.56
"156","2019-01-28",7.17
"157","2019-01-29",7.36
"158","2019-01-30",7.57
"159","2019-01-31",7.38
"160","2019-02-01",7.28
"161","2019-02-04",7.69
"162","2019-02-05",7.81
"163","2019-02-06",8.01
"164","2019-02-07",7.76
"165","2019-02-08",8.38
"166","2019-02-11",8.93
"167","2019-02-12",9.33
"168","2019-02-13",9.84
"169","2019-02-14",9.55
"170","2019-02-15",9.43
"171","2019-02-19",9.4
"172","2019-02-20",9.3
"173","2019-02-21",9.4
"174","2019-02-22",9.25
"175","2019-02-25",9.24
"176","2019-02-26",9.12
"177","2019-02-27",8.99
"178","2019-02-28",8.75
"179","2019-03-01",9.08
"180","2019-03-04",8.28
"181","2019-03-05",7.95
"182","2019-03-06",7.9
"183","2019-03-07",7.87
"184","2019-03-08",8.07
"185","2019-03-11",8.52
"186","2019-03-12",8.61
"187","2019-03-13",8.57
"188","2019-03-14",8.52
"189","2019-03-15",8.53
"190","2019-03-18",8.22
"191","2019-03-19",7.67
"192","2019-03-20",7.27
"193","2019-03-21",7.24
"194","2019-03-22",6.61
"195","2019-03-25",6.35
"196","2019-03-26",6.46
"197","2019-03-27",6.36
"198","2019-03-28",6.6
"199","2019-03-29",6.61
"200","2019-04-01",7
"201","2019-04-02",6.94
"202","2019-04-03",6.86
"203","2019-04-04",7.06
"204","2019-04-05",7.29
"205","2019-04-08",7.09
"206","2019-04-09",6.94
"207","2019-04-10",7.14
"208","2019-04-11",7.04
"209","2019-04-12",7.06
"210","2019-04-15",7.13
"211","2019-04-16",7.05
"212","2019-04-17",7.15
"213","2019-04-18",7.21
"214","2019-04-22",7.25
"215","2019-04-23",7.23
"216","2019-04-24",7.36
"217","2019-04-25",6.79
"218","2019-04-26",6.87
"219","2019-04-29",6.99
"220","2019-04-30",6.74
"221","2019-05-01",6.76
"222","2019-05-02",6.68
"223","2019-05-03",6.01
"224","2019-05-06",6.07
"225","2019-05-07",5.95
"226","2019-05-08",5.94
"227","2019-05-09",5.91
"228","2019-05-10",6.02
"229","2019-05-13",5.79
"230","2019-05-14",6
"231","2019-05-15",6.02
"232","2019-05-16",6.13
"233","2019-05-17",6.4
"234","2019-05-20",6.22
"235","2019-05-21",5.98
"236","2019-05-22",5.84
"237","2019-05-23",5.82
"238","2019-05-24",5.92
"239","2019-05-28",5.87
"240","2019-05-29",5.38
"241","2019-05-30",5.54
"242","2019-05-31",5.42
"243","2019-06-03",5.36
"244","2019-06-04",5.71
"245","2019-06-05",5.22
"246","2019-06-06",5.13
"247","2019-06-07",5.14
"248","2019-06-10",5.43
"249","2019-06-11",5.39
"250","2019-06-12",5.41
"251","2019-06-13",5.58
"252","2019-06-14",5.45
"253","2019-06-17",5.3
"254","2019-06-18",5.47
"255","2019-06-19",5.17
"256","2019-06-20",5.13
"257","2019-06-21",5.14
"258","2019-06-24",4.94
"259","2019-06-25",4.96
"260","2019-06-26",4.97
"261","2019-06-27",5.04
"262","2019-06-28",5.14
"263","2019-07-01",5.36
"264","2019-07-02",5.3
"265","2019-07-03",5.12
"266","2019-07-05",5.3
"267","2019-07-08",5.35
"268","2019-07-09",5.16
"269","2019-07-10",5.04
"270","2019-07-11",4.85
"271","2019-07-12",4.32
"272","2019-07-15",4.33
"273","2019-07-16",4.62
"274","2019-07-17",4.45
"275","2019-07-18",4.46
"276","2019-07-19",4.56
"277","2019-07-22",4.57
"278","2019-07-23",4.7
"279","2019-07-24",5.08
"280","2019-07-25",5.02
"281","2019-07-26",4.8
"282","2019-07-29",5
"283","2019-07-30",5.13
