"","date","RCMT"
"1","2007-01-03",6
"2","2007-01-04",6.08
"3","2007-01-05",6.02
"4","2007-01-08",6.1
"5","2007-01-09",6.21
"6","2007-01-10",6.24
"7","2007-01-11",6.19
"8","2007-01-12",6.22
"9","2007-01-16",6.6
"10","2007-01-17",6.74
"11","2007-01-18",6.76
"12","2007-01-19",6.79
"13","2007-01-22",7
"14","2007-01-23",7.1
"15","2007-01-24",7.16
"16","2007-01-25",6.8
"17","2007-01-26",6.76
"18","2007-01-29",6.99
"19","2007-01-30",6.94
"20","2007-01-31",6.76
"21","2007-02-01",6.8
"22","2007-02-02",6.79
"23","2007-02-05",6.9
"24","2007-02-06",6.86
"25","2007-02-07",6.91
"26","2007-02-08",6.97
"27","2007-02-09",6.92
"28","2007-02-12",6.9
"29","2007-02-13",6.76
"30","2007-02-14",6.91
"31","2007-02-15",6.8
"32","2007-02-16",6.85
"33","2007-02-20",6.88
"34","2007-02-21",6.8
"35","2007-02-22",6.85
"36","2007-02-23",6.97
"37","2007-02-26",6.99
"38","2007-02-27",6.89
"39","2007-02-28",6.79
"40","2007-03-01",6.71
"41","2007-03-02",6.52
"42","2007-03-05",6.66
"43","2007-03-06",6.72
"44","2007-03-07",6.4
"45","2007-03-08",6.34
"46","2007-03-09",6.26
"47","2007-03-12",6.78
"48","2007-03-13",6.6
"49","2007-03-14",6.58
"50","2007-03-15",6.49
"51","2007-03-16",6.43
"52","2007-03-19",6.2
"53","2007-03-20",6.34
"54","2007-03-21",6.38
"55","2007-03-22",7.09
"56","2007-03-23",6.97
"57","2007-03-26",7.04
"58","2007-03-27",7.13
"59","2007-03-28",7.14
"60","2007-03-29",7.24
"61","2007-03-30",7.13
"62","2007-04-02",7.95
"63","2007-04-03",8.15
"64","2007-04-04",8.01
"65","2007-04-05",7.85
"66","2007-04-09",7.81
"67","2007-04-10",7.64
"68","2007-04-11",7.68
"69","2007-04-12",7.92
"70","2007-04-13",7.98
"71","2007-04-16",8.01
"72","2007-04-17",8.02
"73","2007-04-18",7.85
"74","2007-04-19",7.85
