"","date","CTXS"
"1","2007-01-03",21.364866
"2","2007-01-04",22.256729
"3","2007-01-05",22.177097
"4","2007-01-08",22.917662
"5","2007-01-09",23.180443
"6","2007-01-10",23.546743
"7","2007-01-11",23.841375
"8","2007-01-12",24.239529
"9","2007-01-16",24.104156
"10","2007-01-17",23.753782
"11","2007-01-18",23.06896
"12","2007-01-19",22.933588
"13","2007-01-22",22.861921
"14","2007-01-23",23.785635
"15","2007-01-24",25.203058
"16","2007-01-25",24.852684
"17","2007-01-26",24.765089
"18","2007-01-29",24.956203
"19","2007-01-30",25.035833
"20","2007-01-31",25.211021
"21","2007-02-01",25.426023
"22","2007-02-02",25.402134
"23","2007-02-05",25.433987
"24","2007-02-06",25.322504
"25","2007-02-07",25.378244
"26","2007-02-08",25.282688
"27","2007-02-09",25.043797
"28","2007-02-12",24.812868
"29","2007-02-13",24.66157
"30","2007-02-14",25.163242
"31","2007-02-15",25.203058
"32","2007-02-16",25.02787
"33","2007-02-20",25.282688
"34","2007-02-21",25.672878
"35","2007-02-22",25.680841
"36","2007-02-23",26.325848
"37","2007-02-26",25.856028
"38","2007-02-27",25.155279
"39","2007-02-28",25.641026
"40","2007-03-01",25.035833
"41","2007-03-02",24.892498
"42","2007-03-05",24.844721
"43","2007-03-06",24.940277
"44","2007-03-07",25.083612
"45","2007-03-08",25.306578
"46","2007-03-09",25.481764
"47","2007-03-12",25.784361
"48","2007-03-13",24.860647
"49","2007-03-14",25.13139
"50","2007-03-15",24.844721
"51","2007-03-16",24.828794
"52","2007-03-19",25.211021
"53","2007-03-20",25.266762
"54","2007-03-21",26.118809
"55","2007-03-22",26.055105
"56","2007-03-23",25.863991
"57","2007-03-26",25.88788
"58","2007-03-27",25.481764
"59","2007-03-28",25.449913
"60","2007-03-29",25.195095
"61","2007-03-30",25.505653
"62","2007-04-02",25.871954
"63","2007-04-03",26.341774
"64","2007-04-04",26.516962
"65","2007-04-05",26.684185
"66","2007-04-09",26.676222
"67","2007-04-10",26.477146
"68","2007-04-11",26.27807
"69","2007-04-12",26.532887
