"","date","GIGM"
"1","2007-01-03",9.79
"2","2007-01-04",9.76
"3","2007-01-05",9.59
"4","2007-01-08",9.47
"5","2007-01-09",9.28
"6","2007-01-10",9.6
"7","2007-01-11",9.88
"8","2007-01-12",9.88
"9","2007-01-16",9.74
"10","2007-01-17",10.21
"11","2007-01-18",10.32
"12","2007-01-19",10.2
"13","2007-01-22",10.38
"14","2007-01-23",10.67
"15","2007-01-24",11.11
"16","2007-01-25",10.88
"17","2007-01-26",11.07
"18","2007-01-29",11
"19","2007-01-30",11.15
"20","2007-01-31",11.85
"21","2007-02-01",11.75
"22","2007-02-02",11.68
"23","2007-02-05",11.81
"24","2007-02-06",11.81
"25","2007-02-07",12.66
"26","2007-02-08",12.62
"27","2007-02-09",12.4
"28","2007-02-12",11.87
"29","2007-02-13",12.03
"30","2007-02-14",12.39
"31","2007-02-15",12.13
"32","2007-02-16",12.36
"33","2007-02-20",13.35
"34","2007-02-21",13.54
"35","2007-02-22",13.1
"36","2007-02-23",13.37
"37","2007-02-26",13.12
"38","2007-02-27",12.15
"39","2007-02-28",12.16
"40","2007-03-01",11.83
"41","2007-03-02",11.76
"42","2007-03-05",10.97
"43","2007-03-06",11.82
"44","2007-03-07",11.86
"45","2007-03-08",12.15
"46","2007-03-09",12.1
"47","2007-03-12",12.68
"48","2007-03-13",11.98
"49","2007-03-14",12.49
"50","2007-03-15",12.36
"51","2007-03-16",12.37
"52","2007-03-19",13.01
"53","2007-03-20",13.56
"54","2007-03-21",13.73
"55","2007-03-22",13.74
"56","2007-03-23",13.95
"57","2007-03-26",14.34
"58","2007-03-27",14.06
"59","2007-03-28",13.98
"60","2007-03-29",13.72
"61","2007-03-30",13.82
"62","2007-04-02",14.22
"63","2007-04-03",14.85
"64","2007-04-04",15.01
"65","2007-04-05",15.1
"66","2007-04-09",14.81
"67","2007-04-10",14.6
"68","2007-04-11",14.16
"69","2007-04-12",14.5
"70","2007-04-13",14.44
"71","2007-04-16",14.41
"72","2007-04-17",14.09
"73","2007-04-18",13.92
"74","2007-04-19",13.92
"75","2007-04-20",14.27
"76","2007-04-23",14.46
"77","2007-04-24",14.32
"78","2007-04-25",14.38
"79","2007-04-26",14.42
"80","2007-04-27",14.26
"81","2007-04-30",14.08
"82","2007-05-01",13.93
"83","2007-05-02",13.94
"84","2007-05-03",14.32
"85","2007-05-04",14.52
"86","2007-05-07",15.08
"87","2007-05-08",15.31
"88","2007-05-09",15.7
"89","2007-05-10",15.5
"90","2007-05-11",15.93
"91","2007-05-14",15.66
"92","2007-05-15",15.19
"93","2007-05-16",15.8
"94","2007-05-17",15.67
"95","2007-05-18",15.79
"96","2007-05-21",15.97
"97","2007-05-22",14.88
"98","2007-05-23",14.71
"99","2007-05-24",14.26
"100","2007-05-25",14.24
"101","2007-05-29",15.01
"102","2007-05-30",14.99
"103","2007-05-31",14.82
"104","2007-06-01",14.62
"105","2007-06-04",14.93
"106","2007-06-05",15.16
"107","2007-06-06",14.91
"108","2007-06-07",14.65
"109","2007-06-08",14.94
"110","2007-06-11",14.86
"111","2007-06-12",14.57
"112","2007-06-13",14.44
"113","2007-06-14",14.28
"114","2007-06-15",14.66
"115","2007-06-18",14.16
"116","2007-06-19",14.17
"117","2007-06-20",14.18
"118","2007-06-21",14.11
"119","2007-06-22",13.72
"120","2007-06-25",13.14
"121","2007-06-26",12.96
"122","2007-06-27",13.29
"123","2007-06-28",13.45
"124","2007-06-29",13.48
"125","2007-07-02",13.64
"126","2007-07-03",13.53
"127","2007-07-05",13.36
"128","2007-07-06",13.48
"129","2007-07-09",13.43
"130","2007-07-10",13.2
"131","2007-07-11",12.97
"132","2007-07-12",13.78
"133","2007-07-13",13.8
"134","2007-07-16",13.53
"135","2007-07-17",13.25
"136","2007-07-18",13.05
"137","2007-07-19",13.17
"138","2007-07-20",12.94
"139","2007-07-23",12.43
"140","2007-07-24",11.77
"141","2007-07-25",11.96
"142","2007-07-26",11.22
"143","2007-07-27",10.96
"144","2007-07-30",10.89
"145","2007-07-31",10.77
"146","2007-08-01",10.76
"147","2007-08-02",10.75
"148","2007-08-03",10.46
"149","2007-08-06",9.92
"150","2007-08-07",9.45
"151","2007-08-08",10.1
"152","2007-08-09",10.15
"153","2007-08-10",10.8
"154","2007-08-13",10.78
"155","2007-08-14",11.94
"156","2007-08-15",12.47
"157","2007-08-16",12.2
"158","2007-08-17",12.39
"159","2007-08-20",12.2
"160","2007-08-21",12.27
"161","2007-08-22",12.69
"162","2007-08-23",12.62
"163","2007-08-24",12.98
"164","2007-08-27",13.1
"165","2007-08-28",12.81
"166","2007-08-29",12.92
"167","2007-08-30",12.91
"168","2007-08-31",13.16
"169","2007-09-04",13.57
"170","2007-09-05",13.7
"171","2007-09-06",14.19
"172","2007-09-07",14.85
"173","2007-09-10",15.41
"174","2007-09-11",15.81
"175","2007-09-12",15.63
"176","2007-09-13",15.24
"177","2007-09-14",15.21
"178","2007-09-17",15.24
"179","2007-09-18",15.45
"180","2007-09-19",15.73
"181","2007-09-20",16.450001
"182","2007-09-21",16.76
"183","2007-09-24",16.280001
"184","2007-09-25",16.450001
"185","2007-09-26",16.1
"186","2007-09-27",15.9
"187","2007-09-28",16.16
"188","2007-10-01",16.6
"189","2007-10-02",17.07
"190","2007-10-03",17.040001
"191","2007-10-04",17.98
"192","2007-10-05",17.74
"193","2007-10-08",17.93
"194","2007-10-09",17.879999
"195","2007-10-10",17.9
"196","2007-10-11",20.389999
"197","2007-10-12",20.9
"198","2007-10-15",21.200001
"199","2007-10-16",20.99
"200","2007-10-17",21.459999
"201","2007-10-18",22.83
"202","2007-10-19",21.65
"203","2007-10-22",21.32
"204","2007-10-23",21.700001
"205","2007-10-24",21.41
"206","2007-10-25",21.709999
"207","2007-10-26",22.059999
"208","2007-10-29",23.559999
"209","2007-10-30",24.610001
"210","2007-10-31",24.48
"211","2007-11-01",24.57
"212","2007-11-02",23.93
"213","2007-11-05",23.870001
"214","2007-11-06",21.58
"215","2007-11-07",20.209999
"216","2007-11-08",19.639999
