"","date","ASND"
"1","2015-01-28",18.83
"2","2015-01-29",20
"3","2015-01-30",19.83
"4","2015-02-02",19.08
"5","2015-02-03",18.99
"6","2015-02-04",18.309999
"7","2015-02-05",17.91
"8","2015-02-06",17.995001
"9","2015-02-09",18.049999
"10","2015-02-10",18.27
"11","2015-02-11",18.049999
"12","2015-02-12",18
"13","2015-02-13",17.98
"14","2015-02-17",17.959999
"15","2015-02-18",18
"16","2015-02-19",19.299999
"17","2015-02-20",19.34
"18","2015-02-23",18.200001
"19","2015-02-24",18.48
"20","2015-02-25",18.360001
"21","2015-02-26",18.4
"22","2015-02-27",17.73
"23","2015-03-02",17.969999
"24","2015-03-03",18
"25","2015-03-04",18
"26","2015-03-05",17.98
"27","2015-03-06",17.91
"28","2015-03-09",17.85
"29","2015-03-10",17.67
"30","2015-03-11",17.700001
"31","2015-03-12",18.1
"32","2015-03-13",17.799999
"33","2015-03-16",18.190001
"34","2015-03-17",17.860001
"35","2015-03-18",18.309999
"36","2015-03-19",18.17
"37","2015-03-20",17.57
"38","2015-03-23",18
"39","2015-03-24",17.98
"40","2015-03-25",17.780001
"41","2015-03-26",17.59
"42","2015-03-27",17.790001
"43","2015-03-30",17.48
"44","2015-03-31",17.35
"45","2015-04-01",17.43
"46","2015-04-02",17.389999
"47","2015-04-06",17.43
"48","2015-04-07",17.58
"49","2015-04-08",18.370001
"50","2015-04-09",18.049999
"51","2015-04-10",18.049999
"52","2015-04-13",17.49
"53","2015-04-14",17.75
"54","2015-04-15",17.639999
"55","2015-04-16",18.91
"56","2015-04-17",19.540001
"57","2015-04-20",19.77
"58","2015-04-21",20.440001
"59","2015-04-22",20.4
"60","2015-04-23",20.860001
"61","2015-04-24",20
"62","2015-04-27",19.700001
"63","2015-04-28",18.23
"64","2015-04-29",17.25
"65","2015-04-30",17.030001
"66","2015-05-01",17.549999
"67","2015-05-04",17.24
"68","2015-05-05",16.129999
"69","2015-05-06",16.17
"70","2015-05-07",16.139999
"71","2015-05-08",16.440001
