"","date","FELE"
"1","2007-01-03",25.209999
"2","2007-01-04",25.450001
"3","2007-01-05",24.625
"4","2007-01-08",24.195
"5","2007-01-09",24.969999
"6","2007-01-10",24.375
"7","2007-01-11",25.004999
"8","2007-01-12",25.025
"9","2007-01-16",24.905001
"10","2007-01-17",24.434999
"11","2007-01-18",24.365
"12","2007-01-19",24.674999
"13","2007-01-22",24.629999
"14","2007-01-23",24.91
"15","2007-01-24",25.01
"16","2007-01-25",24.995001
"17","2007-01-26",24.785
"18","2007-01-29",25
"19","2007-01-30",25.305
"20","2007-01-31",25.190001
"21","2007-02-01",25.825001
"22","2007-02-02",25.184999
"23","2007-02-05",25.195
"24","2007-02-06",24.985001
"25","2007-02-07",25.055
"26","2007-02-08",25.084999
"27","2007-02-09",24.434999
"28","2007-02-12",24.355
"29","2007-02-13",24.75
"30","2007-02-14",24.690001
"31","2007-02-15",24.629999
"32","2007-02-16",24.875
"33","2007-02-20",24.985001
"34","2007-02-21",25.115
"35","2007-02-22",25.280001
"36","2007-02-23",25.155001
"37","2007-02-26",24.92
"38","2007-02-27",24.1
"39","2007-02-28",24.23
"40","2007-03-01",23.775
"41","2007-03-02",23.525
"42","2007-03-05",23.225
"43","2007-03-06",23.355
"44","2007-03-07",23.129999
"45","2007-03-08",23.25
"46","2007-03-09",23.450001
"47","2007-03-12",23.219999
"48","2007-03-13",22.525
"49","2007-03-14",22.51
"50","2007-03-15",22.57
"51","2007-03-16",23.030001
"52","2007-03-19",23.615
"53","2007-03-20",24.004999
"54","2007-03-21",24.405001
"55","2007-03-22",24.41
"56","2007-03-23",24.434999
"57","2007-03-26",24.01
"58","2007-03-27",23.67
"59","2007-03-28",23.209999
"60","2007-03-29",23.139999
"61","2007-03-30",23.25
"62","2007-04-02",23.58
"63","2007-04-03",23.375
"64","2007-04-04",22.84
"65","2007-04-05",22.75
"66","2007-04-09",22.775
"67","2007-04-10",23.105
"68","2007-04-11",22.780001
"69","2007-04-12",22.905001
"70","2007-04-13",22.395
"71","2007-04-16",22.485001
"72","2007-04-17",22.83
"73","2007-04-18",22.709999
"74","2007-04-19",22.459999
"75","2007-04-20",22.355
