"","date","CORT"
"1","2007-01-03",1.2
"2","2007-01-04",1.18
"3","2007-01-05",1.23
"4","2007-01-08",1.31
"5","2007-01-09",1.25
"6","2007-01-10",1.19
"7","2007-01-11",1.25
"8","2007-01-12",1.16
"9","2007-01-16",1.17
"10","2007-01-17",1.24
"11","2007-01-18",1.21
"12","2007-01-19",1.16
"13","2007-01-22",1.14
"14","2007-01-23",1.24
"15","2007-01-24",1.22
"16","2007-01-25",1.18
"17","2007-01-26",1.14
"18","2007-01-29",1.18
"19","2007-01-30",1.17
"20","2007-01-31",1.22
"21","2007-02-01",1.2
"22","2007-02-02",1.17
"23","2007-02-05",1.12
"24","2007-02-06",1.04
"25","2007-02-07",1.03
"26","2007-02-08",1.05
"27","2007-02-09",1.03
"28","2007-02-12",0.99
"29","2007-02-13",0.97
"30","2007-02-14",0.98
"31","2007-02-15",0.99
"32","2007-02-16",0.98
"33","2007-02-20",1.04
"34","2007-02-21",1.25
"35","2007-02-22",1.23
"36","2007-02-23",1.22
"37","2007-02-26",1.21
"38","2007-02-27",1.08
"39","2007-02-28",1.1
"40","2007-03-01",1.15
"41","2007-03-02",1.09
"42","2007-03-05",1.06
"43","2007-03-06",1.08
"44","2007-03-07",1.17
"45","2007-03-08",1.12
"46","2007-03-09",1.07
"47","2007-03-12",1.14
"48","2007-03-13",1.1
"49","2007-03-14",1.12
"50","2007-03-15",1.1
"51","2007-03-16",1.07
"52","2007-03-19",1.04
"53","2007-03-20",0.9
"54","2007-03-21",0.82
"55","2007-03-22",0.81
"56","2007-03-23",0.83
"57","2007-03-26",0.82
"58","2007-03-27",0.76
"59","2007-03-28",0.71
"60","2007-03-29",0.71
"61","2007-03-30",0.9
"62","2007-04-02",1.1
"63","2007-04-03",1.16
"64","2007-04-04",1.21
"65","2007-04-05",1.4
"66","2007-04-09",1.96
"67","2007-04-10",1.6
"68","2007-04-11",1.48
"69","2007-04-12",1.46
"70","2007-04-13",1.41
"71","2007-04-16",1.5
"72","2007-04-17",1.53
"73","2007-04-18",1.45
"74","2007-04-19",1.42
"75","2007-04-20",1.49
"76","2007-04-23",1.5
"77","2007-04-24",1.47
"78","2007-04-25",1.52
"79","2007-04-26",1.54
"80","2007-04-27",1.53
"81","2007-04-30",1.55
"82","2007-05-01",1.52
"83","2007-05-02",1.52
"84","2007-05-03",1.59
"85","2007-05-04",1.59
"86","2007-05-07",1.54
"87","2007-05-08",1.6
"88","2007-05-09",1.56
"89","2007-05-10",1.41
"90","2007-05-11",1.38
"91","2007-05-14",1.4
"92","2007-05-15",1.36
"93","2007-05-16",1.33
"94","2007-05-17",1.37
"95","2007-05-18",1.51
"96","2007-05-21",1.5
