"","date","IMAX"
"1","2007-01-03",3.67
"2","2007-01-04",3.71
"3","2007-01-05",3.69
"4","2007-01-08",3.64
"5","2007-01-09",3.63
"6","2007-01-10",3.68
"7","2007-01-11",3.77
"8","2007-01-12",3.9
"9","2007-01-16",4.04
"10","2007-01-17",3.99
"11","2007-01-18",3.9
"12","2007-01-19",3.94
"13","2007-01-22",3.95
"14","2007-01-23",3.95
"15","2007-01-24",3.88
"16","2007-01-25",3.85
"17","2007-01-26",3.87
"18","2007-01-29",3.88
"19","2007-01-30",3.9
"20","2007-01-31",3.9
"21","2007-02-01",3.93
"22","2007-02-02",3.94
"23","2007-02-05",3.92
"24","2007-02-06",3.92
"25","2007-02-07",3.94
"26","2007-02-08",3.94
"27","2007-02-09",3.94
"28","2007-02-12",4
"29","2007-02-13",4.01
"30","2007-02-14",4.05
"31","2007-02-15",4.34
"32","2007-02-16",4.58
"33","2007-02-20",4.5
"34","2007-02-21",4.61
"35","2007-02-22",4.62
"36","2007-02-23",4.63
"37","2007-02-26",4.75
"38","2007-02-27",4.47
"39","2007-02-28",4.57
"40","2007-03-01",4.43
"41","2007-03-02",4.37
"42","2007-03-05",4.3
"43","2007-03-06",4.3
"44","2007-03-07",4.32
"45","2007-03-08",4.52
"46","2007-03-09",4.62
"47","2007-03-12",5.08
"48","2007-03-13",5.25
"49","2007-03-14",5.28
"50","2007-03-15",4.99
"51","2007-03-16",5
"52","2007-03-19",5.01
"53","2007-03-20",5.26
"54","2007-03-21",5.48
"55","2007-03-22",5.4
"56","2007-03-23",5.36
"57","2007-03-26",5.4
"58","2007-03-27",5.38
"59","2007-03-28",5.37
"60","2007-03-29",5.04
"61","2007-03-30",5.04
"62","2007-04-02",5.12
"63","2007-04-03",5.02
"64","2007-04-04",5
"65","2007-04-05",4.87
"66","2007-04-09",4.38
"67","2007-04-10",4.39
"68","2007-04-11",4.3
"69","2007-04-12",4.16
"70","2007-04-13",4.59
"71","2007-04-16",4.66
"72","2007-04-17",4.93
"73","2007-04-18",4.96
"74","2007-04-19",5.05
"75","2007-04-20",5.02
"76","2007-04-23",4.98
"77","2007-04-24",5.01
"78","2007-04-25",5.28
"79","2007-04-26",5.3
"80","2007-04-27",5.3
"81","2007-04-30",5.1
"82","2007-05-01",5.02
"83","2007-05-02",5.21
"84","2007-05-03",5.17
"85","2007-05-04",5.47
"86","2007-05-07",5.31
"87","2007-05-08",5.42
"88","2007-05-09",5.35
"89","2007-05-10",5.2
"90","2007-05-11",5.02
"91","2007-05-14",4.94
"92","2007-05-15",4.95
"93","2007-05-16",4.95
"94","2007-05-17",4.95
"95","2007-05-18",4.95
"96","2007-05-21",4.51
"97","2007-05-22",4.83
"98","2007-05-23",4.72
"99","2007-05-24",4.63
"100","2007-05-25",4.67
"101","2007-05-29",4.46
"102","2007-05-30",4.52
"103","2007-05-31",4.5
"104","2007-06-01",4.52
"105","2007-06-04",4.53
"106","2007-06-05",4.5
"107","2007-06-06",4.38
"108","2007-06-07",4.29
"109","2007-06-08",4.3
"110","2007-06-11",4.27
"111","2007-06-12",4.18
"112","2007-06-13",4.16
"113","2007-06-14",4.19
"114","2007-06-15",4.22
"115","2007-06-18",4.25
"116","2007-06-19",4.3
"117","2007-06-20",4.37
"118","2007-06-21",4.31
"119","2007-06-22",4.17
"120","2007-06-25",4.19
"121","2007-06-26",4.36
"122","2007-06-27",4.32
"123","2007-06-28",4.24
"124","2007-06-29",4.22
"125","2007-07-02",4.32
"126","2007-07-03",4.2
"127","2007-07-05",4.25
"128","2007-07-06",4.26
"129","2007-07-09",4.26
"130","2007-07-10",4.63
"131","2007-07-11",4.48
"132","2007-07-12",4.43
"133","2007-07-13",4.44
"134","2007-07-16",4.55
"135","2007-07-17",4.5
"136","2007-07-18",4.44
"137","2007-07-19",4.4
"138","2007-07-20",4.85
"139","2007-07-23",4.98
"140","2007-07-24",4.9
"141","2007-07-25",5.04
"142","2007-07-26",4.99
"143","2007-07-27",4.85
"144","2007-07-30",5.06
"145","2007-07-31",5.04
"146","2007-08-01",4.96
"147","2007-08-02",4.84
"148","2007-08-03",4.82
"149","2007-08-06",4.66
"150","2007-08-07",4.65
"151","2007-08-08",4.75
"152","2007-08-09",4.42
"153","2007-08-10",3.85
"154","2007-08-13",4.08
"155","2007-08-14",4.18
"156","2007-08-15",3.95
"157","2007-08-16",3.84
"158","2007-08-17",3.94
"159","2007-08-20",3.81
"160","2007-08-21",3.78
"161","2007-08-22",3.72
"162","2007-08-23",3.89
"163","2007-08-24",3.99
"164","2007-08-27",4.27
"165","2007-08-28",4.33
"166","2007-08-29",4.71
"167","2007-08-30",4.66
"168","2007-08-31",4.66
"169","2007-09-04",4.56
"170","2007-09-05",4.77
"171","2007-09-06",4.67
"172","2007-09-07",4.46
"173","2007-09-10",4.32
"174","2007-09-11",4.14
"175","2007-09-12",4.06
"176","2007-09-13",4.15
"177","2007-09-14",4.15
"178","2007-09-17",3.87
"179","2007-09-18",4.14
"180","2007-09-19",4.22
"181","2007-09-20",4.14
"182","2007-09-21",4.16
"183","2007-09-24",4.2
"184","2007-09-25",4.11
"185","2007-09-26",4.04
"186","2007-09-27",4.12
"187","2007-09-28",4.2
"188","2007-10-01",4.23
"189","2007-10-02",4.5
"190","2007-10-03",4.55
"191","2007-10-04",4.56
"192","2007-10-05",4.86
"193","2007-10-08",4.71
"194","2007-10-09",4.72
"195","2007-10-10",4.68
"196","2007-10-11",4.6
"197","2007-10-12",4.54
"198","2007-10-15",4.43
"199","2007-10-16",4.37
"200","2007-10-17",4.52
"201","2007-10-18",4.45
"202","2007-10-19",4.31
"203","2007-10-22",4.63
"204","2007-10-23",4.64
"205","2007-10-24",4.61
"206","2007-10-25",4.65
"207","2007-10-26",4.78
"208","2007-10-29",4.77
"209","2007-10-30",5.15
"210","2007-10-31",5.15
"211","2007-11-01",5.18
"212","2007-11-02",5.2
"213","2007-11-05",4.83
"214","2007-11-06",4.76
"215","2007-11-07",4.76
"216","2007-11-08",4.43
"217","2007-11-09",4.34
"218","2007-11-12",4.15
"219","2007-11-13",4.35
"220","2007-11-14",4.51
"221","2007-11-15",4.54
"222","2007-11-16",4.66
"223","2007-11-19",4.65
"224","2007-11-20",4.81
"225","2007-11-21",4.8
"226","2007-11-23",4.98
"227","2007-11-26",4.7
"228","2007-11-27",4.52
"229","2007-11-28",4.67
"230","2007-11-29",4.55
"231","2007-11-30",4.68
"232","2007-12-03",4.64
"233","2007-12-04",4.48
"234","2007-12-05",4.63
"235","2007-12-06",4.64
"236","2007-12-07",7.32
"237","2007-12-10",6.7
"238","2007-12-11",6.54
"239","2007-12-12",6.38
"240","2007-12-13",6.35
"241","2007-12-14",6.61
"242","2007-12-17",6.84
"243","2007-12-18",6.86
"244","2007-12-19",6.89
"245","2007-12-20",6.68
"246","2007-12-21",6.83
"247","2007-12-24",6.74
"248","2007-12-26",6.74
"249","2007-12-27",6.7
"250","2007-12-28",6.62
"251","2007-12-31",6.82
"252","2008-01-02",6.42
"253","2008-01-03",6.38
"254","2008-01-04",5.98
"255","2008-01-07",6.12
"256","2008-01-08",6.07
"257","2008-01-09",5.87
"258","2008-01-10",5.92
"259","2008-01-11",5.83
"260","2008-01-14",5.61
"261","2008-01-15",5.38
"262","2008-01-16",5.57
"263","2008-01-17",6.07
"264","2008-01-18",6.1
"265","2008-01-22",5.92
"266","2008-01-23",5.9
"267","2008-01-24",5.86
"268","2008-01-25",5.9
"269","2008-01-28",5.87
"270","2008-01-29",6.7
"271","2008-01-30",6.71
"272","2008-01-31",6.78
"273","2008-02-01",7.23
"274","2008-02-04",7.07
"275","2008-02-05",6.81
"276","2008-02-06",6.82
"277","2008-02-07",6.83
"278","2008-02-08",7.09
"279","2008-02-11",7.03
"280","2008-02-12",7.05
"281","2008-02-13",7.15
"282","2008-02-14",7.27
"283","2008-02-15",7.25
"284","2008-02-19",7.33
"285","2008-02-20",7.34
"286","2008-02-21",7.23
"287","2008-02-22",7.04
"288","2008-02-25",6.92
"289","2008-02-26",6.94
"290","2008-02-27",6.78
"291","2008-02-28",6.63
"292","2008-02-29",6.36
"293","2008-03-03",6.32
"294","2008-03-04",6.39
"295","2008-03-05",6.4
"296","2008-03-06",6.04
"297","2008-03-07",6.35
"298","2008-03-10",6.47
"299","2008-03-11",6.69
"300","2008-03-12",6.85
"301","2008-03-13",6.74
"302","2008-03-14",6.62
"303","2008-03-17",6.55
"304","2008-03-18",6.52
"305","2008-03-19",6.25
"306","2008-03-20",6.28
"307","2008-03-24",6.9
"308","2008-03-25",7.17
"309","2008-03-26",7.04
"310","2008-03-27",7.18
"311","2008-03-28",6.93
"312","2008-03-31",6.97
"313","2008-04-01",6.98
"314","2008-04-02",7.01
"315","2008-04-03",7.01
"316","2008-04-04",7.09
"317","2008-04-07",7.1
"318","2008-04-08",6.86
"319","2008-04-09",6.93
"320","2008-04-10",6.9
"321","2008-04-11",6.98
"322","2008-04-14",6.69
"323","2008-04-15",6.6
"324","2008-04-16",6.9
"325","2008-04-17",6.77
"326","2008-04-18",6.76
"327","2008-04-21",6.8
"328","2008-04-22",6.62
"329","2008-04-23",6.67
"330","2008-04-24",6.68
"331","2008-04-25",6.58
"332","2008-04-28",6.55
"333","2008-04-29",6.52
"334","2008-04-30",6.62
"335","2008-05-01",6.69
"336","2008-05-02",6.63
"337","2008-05-05",6.68
"338","2008-05-06",7.11
"339","2008-05-07",7.15
"340","2008-05-08",6.96
"341","2008-05-09",7.22
"342","2008-05-12",7.09
"343","2008-05-13",7.11
"344","2008-05-14",7.06
"345","2008-05-15",7.25
"346","2008-05-16",7.49
"347","2008-05-19",7.38
"348","2008-05-20",7.23
"349","2008-05-21",7.03
"350","2008-05-22",7.14
"351","2008-05-23",7.15
"352","2008-05-27",7.08
"353","2008-05-28",7.18
"354","2008-05-29",7.3
"355","2008-05-30",7.23
"356","2008-06-02",7.11
"357","2008-06-03",7.29
"358","2008-06-04",7.49
"359","2008-06-05",7.59
"360","2008-06-06",7.45
"361","2008-06-09",7.38
"362","2008-06-10",7.21
"363","2008-06-11",7.07
"364","2008-06-12",7.03
"365","2008-06-13",7.08
"366","2008-06-16",7.17
"367","2008-06-17",7.26
"368","2008-06-18",7.39
"369","2008-06-19",7.31
"370","2008-06-20",7.16
"371","2008-06-23",7.14
"372","2008-06-24",7.02
"373","2008-06-25",7.11
"374","2008-06-26",6.57
"375","2008-06-27",6.61
"376","2008-06-30",6.84
"377","2008-07-01",6.76
"378","2008-07-02",6.51
"379","2008-07-03",6.29
"380","2008-07-07",6.47
"381","2008-07-08",6.49
"382","2008-07-09",6.61
"383","2008-07-10",6.67
"384","2008-07-11",6.56
"385","2008-07-14",6.73
"386","2008-07-15",6.6
"387","2008-07-16",6.88
"388","2008-07-17",7.37
"389","2008-07-18",7.76
"390","2008-07-21",7.77
"391","2008-07-22",7.8
"392","2008-07-23",7.79
"393","2008-07-24",7.66
"394","2008-07-25",7.73
"395","2008-07-28",7.66
"396","2008-07-29",7.54
"397","2008-07-30",7.64
"398","2008-07-31",7.69
"399","2008-08-01",7.59
"400","2008-08-04",7.52
"401","2008-08-05",7.66
"402","2008-08-06",7.83
"403","2008-08-07",7.5
"404","2008-08-08",7.36
"405","2008-08-11",7.59
"406","2008-08-12",7.39
"407","2008-08-13",7.29
"408","2008-08-14",7.48
"409","2008-08-15",7.36
"410","2008-08-18",7.3
"411","2008-08-19",7.09
"412","2008-08-20",7.09
"413","2008-08-21",7.04
"414","2008-08-22",7.06
"415","2008-08-25",6.87
"416","2008-08-26",6.84
"417","2008-08-27",7.05
"418","2008-08-28",7.12
"419","2008-08-29",7.23
"420","2008-09-02",7.14
"421","2008-09-03",7.16
"422","2008-09-04",7.07
"423","2008-09-05",7.02
"424","2008-09-08",7.06
"425","2008-09-09",6.74
"426","2008-09-10",6.63
"427","2008-09-11",6.45
"428","2008-09-12",6.77
"429","2008-09-15",6.65
"430","2008-09-16",6.54
"431","2008-09-17",6.26
"432","2008-09-18",6.71
"433","2008-09-19",6.86
"434","2008-09-22",6.51
"435","2008-09-23",6.47
"436","2008-09-24",6.53
"437","2008-09-25",6.55
"438","2008-09-26",6.5
"439","2008-09-29",5.99
"440","2008-09-30",5.92
"441","2008-10-01",5.75
"442","2008-10-02",5.33
"443","2008-10-03",4.71
"444","2008-10-06",3.99
"445","2008-10-07",3.65
"446","2008-10-08",3.5
"447","2008-10-09",3.34
"448","2008-10-10",3.41
"449","2008-10-13",4.01
"450","2008-10-14",3.91
"451","2008-10-15",3.55
"452","2008-10-16",3.42
"453","2008-10-17",3.48
"454","2008-10-20",3.49
"455","2008-10-21",3.65
"456","2008-10-22",3.51
"457","2008-10-23",3.41
"458","2008-10-24",3.23
"459","2008-10-27",3.1
"460","2008-10-28",3.19
"461","2008-10-29",3.39
"462","2008-10-30",3.17
"463","2008-10-31",3.14
"464","2008-11-03",3.09
"465","2008-11-04",3.35
"466","2008-11-05",3.25
