"","date","RBAC"
"1","2020-10-05",9.91
"2","2020-10-06",10.3
"3","2020-10-07",10
"4","2020-10-08",10.05
"5","2020-10-09",10.07
"6","2020-10-12",10.39
"7","2020-10-13",10.36
"8","2020-10-14",10.35
"9","2020-10-15",10.29
"10","2020-10-16",10.27
"11","2020-10-19",10.33
"12","2020-10-20",10.26
"13","2020-10-21",10.27
"14","2020-10-22",10.13
"15","2020-10-23",10.2
"16","2020-10-26",10.08
"17","2020-10-27",10.09
"18","2020-10-28",10.05
"19","2020-10-29",10.04
"20","2020-10-30",9.98
"21","2020-11-02",10.08
"22","2020-11-03",10.07
"23","2020-11-04",10.03
"24","2020-11-05",10.01
"25","2020-11-06",10.075
"26","2020-11-09",9.97
"27","2020-11-10",10.02
"28","2020-11-11",9.97
"29","2020-11-12",10.16
"30","2020-11-13",10.22
"31","2020-11-16",10.35
"32","2020-11-17",10.35
"33","2020-11-18",10.44
"34","2020-11-19",10.49
"35","2020-11-20",10.46
"36","2020-11-23",10.59
"37","2020-11-24",10.47
"38","2020-11-25",10.5
"39","2020-11-27",10.55
