"","date","TRNE"
"1","2019-05-03",9.7
"2","2019-05-06",9.7
"3","2019-05-07",9.7
"4","2019-05-08",9.75
"5","2019-05-09",9.73
"6","2019-05-10",9.73
"7","2019-05-13",9.73
"8","2019-05-14",9.73
"9","2019-05-15",9.73
"10","2019-05-16",9.73
"11","2019-05-17",9.73
"12","2019-05-20",9.73
"13","2019-05-21",9.73
"14","2019-05-22",9.73
"15","2019-05-23",9.72
"16","2019-05-24",9.72
"17","2019-05-28",9.72
"18","2019-05-29",9.7
"19","2019-05-30",9.7
"20","2019-05-31",9.73
"21","2019-06-03",9.7
"22","2019-06-04",9.7
"23","2019-06-05",9.7
"24","2019-06-06",9.72
"25","2019-06-07",9.73
"26","2019-06-10",9.71
"27","2019-06-11",9.72
"28","2019-06-12",9.7
"29","2019-06-13",9.71
"30","2019-06-14",9.7
"31","2019-06-17",9.71
"32","2019-06-18",9.733
"33","2019-06-19",9.73
"34","2019-06-20",9.72
"35","2019-06-21",9.72
"36","2019-06-24",9.75
"37","2019-06-25",9.73
"38","2019-06-26",9.74
"39","2019-06-27",9.73
"40","2019-06-28",9.73
"41","2019-07-01",9.73
"42","2019-07-02",9.78
"43","2019-07-03",9.78
"44","2019-07-05",9.78
"45","2019-07-08",9.78
"46","2019-07-09",9.78
"47","2019-07-10",9.74
"48","2019-07-11",9.74
"49","2019-07-12",9.75
"50","2019-07-15",9.74
"51","2019-07-16",9.75
"52","2019-07-17",9.75
"53","2019-07-18",9.75
"54","2019-07-19",9.76
"55","2019-07-22",9.8
"56","2019-07-23",9.85
"57","2019-07-24",9.8
"58","2019-07-25",9.8
"59","2019-07-26",9.77
"60","2019-07-29",9.77
"61","2019-07-30",9.77
"62","2019-07-31",9.9
"63","2019-08-01",9.88
"64","2019-08-02",9.83
"65","2019-08-05",9.78
"66","2019-08-06",9.77
"67","2019-08-07",9.75
"68","2019-08-08",9.76
"69","2019-08-09",9.76
"70","2019-08-12",9.76
"71","2019-08-13",9.78
"72","2019-08-14",9.78
"73","2019-08-15",9.81
"74","2019-08-16",9.77
"75","2019-08-19",9.81
"76","2019-08-20",9.89
"77","2019-08-21",9.8
"78","2019-08-22",9.8
"79","2019-08-23",9.8
"80","2019-08-26",9.8
"81","2019-08-27",9.8
"82","2019-08-28",9.8
"83","2019-08-29",9.84
"84","2019-08-30",9.84
"85","2019-09-03",9.84
"86","2019-09-04",9.84
"87","2019-09-05",9.84
"88","2019-09-06",9.84
"89","2019-09-09",9.84
"90","2019-09-10",9.83
"91","2019-09-11",9.82
"92","2019-09-12",9.82
"93","2019-09-13",9.82
"94","2019-09-16",9.82
"95","2019-09-17",9.85
"96","2019-09-18",9.85
"97","2019-09-19",9.86
"98","2019-09-20",9.86
"99","2019-09-23",9.86
"100","2019-09-24",9.86
"101","2019-09-25",9.88
"102","2019-09-26",9.86
"103","2019-09-27",9.86
"104","2019-09-30",9.87
"105","2019-10-01",9.88
"106","2019-10-02",9.88
"107","2019-10-03",9.88
"108","2019-10-04",9.88
"109","2019-10-07",9.88
"110","2019-10-08",9.88
"111","2019-10-09",9.9
"112","2019-10-10",9.89
"113","2019-10-11",9.889
"114","2019-10-14",9.889
"115","2019-10-15",9.889
"116","2019-10-16",9.86
"117","2019-10-17",9.89
"118","2019-10-18",9.9
"119","2019-10-21",9.9
"120","2019-10-22",9.9
"121","2019-10-23",9.9
"122","2019-10-24",9.87
"123","2019-10-25",9.86
"124","2019-10-28",9.86
"125","2019-10-29",9.86
"126","2019-10-30",9.88
"127","2019-10-31",9.86
"128","2019-11-01",9.88
"129","2019-11-04",9.88
"130","2019-11-05",9.9
"131","2019-11-06",9.9
"132","2019-11-07",9.89
"133","2019-11-08",9.89
"134","2019-11-11",9.89
"135","2019-11-12",9.88
"136","2019-11-13",9.89
"137","2019-11-14",9.92
"138","2019-11-15",9.92
"139","2019-11-18",9.9
"140","2019-11-19",9.9
"141","2019-11-20",9.9
"142","2019-11-21",9.9
"143","2019-11-22",9.9
"144","2019-11-25",9.91
"145","2019-11-26",9.92
"146","2019-11-27",9.92
"147","2019-11-29",9.92
"148","2019-12-02",9.92
"149","2019-12-03",9.935
"150","2019-12-04",9.92
"151","2019-12-05",9.92
"152","2019-12-06",9.95
"153","2019-12-09",9.94
"154","2019-12-10",9.94
"155","2019-12-11",9.94
"156","2019-12-12",9.94
"157","2019-12-13",9.94
"158","2019-12-16",9.94
"159","2019-12-17",9.962
"160","2019-12-18",9.97
"161","2019-12-19",9.97
