"","date","AMKR"
"1","2007-01-03",9.89
"2","2007-01-04",9.98
"3","2007-01-05",9.81
"4","2007-01-08",10.22
"5","2007-01-09",10.42
"6","2007-01-10",10.6
"7","2007-01-11",11.3
"8","2007-01-12",11.28
"9","2007-01-16",11.19
"10","2007-01-17",10.79
"11","2007-01-18",10.34
"12","2007-01-19",10.29
"13","2007-01-22",10.27
"14","2007-01-23",10.21
"15","2007-01-24",10.54
"16","2007-01-25",10.44
"17","2007-01-26",10.56
"18","2007-01-29",10.53
"19","2007-01-30",10.58
"20","2007-01-31",10.53
"21","2007-02-01",10.83
"22","2007-02-02",11.05
"23","2007-02-05",11.44
"24","2007-02-06",11.33
"25","2007-02-07",11.96
"26","2007-02-08",11.23
"27","2007-02-09",11.17
"28","2007-02-12",11
"29","2007-02-13",11.36
"30","2007-02-14",11.76
"31","2007-02-15",11.84
"32","2007-02-16",11.82
"33","2007-02-20",12
"34","2007-02-21",11.99
"35","2007-02-22",12.07
"36","2007-02-23",12.05
"37","2007-02-26",12.03
"38","2007-02-27",11.08
"39","2007-02-28",11.53
"40","2007-03-01",11.8
"41","2007-03-02",11.32
"42","2007-03-05",11.12
"43","2007-03-06",11.77
"44","2007-03-07",11.63
"45","2007-03-08",11.97
"46","2007-03-09",12
"47","2007-03-12",12.02
"48","2007-03-13",11.55
"49","2007-03-14",11.71
"50","2007-03-15",11.85
"51","2007-03-16",11.73
"52","2007-03-19",11.9
"53","2007-03-20",12.07
"54","2007-03-21",12.62
"55","2007-03-22",12.71
"56","2007-03-23",12.85
"57","2007-03-26",12.98
"58","2007-03-27",12.67
"59","2007-03-28",12.5
"60","2007-03-29",12.17
"61","2007-03-30",12.48
"62","2007-04-02",12.82
"63","2007-04-03",13.55
"64","2007-04-04",13.75
"65","2007-04-05",14.08
"66","2007-04-09",13.95
"67","2007-04-10",13.91
"68","2007-04-11",14.03
"69","2007-04-12",13.94
"70","2007-04-13",13.85
"71","2007-04-16",14.12
"72","2007-04-17",13.61
"73","2007-04-18",13.64
"74","2007-04-19",13.77
"75","2007-04-20",13.82
"76","2007-04-23",14.09
"77","2007-04-24",14.17
"78","2007-04-25",14.55
"79","2007-04-26",14.62
"80","2007-04-27",14.62
"81","2007-04-30",13.99
"82","2007-05-01",13.99
"83","2007-05-02",13.73
"84","2007-05-03",13.75
"85","2007-05-04",13.68
"86","2007-05-07",13.61
"87","2007-05-08",13.82
"88","2007-05-09",14.16
"89","2007-05-10",13.8
"90","2007-05-11",14.2
"91","2007-05-14",13.88
"92","2007-05-15",13.81
"93","2007-05-16",13.91
"94","2007-05-17",13.9
"95","2007-05-18",13.96
"96","2007-05-21",14.11
"97","2007-05-22",14.29
"98","2007-05-23",14.18
"99","2007-05-24",13.98
"100","2007-05-25",14.08
"101","2007-05-29",14.33
"102","2007-05-30",14.26
"103","2007-05-31",14.22
"104","2007-06-01",14.47
"105","2007-06-04",14.32
"106","2007-06-05",14.35
"107","2007-06-06",14.26
"108","2007-06-07",13.86
"109","2007-06-08",14.07
"110","2007-06-11",14.05
"111","2007-06-12",14.07
"112","2007-06-13",14.35
"113","2007-06-14",14.86
"114","2007-06-15",14.98
"115","2007-06-18",14.97
"116","2007-06-19",14.81
"117","2007-06-20",14.34
"118","2007-06-21",14.84
"119","2007-06-22",14.67
"120","2007-06-25",14.89
"121","2007-06-26",14.77
"122","2007-06-27",15.44
"123","2007-06-28",15.75
"124","2007-06-29",15.75
"125","2007-07-02",16.15
"126","2007-07-03",16.18
"127","2007-07-05",15.91
"128","2007-07-06",15.97
"129","2007-07-09",16.059999
"130","2007-07-10",15.54
"131","2007-07-11",15.37
"132","2007-07-12",15.9
"133","2007-07-13",15.54
"134","2007-07-16",15.33
"135","2007-07-17",15.56
"136","2007-07-18",15.29
"137","2007-07-19",15
"138","2007-07-20",14.73
"139","2007-07-23",14.8
"140","2007-07-24",14.49
"141","2007-07-25",14.4
"142","2007-07-26",13.05
"143","2007-07-27",12.97
"144","2007-07-30",13.35
"145","2007-07-31",12.36
"146","2007-08-01",11.22
"147","2007-08-02",11.09
"148","2007-08-03",10.44
"149","2007-08-06",10.97
"150","2007-08-07",10.74
"151","2007-08-08",10.26
"152","2007-08-09",9.8
"153","2007-08-10",11.03
"154","2007-08-13",11.27
"155","2007-08-14",10.9
"156","2007-08-15",10.47
"157","2007-08-16",10.7
"158","2007-08-17",10.69
"159","2007-08-20",10.51
"160","2007-08-21",10.97
"161","2007-08-22",11.77
"162","2007-08-23",11.73
"163","2007-08-24",12.07
"164","2007-08-27",11.66
"165","2007-08-28",11.36
"166","2007-08-29",11.55
"167","2007-08-30",11.24
"168","2007-08-31",11.52
"169","2007-09-04",11.87
"170","2007-09-05",11.46
"171","2007-09-06",11.19
"172","2007-09-07",10.78
"173","2007-09-10",10.41
"174","2007-09-11",10.72
"175","2007-09-12",10.38
"176","2007-09-13",10.37
"177","2007-09-14",10.09
"178","2007-09-17",9.89
"179","2007-09-18",10.88
"180","2007-09-19",10.79
"181","2007-09-20",10.87
"182","2007-09-21",11.1
"183","2007-09-24",11.04
"184","2007-09-25",11.63
"185","2007-09-26",11.56
"186","2007-09-27",11.95
"187","2007-09-28",11.52
"188","2007-10-01",11.74
"189","2007-10-02",11.86
"190","2007-10-03",11.81
"191","2007-10-04",11.83
"192","2007-10-05",12.27
"193","2007-10-08",12.1
"194","2007-10-09",12.07
"195","2007-10-10",11.74
"196","2007-10-11",11.48
"197","2007-10-12",11.84
"198","2007-10-15",11.62
"199","2007-10-16",11.71
"200","2007-10-17",11.91
"201","2007-10-18",12.12
"202","2007-10-19",11.36
"203","2007-10-22",10.9
"204","2007-10-23",11.13
"205","2007-10-24",10.87
"206","2007-10-25",10.76
"207","2007-10-26",10.98
"208","2007-10-29",11.3
"209","2007-10-30",11.34
"210","2007-10-31",11.33
"211","2007-11-01",10.94
"212","2007-11-02",11.14
"213","2007-11-05",10.65
"214","2007-11-06",10.49
"215","2007-11-07",10.41
"216","2007-11-08",9.06
"217","2007-11-09",8.93
"218","2007-11-12",8.55
"219","2007-11-13",8.42
"220","2007-11-14",8.76
"221","2007-11-15",8.68
"222","2007-11-16",8.7
"223","2007-11-19",8.16
"224","2007-11-20",7.84
"225","2007-11-21",7.72
"226","2007-11-23",7.94
"227","2007-11-26",7.78
"228","2007-11-27",8.06
"229","2007-11-28",8.37
"230","2007-11-29",8.12
"231","2007-11-30",8.24
"232","2007-12-03",8.1
"233","2007-12-04",8.24
"234","2007-12-05",8.5
"235","2007-12-06",8.72
"236","2007-12-07",8.81
"237","2007-12-10",8.98
"238","2007-12-11",8.49
"239","2007-12-12",8.72
"240","2007-12-13",8.68
"241","2007-12-14",8.67
"242","2007-12-17",8.4
"243","2007-12-18",8.18
"244","2007-12-19",8.36
"245","2007-12-20",8.74
"246","2007-12-21",8.84
"247","2007-12-24",8.98
"248","2007-12-26",9.16
"249","2007-12-27",8.79
"250","2007-12-28",8.79
"251","2007-12-31",8.53
"252","2008-01-02",8.28
"253","2008-01-03",8.03
"254","2008-01-04",7.56
"255","2008-01-07",7.21
"256","2008-01-08",7.14
"257","2008-01-09",7.06
"258","2008-01-10",6.98
"259","2008-01-11",6.57
"260","2008-01-14",6.88
"261","2008-01-15",6.82
"262","2008-01-16",6.66
"263","2008-01-17",6.57
"264","2008-01-18",6.66
"265","2008-01-22",6.55
"266","2008-01-23",6.69
"267","2008-01-24",7.01
"268","2008-01-25",6.98
"269","2008-01-28",7.23
"270","2008-01-29",7.36
"271","2008-01-30",7.31
"272","2008-01-31",7.64
"273","2008-02-01",7.91
"274","2008-02-04",8.14
"275","2008-02-05",8.04
"276","2008-02-06",7.72
"277","2008-02-07",7.94
"278","2008-02-08",8.23
"279","2008-02-11",8.14
"280","2008-02-12",8.52
"281","2008-02-13",9.4
"282","2008-02-14",10.67
"283","2008-02-15",11.26
"284","2008-02-19",11.29
"285","2008-02-20",11.96
"286","2008-02-21",11.71
"287","2008-02-22",11.89
"288","2008-02-25",11.89
"289","2008-02-26",12.01
"290","2008-02-27",12.38
"291","2008-02-28",12.27
"292","2008-02-29",11.71
"293","2008-03-03",11.41
"294","2008-03-04",11.42
"295","2008-03-05",11.83
"296","2008-03-06",11.43
"297","2008-03-07",11.51
"298","2008-03-10",11.46
"299","2008-03-11",11.65
"300","2008-03-12",11.33
"301","2008-03-13",11.84
"302","2008-03-14",11.6
"303","2008-03-17",11.37
"304","2008-03-18",12.06
"305","2008-03-19",11.24
"306","2008-03-20",11.01
"307","2008-03-24",11.64
"308","2008-03-25",11.46
"309","2008-03-26",11.29
"310","2008-03-27",10.85
"311","2008-03-28",10.81
"312","2008-03-31",10.7
"313","2008-04-01",10.94
"314","2008-04-02",11.02
"315","2008-04-03",11.04
"316","2008-04-04",10.41
"317","2008-04-07",10.25
"318","2008-04-08",10.01
"319","2008-04-09",9.71
"320","2008-04-10",9.5
"321","2008-04-11",9.16
"322","2008-04-14",9.35
"323","2008-04-15",9.08
"324","2008-04-16",9.31
"325","2008-04-17",8.82
"326","2008-04-18",8.76
"327","2008-04-21",8.75
"328","2008-04-22",8.68
"329","2008-04-23",8.78
"330","2008-04-24",9.23
"331","2008-04-25",9.79
"332","2008-04-28",9.45
"333","2008-04-29",9.6
"334","2008-04-30",9.55
"335","2008-05-01",12.33
"336","2008-05-02",11.66
"337","2008-05-05",11.88
"338","2008-05-06",11.88
"339","2008-05-07",11.62
"340","2008-05-08",11.62
"341","2008-05-09",11.38
"342","2008-05-12",11.76
"343","2008-05-13",11.81
"344","2008-05-14",12.1
"345","2008-05-15",12.18
"346","2008-05-16",12.36
"347","2008-05-19",12.31
"348","2008-05-20",11.28
"349","2008-05-21",11.16
"350","2008-05-22",11.24
"351","2008-05-23",10.88
"352","2008-05-27",11.29
"353","2008-05-28",10.93
"354","2008-05-29",10.86
"355","2008-05-30",10.66
"356","2008-06-02",10.3
"357","2008-06-03",10.78
"358","2008-06-04",11.05
"359","2008-06-05",11.13
"360","2008-06-06",10.7
"361","2008-06-09",10.59
"362","2008-06-10",10.56
"363","2008-06-11",10.29
"364","2008-06-12",10.23
"365","2008-06-13",10.64
"366","2008-06-16",11.69
"367","2008-06-17",11.56
"368","2008-06-18",11.49
"369","2008-06-19",11.8
"370","2008-06-20",11.27
"371","2008-06-23",10.95
"372","2008-06-24",10.87
"373","2008-06-25",11.17
"374","2008-06-26",10.6
"375","2008-06-27",10.86
"376","2008-06-30",10.41
"377","2008-07-01",10.66
"378","2008-07-02",10.25
"379","2008-07-03",10.11
"380","2008-07-07",10.1
