"","date","T"
"1","2007-01-03",34.950001
"2","2007-01-04",34.5
"3","2007-01-05",33.959999
"4","2007-01-08",33.810001
"5","2007-01-09",33.939999
"6","2007-01-10",34.029999
"7","2007-01-11",34.490002
"8","2007-01-12",34.73
"9","2007-01-16",34.630001
"10","2007-01-17",34.490002
"11","2007-01-18",35.02
"12","2007-01-19",35.07
"13","2007-01-22",35.27
"14","2007-01-23",35.360001
"15","2007-01-24",36.630001
"16","2007-01-25",36.790001
"17","2007-01-26",36.400002
"18","2007-01-29",36.509998
"19","2007-01-30",37.09
"20","2007-01-31",37.630001
"21","2007-02-01",37.75
"22","2007-02-02",38.119999
"23","2007-02-05",37.790001
"24","2007-02-06",37.509998
"25","2007-02-07",37.16
"26","2007-02-08",37.380001
"27","2007-02-09",36.900002
"28","2007-02-12",36.959999
"29","2007-02-13",37.189999
"30","2007-02-14",37.189999
"31","2007-02-15",37.23
"32","2007-02-16",37.48
"33","2007-02-20",37.360001
"34","2007-02-21",37.209999
"35","2007-02-22",37.049999
"36","2007-02-23",37
"37","2007-02-26",37.5
"38","2007-02-27",36.150002
"39","2007-02-28",36.799999
"40","2007-03-01",36.709999
"41","2007-03-02",36.439999
"42","2007-03-05",35.720001
"43","2007-03-06",36
"44","2007-03-07",35.43
"45","2007-03-08",36.509998
"46","2007-03-09",36.549999
"47","2007-03-12",37.060001
"48","2007-03-13",37.259998
"49","2007-03-14",37.209999
"50","2007-03-15",36.939999
"51","2007-03-16",36.98
"52","2007-03-19",37.580002
"53","2007-03-20",37.91
"54","2007-03-21",38.860001
"55","2007-03-22",39.110001
"56","2007-03-23",38.880001
"57","2007-03-26",39.310001
"58","2007-03-27",39.439999
"59","2007-03-28",38.950001
"60","2007-03-29",39.169998
"61","2007-03-30",39.43
"62","2007-04-02",39.459999
"63","2007-04-03",39.740002
"64","2007-04-04",39.23
"65","2007-04-05",39.27
"66","2007-04-09",39.330002
"67","2007-04-10",39.450001
"68","2007-04-11",38.939999
"69","2007-04-12",38.66
"70","2007-04-13",38.84
"71","2007-04-16",39.259998
"72","2007-04-17",39.189999
"73","2007-04-18",38.970001
"74","2007-04-19",39.310001
"75","2007-04-20",39.869999
"76","2007-04-23",39.77
"77","2007-04-24",39.099998
"78","2007-04-25",39.139999
"79","2007-04-26",38.959999
"80","2007-04-27",38.639999
"81","2007-04-30",38.720001
"82","2007-05-01",38.84
"83","2007-05-02",38.68
"84","2007-05-03",38.900002
"85","2007-05-04",39.48
"86","2007-05-07",39.599998
"87","2007-05-08",39.27
"88","2007-05-09",39.470001
"89","2007-05-10",38.91
"90","2007-05-11",39.59
"91","2007-05-14",40.029999
"92","2007-05-15",40.389999
"93","2007-05-16",41.139999
"94","2007-05-17",41.259998
"95","2007-05-18",41.099998
"96","2007-05-21",40.549999
"97","2007-05-22",40.439999
"98","2007-05-23",40.41
"99","2007-05-24",40.419998
"100","2007-05-25",40.759998
"101","2007-05-29",40.490002
"102","2007-05-30",40.98
"103","2007-05-31",41.34
"104","2007-06-01",40.529999
"105","2007-06-04",40.900002
"106","2007-06-05",40.490002
"107","2007-06-06",40.380001
"108","2007-06-07",39.52
"109","2007-06-08",40.259998
"110","2007-06-11",40.119999
"111","2007-06-12",39.080002
"112","2007-06-13",39.98
"113","2007-06-14",40.560001
"114","2007-06-15",40.279999
"115","2007-06-18",40.009998
"116","2007-06-19",40.240002
"117","2007-06-20",39.529999
"118","2007-06-21",39.59
"119","2007-06-22",38.849998
"120","2007-06-25",39.080002
"121","2007-06-26",39.290001
"122","2007-06-27",39.98
"123","2007-06-28",40.740002
"124","2007-06-29",41.5
"125","2007-07-02",41.849998
"126","2007-07-03",41.5
"127","2007-07-05",40.959999
"128","2007-07-06",40.66
"129","2007-07-09",40.490002
"130","2007-07-10",39.5
"131","2007-07-11",39.810001
"132","2007-07-12",40.48
"133","2007-07-13",40.400002
"134","2007-07-16",40.209999
"135","2007-07-17",39.84
"136","2007-07-18",39.630001
"137","2007-07-19",39.650002
"138","2007-07-20",39.060001
"139","2007-07-23",40.029999
"140","2007-07-24",39.68
"141","2007-07-25",40.5
"142","2007-07-26",39.970001
"143","2007-07-27",39.240002
"144","2007-07-30",39.77
