"","date","ELF"
"221","2017-08-08",25.540001
"222","2017-08-09",25.17
"223","2017-08-10",24.76
"224","2017-08-11",25.190001
"225","2017-08-14",25.5
"226","2017-08-15",25.110001
"227","2017-08-16",25.030001
"228","2017-08-17",23.99
"229","2017-08-18",23.01
"230","2017-08-21",23.07
"231","2017-08-22",19.370001
"232","2017-08-23",20.99
"233","2017-08-24",19.889999
"234","2017-08-25",20.540001
"235","2017-08-28",20.219999
"236","2017-08-29",20.360001
"237","2017-08-30",20.309999
"238","2017-08-31",20.690001
"239","2017-09-01",20.219999
"240","2017-09-05",19.719999
"241","2017-09-06",20.389999
"242","2017-09-07",20.08
"243","2017-09-08",20.26
"244","2017-09-11",20.01
"245","2017-09-12",20.15
"246","2017-09-13",19.809999
"247","2017-09-14",20.34
"248","2017-09-15",20.299999
"249","2017-09-18",19.9
"250","2017-09-19",19.99
"251","2017-09-20",20.190001
"252","2017-09-21",19.4
"253","2017-09-22",19.280001
"254","2017-09-25",19.700001
"255","2017-09-26",21.049999
"256","2017-09-27",21.15
"257","2017-09-28",22.07
"258","2017-09-29",22.549999
"259","2017-10-02",21.860001
"260","2017-10-03",21.84
"261","2017-10-04",21.4
"262","2017-10-05",21.66
"263","2017-10-06",21.790001
"264","2017-10-09",21.190001
"265","2017-10-10",21.110001
"266","2017-10-11",21.01
"267","2017-10-12",20.870001
"268","2017-10-13",21.18
"269","2017-10-16",21.299999
"270","2017-10-17",21.24
"271","2017-10-18",20.16
"272","2017-10-19",20.43
"273","2017-10-20",20.51
"274","2017-10-23",21.200001
"275","2017-10-24",22.08
"276","2017-10-25",21.99
"277","2017-10-26",22.219999
"278","2017-10-27",22.67
"279","2017-10-30",21.75
"280","2017-10-31",21.190001
"281","2017-11-01",20.83
"282","2017-11-02",20.85
"283","2017-11-03",20.620001
"284","2017-11-06",20.219999
"285","2017-11-07",20.629999
"286","2017-11-08",19.200001
"287","2017-11-09",18.91
"288","2017-11-10",19.049999
"289","2017-11-13",19.610001
"290","2017-11-14",19.139999
"291","2017-11-15",19.23
"292","2017-11-16",19.57
"293","2017-11-17",20.08
"294","2017-11-20",20.34
"295","2017-11-21",20.32
"296","2017-11-22",20.66
"297","2017-11-24",20.549999
"298","2017-11-27",20.780001
"299","2017-11-28",21.5
"300","2017-11-29",21.610001
"301","2017-11-30",22.16
"302","2017-12-01",21.74
"303","2017-12-04",23.52
"304","2017-12-05",23.530001
"305","2017-12-06",22.43
"306","2017-12-07",21.139999
"307","2017-12-08",21.83
"308","2017-12-11",21.74
"309","2017-12-12",20.91
"310","2017-12-13",21.5
"311","2017-12-14",22.129999
"312","2017-12-15",22.469999
"313","2017-12-18",22.98
"314","2017-12-19",22.950001
"315","2017-12-20",23.030001
"316","2017-12-21",22.75
"317","2017-12-22",22.4
"318","2017-12-26",22.950001
"319","2017-12-27",22.139999
"320","2017-12-28",22.629999
"321","2017-12-29",22.309999
"322","2018-01-02",22.42
"323","2018-01-03",21.709999
"324","2018-01-04",21.370001
"325","2018-01-05",21.780001
"326","2018-01-08",22.02
"327","2018-01-09",19.51
"328","2018-01-10",19.17
"329","2018-01-11",19.719999
"330","2018-01-12",19.26
"331","2018-01-16",19.51
"332","2018-01-17",19.450001
"333","2018-01-18",18.26
"334","2018-01-19",19.15
"335","2018-01-22",19.98
"336","2018-01-23",20.26
"337","2018-01-24",21.110001
"338","2018-01-25",20.639999
"339","2018-01-26",20.049999
"340","2018-01-29",20.27
"341","2018-01-30",20.379999
"342","2018-01-31",20.559999
"343","2018-02-01",20.48
"344","2018-02-02",20.58
"345","2018-02-05",20.200001
"346","2018-02-06",19.870001
"347","2018-02-07",19.85
"348","2018-02-08",19.6
"349","2018-02-09",19.790001
"350","2018-02-12",19.85
"351","2018-02-13",19.469999
"352","2018-02-14",19.9
"353","2018-02-15",20.209999
"354","2018-02-16",20.24
"355","2018-02-20",20.190001
"356","2018-02-21",20.18
"357","2018-02-22",20.84
"358","2018-02-23",21.43
"359","2018-02-26",21.34
"360","2018-02-27",20.34
"361","2018-02-28",18.440001
"362","2018-03-01",18.43
"363","2018-03-02",18.200001
"364","2018-03-05",18.459999
"365","2018-03-06",18.4
"366","2018-03-07",18.68
"367","2018-03-08",19.75
"368","2018-03-09",19.92
"369","2018-03-12",20.5
"370","2018-03-13",19.860001
"371","2018-03-14",19.969999
"372","2018-03-15",19.23
"373","2018-03-16",19.889999
"374","2018-03-19",19.6
"375","2018-03-20",19.02
"376","2018-03-21",19.08
"377","2018-03-22",18.870001
"378","2018-03-23",18.82
"379","2018-03-26",18.860001
"380","2018-03-27",19.09
"381","2018-03-28",18.969999
"382","2018-03-29",19.370001
"383","2018-04-02",19.26
"384","2018-04-03",19.57
"385","2018-04-04",19.75
"386","2018-04-05",19.950001
"387","2018-04-06",20.030001
"388","2018-04-09",19.74
"389","2018-04-10",19.9
"390","2018-04-11",19.5
"391","2018-04-12",19.469999
"392","2018-04-13",18.950001
"393","2018-04-16",19.48
"394","2018-04-17",19.360001
"395","2018-04-18",19.360001
"396","2018-04-19",18.940001
"397","2018-04-20",17.879999
"398","2018-04-23",17.32
"399","2018-04-24",17.219999
"400","2018-04-25",17.27
"401","2018-04-26",17.459999
"402","2018-04-27",17.700001
"403","2018-04-30",18.17
"404","2018-05-01",18.6
"405","2018-05-02",18.99
"406","2018-05-03",19.049999
"407","2018-05-04",19.780001
"408","2018-05-07",20
"409","2018-05-08",20.200001
"410","2018-05-09",20
"411","2018-05-10",19.27
"412","2018-05-11",19.26
"413","2018-05-14",19.389999
"414","2018-05-15",19.51
"415","2018-05-16",19.67
"416","2018-05-17",19.99
"417","2018-05-18",19.639999
"418","2018-05-21",19.59
"419","2018-05-22",19.549999
"420","2018-05-23",19.790001
"421","2018-05-24",19.709999
"422","2018-05-25",19.629999
"423","2018-05-29",18.42
"424","2018-05-30",18.82
"425","2018-05-31",18.85
"426","2018-06-01",18.379999
"427","2018-06-04",18.66
"428","2018-06-05",18.700001
"429","2018-06-06",19.24
"430","2018-06-07",19.209999
"431","2018-06-08",19.33
"432","2018-06-11",19.620001
"433","2018-06-12",19.9
"434","2018-06-13",19.389999
"435","2018-06-14",19.5
"436","2018-06-15",19.780001
"437","2018-06-18",19.57
"438","2018-06-19",19.110001
"439","2018-06-20",18.950001
"440","2018-06-21",18.59
"441","2018-06-22",18.57
"442","2018-06-25",17.9
"443","2018-06-26",17
"444","2018-06-27",16.440001
"445","2018-06-28",15.99
"446","2018-06-29",15.24
"447","2018-07-02",16.360001
"448","2018-07-03",16.49
"449","2018-07-05",16.290001
"450","2018-07-06",16.690001
"451","2018-07-09",16.700001
"452","2018-07-10",16.610001
"453","2018-07-11",16.139999
"454","2018-07-12",16.07
"455","2018-07-13",15.74
"456","2018-07-16",15.46
"457","2018-07-17",15.42
"458","2018-07-18",15.33
"459","2018-07-19",15.15
"460","2018-07-20",14.92
"461","2018-07-23",14.73
"462","2018-07-24",13.93
"463","2018-07-25",14.08
"464","2018-07-26",14.17
"465","2018-07-27",14.09
"466","2018-07-30",14.19
"467","2018-07-31",14.44
"468","2018-08-01",14.23
"469","2018-08-02",14.47
"470","2018-08-03",14.39
"471","2018-08-06",14.28
"472","2018-08-07",14.45
"473","2018-08-08",14.91
"474","2018-08-09",9.85
"475","2018-08-10",10.18
"476","2018-08-13",10.78
"477","2018-08-14",11.18
"478","2018-08-15",10.83
"479","2018-08-16",11.25
"480","2018-08-17",11.67
"481","2018-08-20",12.11
"482","2018-08-21",12.53
"483","2018-08-22",11.96
"484","2018-08-23",12.39
"485","2018-08-24",12.62
"486","2018-08-27",12.66
"487","2018-08-28",13.24
"488","2018-08-29",13.3
"489","2018-08-30",13.55
"490","2018-08-31",13.89
"491","2018-09-04",13.78
"492","2018-09-05",13.57
"493","2018-09-06",13.24
"494","2018-09-07",13.54
"495","2018-09-10",13.36
"496","2018-09-11",13.4
"497","2018-09-12",13.44
"498","2018-09-13",13.16
"499","2018-09-14",13.11
"500","2018-09-17",13.42
"501","2018-09-18",13.29
"502","2018-09-19",13.62
"503","2018-09-20",13.61
"504","2018-09-21",13.46
"505","2018-09-24",12.99
"506","2018-09-25",13.12
"507","2018-09-26",12.89
"508","2018-09-27",12.76
"509","2018-09-28",12.73
"510","2018-10-01",12.92
"511","2018-10-02",13.04
"512","2018-10-03",13
"513","2018-10-04",12.38
"514","2018-10-05",12.59
"515","2018-10-08",12.77
"516","2018-10-09",12.4
