"","date","ENOB"
"1","2018-02-07",5.9
"2","2018-02-08",5.7
"3","2018-02-09",5.77
"4","2018-02-12",5.65
"5","2018-02-13",5.6
"6","2018-02-14",5.6
"7","2018-02-15",5.7
"8","2018-02-16",5.2
"9","2018-02-20",6.85
"10","2018-02-21",6.7
"11","2018-02-22",6.5
"12","2018-02-23",6.5
"13","2018-02-26",6.35
"14","2018-02-27",6.1
"15","2018-02-28",5.95
"16","2018-03-01",5.9
"17","2018-03-02",6
"18","2018-03-05",6.25
"19","2018-03-06",6
"20","2018-03-07",6.15
"21","2018-03-08",6.85
"22","2018-03-09",6.75
"23","2018-03-12",6.75
"24","2018-03-13",6.7
"25","2018-03-14",5.2
"26","2018-03-15",6
"27","2018-03-16",6.05
"28","2018-03-19",6
"29","2018-03-20",6.3
"30","2018-03-21",6.55
"31","2018-03-22",6.2
"32","2018-03-23",5.56
"33","2018-03-26",5.99
"34","2018-03-27",5.99
"35","2018-03-28",5.98
"36","2018-03-29",5.5
"37","2018-04-02",5.5
"38","2018-04-03",5.5
"39","2018-04-04",5.55
"40","2018-04-05",5.75
"41","2018-04-06",5.75
"42","2018-04-09",5.6
"43","2018-04-10",5.5
"44","2018-04-11",5.49
"45","2018-04-12",5
"46","2018-04-13",5
"47","2018-04-16",4.99
"48","2018-04-17",5
"49","2018-04-18",5
"50","2018-04-19",4.99
"51","2018-04-20",4.99
"52","2018-04-23",4.96
"53","2018-04-24",4.85
"54","2018-04-25",4.85
"55","2018-04-26",4.73
"56","2018-04-27",4.74
"57","2018-04-30",5
"58","2018-05-01",4.8
"59","2018-05-02",4.8
"60","2018-05-03",4.85
"61","2018-05-04",4.78
"62","2018-05-07",4.6
"63","2018-05-08",4.6
"64","2018-05-09",4.8
"65","2018-05-10",4.9
"66","2018-05-11",4.9
"67","2018-05-14",5.18
"68","2018-05-15",5.16
"69","2018-05-16",5.25
"70","2018-05-17",5.5
"71","2018-05-18",5.25
"72","2018-05-21",5.39
"73","2018-05-22",5.25
"74","2018-05-23",5.25
"75","2018-05-24",5.25
"76","2018-05-25",5.37
"77","2018-05-29",5.25
"78","2018-05-30",5.25
"79","2018-05-31",5.25
"80","2018-06-01",5.25
"81","2018-06-04",5.25
"82","2018-06-05",5.25
"83","2018-06-06",5
"84","2018-06-07",5.25
"85","2018-06-08",5.25
"86","2018-06-11",5.25
"87","2018-06-12",5.25
"88","2018-06-13",5
"89","2018-06-14",5
"90","2018-06-15",5.1
"91","2018-06-18",4.85
"92","2018-06-19",4.7
"93","2018-06-20",4.7
"94","2018-06-21",4.75
"95","2018-06-22",4.75
"96","2018-06-25",5
"97","2018-06-26",5
"98","2018-06-27",4.88
"99","2018-06-28",4.75
"100","2018-06-29",3.32
"101","2018-07-02",4.3
"102","2018-07-03",4.55
"103","2018-07-05",4.4
"104","2018-07-06",4.4
"105","2018-07-09",4.4
"106","2018-07-10",4.5
"107","2018-07-11",4.21
"108","2018-07-12",4.3
"109","2018-07-13",4.4
"110","2018-07-16",4.25
"111","2018-07-17",4.25
"112","2018-07-18",4.1
"113","2018-07-19",3.78
"114","2018-07-20",4
"115","2018-07-23",4
"116","2018-07-24",4
"117","2018-07-25",4
"118","2018-07-26",4
"119","2018-07-27",3.75
"120","2018-07-30",4
"121","2018-07-31",4
"122","2018-08-01",3.95
"123","2018-08-02",3.95
"124","2018-08-03",3.95
"125","2018-08-06",4
"126","2018-08-07",4
"127","2018-08-08",3.5
"128","2018-08-09",4
"129","2018-08-10",4.01
"130","2018-08-13",4
"131","2018-08-14",4.4
"132","2018-08-15",4.5
"133","2018-08-16",4.5
"134","2018-08-17",4.5
"135","2018-08-20",4.5
"136","2018-08-21",4.9
"137","2018-08-22",4.15
"138","2018-08-23",4.99
"139","2018-08-24",4.69
"140","2018-08-27",4.5
"141","2018-08-28",4.5
"142","2018-08-29",4.5
"143","2018-08-30",4.5
"144","2018-08-31",4.5
"145","2018-09-04",4.91
"146","2018-09-05",4.51
"147","2018-09-06",4.9
"148","2018-09-07",5.15
"149","2018-09-10",5.3
"150","2018-09-11",5.68
"151","2018-09-12",5.7
"152","2018-09-13",5.95
"153","2018-09-14",6
"154","2018-09-17",6.05
"155","2018-09-18",5.75
"156","2018-09-19",5.74
"157","2018-09-20",5.85
"158","2018-09-21",5.85
"159","2018-09-24",5.85
"160","2018-09-25",5.75
"161","2018-09-26",5.79
"162","2018-09-27",5.85
"163","2018-09-28",5.84
"164","2018-10-01",5.89
"165","2018-10-02",5.72
"166","2018-10-03",5.81
"167","2018-10-04",5.85
"168","2018-10-05",5.8
"169","2018-10-08",5.8
"170","2018-10-09",5.8
"171","2018-10-10",5.73
"172","2018-10-11",5.75
"173","2018-10-12",5.9
"174","2018-10-15",5.7
"175","2018-10-16",5.7
"176","2018-10-17",5.7
"177","2018-10-18",5.75
"178","2018-10-19",5.85
"179","2018-10-22",5.7
"180","2018-10-23",5.17
"181","2018-10-24",5.8
