"","date","GXGX"
"1","2019-09-11",9.8
"2","2019-09-12",9.8
"3","2019-09-13",9.8
"4","2019-09-16",9.8
"5","2019-09-17",9.8
"6","2019-09-18",9.8
"7","2019-09-19",9.801
"8","2019-09-20",9.8
"9","2019-09-23",9.81
"10","2019-09-24",9.81
"11","2019-09-25",9.81
"12","2019-09-26",9.95
"13","2019-09-27",9.95
"14","2019-09-30",9.95
"15","2019-10-01",9.85
"16","2019-10-02",9.95
"17","2019-10-03",9.95
"18","2019-10-04",9.95
"19","2019-10-07",9.95
"20","2019-10-08",9.95
"21","2019-10-09",9.95
"22","2019-10-10",9.95
"23","2019-10-11",9.94
"24","2019-10-14",9.89
"25","2019-10-15",9.93
"26","2019-10-16",9.93
"27","2019-10-17",9.93
"28","2019-10-18",9.84
"29","2019-10-21",9.84
"30","2019-10-22",9.84
"31","2019-10-23",9.84
"32","2019-10-24",9.83
"33","2019-10-25",9.81
"34","2019-10-28",9.85
"35","2019-10-29",9.85
"36","2019-10-30",9.85
"37","2019-10-31",9.85
"38","2019-11-01",9.85
"39","2019-11-04",9.85
"40","2019-11-05",9.85
"41","2019-11-06",9.93
"42","2019-11-07",9.89
"43","2019-11-08",9.93
"44","2019-11-11",9.93
"45","2019-11-12",9.93
"46","2019-11-13",9.93
"47","2019-11-14",9.93
"48","2019-11-15",9.93
"49","2019-11-18",9.85
"50","2019-11-19",9.85
"51","2019-11-20",9.9
"52","2019-11-21",9.92
"53","2019-11-22",9.92
"54","2019-11-25",9.92
"55","2019-11-26",9.93
"56","2019-11-27",9.93
"57","2019-11-29",9.93
"58","2019-12-02",9.93
"59","2019-12-03",9.94
"60","2019-12-04",9.94
"61","2019-12-05",9.94
"62","2019-12-06",9.94
"63","2019-12-09",9.94
"64","2019-12-10",9.94
"65","2019-12-11",9.94
"66","2019-12-12",9.94
"67","2019-12-13",9.94
"68","2019-12-16",9.94
"69","2019-12-17",9.96
"70","2019-12-18",9.94
"71","2019-12-19",9.95
"72","2019-12-20",9.95
"73","2019-12-23",9.95
"74","2019-12-24",9.95
"75","2019-12-26",9.95
