"","date","HAFC"
"1","2007-01-03",182.160004
"2","2007-01-04",183.039993
"3","2007-01-05",176.800003
"4","2007-01-08",176.399994
"5","2007-01-09",175.119995
"6","2007-01-10",175.039993
"7","2007-01-11",175.759995
"8","2007-01-12",177.759995
"9","2007-01-16",176.160004
"10","2007-01-17",173.360001
"11","2007-01-18",171.199997
"12","2007-01-19",173.279999
"13","2007-01-22",171.039993
"14","2007-01-23",170.399994
"15","2007-01-24",170
"16","2007-01-25",167.360001
"17","2007-01-26",171.360001
"18","2007-01-29",173.679993
"19","2007-01-30",174.960007
"20","2007-01-31",163.839996
"21","2007-02-01",163.199997
"22","2007-02-02",163.360001
"23","2007-02-05",162.080002
"24","2007-02-06",162.960007
"25","2007-02-07",165.839996
"26","2007-02-08",165.919998
"27","2007-02-09",162.639999
"28","2007-02-12",163.279999
"29","2007-02-13",160.880005
"30","2007-02-14",160.800003
"31","2007-02-15",160.160004
"32","2007-02-16",160.559998
"33","2007-02-20",164.960007
"34","2007-02-21",164.160004
"35","2007-02-22",164.880005
"36","2007-02-23",164.880005
"37","2007-02-26",164.080002
"38","2007-02-27",157.839996
"39","2007-02-28",156.240005
"40","2007-03-01",155.440002
"41","2007-03-02",153.119995
"42","2007-03-05",148.880005
"43","2007-03-06",156.399994
"44","2007-03-07",156.479996
"45","2007-03-08",156.240005
"46","2007-03-09",157.520004
"47","2007-03-12",157.679993
"48","2007-03-13",152.800003
"49","2007-03-14",151.759995
"50","2007-03-15",154.479996
"51","2007-03-16",153.279999
"52","2007-03-19",155.520004
"53","2007-03-20",157.919998
"54","2007-03-21",160.240005
"55","2007-03-22",160.559998
"56","2007-03-23",160.320007
"57","2007-03-26",159.360001
"58","2007-03-27",157.119995
"59","2007-03-28",154.399994
"60","2007-03-29",154
"61","2007-03-30",152.479996
"62","2007-04-02",152.479996
"63","2007-04-03",155.440002
"64","2007-04-04",153.199997
"65","2007-04-05",152.880005
"66","2007-04-09",151.279999
"67","2007-04-10",151.119995
"68","2007-04-11",151.440002
"69","2007-04-12",150.320007
"70","2007-04-13",152.160004
"71","2007-04-16",155.919998
"72","2007-04-17",155.759995
"73","2007-04-18",154.240005
"74","2007-04-19",152.720001
"75","2007-04-20",134.720001
"76","2007-04-23",135.360001
"77","2007-04-24",135.199997
"78","2007-04-25",137.520004
"79","2007-04-26",138.880005
"80","2007-04-27",135.919998
"81","2007-04-30",131.279999
"82","2007-05-01",131.759995
"83","2007-05-02",134.559998
"84","2007-05-03",134.160004
"85","2007-05-04",133.279999
"86","2007-05-07",135.199997
"87","2007-05-08",136.080002
"88","2007-05-09",137.199997
"89","2007-05-10",136.399994
"90","2007-05-11",136.720001
"91","2007-05-14",136.080002
"92","2007-05-15",134.479996
"93","2007-05-16",134.960007
"94","2007-05-17",134
"95","2007-05-18",134.479996
"96","2007-05-21",135.520004
"97","2007-05-22",137.839996
"98","2007-05-23",139.039993
"99","2007-05-24",138.240005
"100","2007-05-25",138.479996
"101","2007-05-29",139.360001
"102","2007-05-30",139.440002
"103","2007-05-31",139.759995
"104","2007-06-01",140.800003
"105","2007-06-04",140.960007
"106","2007-06-05",139.199997
"107","2007-06-06",137.839996
"108","2007-06-07",137.199997
"109","2007-06-08",138.800003
"110","2007-06-11",139.039993
"111","2007-06-12",136.639999
"112","2007-06-13",136.720001
"113","2007-06-14",136.880005
"114","2007-06-15",138
"115","2007-06-18",139.119995
