"","date","CCR"
"1","2015-06-30",15
"2","2015-07-01",15.41
"3","2015-07-02",15.36
"4","2015-07-06",15.1
"5","2015-07-07",15.03
"6","2015-07-08",15.02
"7","2015-07-09",15.15
"8","2015-07-10",15.16
"9","2015-07-13",15.75
"10","2015-07-14",15.89
"11","2015-07-15",15.9
"12","2015-07-16",15.6
"13","2015-07-17",15.4
"14","2015-07-20",15.3
"15","2015-07-21",14.98
"16","2015-07-22",14.98
"17","2015-07-23",14.88
"18","2015-07-24",14.63
"19","2015-07-27",14.67
"20","2015-07-28",14.91
"21","2015-07-29",14.71
"22","2015-07-30",14.68
"23","2015-07-31",14.52
"24","2015-08-03",13.85
"25","2015-08-04",14.1
"26","2015-08-05",14.5
"27","2015-08-06",14.2
"28","2015-08-07",14.51
"29","2015-08-10",13.85
"30","2015-08-11",13.1
"31","2015-08-12",13.15
"32","2015-08-13",13.25
"33","2015-08-14",13.16
"34","2015-08-17",13.35
"35","2015-08-18",13.3
"36","2015-08-19",13.73
"37","2015-08-20",13.74
"38","2015-08-21",14.47
"39","2015-08-24",14.52
"40","2015-08-25",13.41
"41","2015-08-26",14.17
"42","2015-08-27",14.66
"43","2015-08-28",14.35
"44","2015-08-31",14.96
"45","2015-09-01",14.362
"46","2015-09-02",14.4
"47","2015-09-03",14.35
"48","2015-09-04",14.07
"49","2015-09-08",14.42
"50","2015-09-09",14.38
"51","2015-09-10",14.8
"52","2015-09-11",14.21
"53","2015-09-14",14.37
"54","2015-09-15",14.36
"55","2015-09-16",14.45
"56","2015-09-17",14.35
"57","2015-09-18",14.17
"58","2015-09-21",14.42
"59","2015-09-22",14.35
"60","2015-09-23",14.35
"61","2015-09-24",14.66
"62","2015-09-25",13.76
"63","2015-09-28",12.02
"64","2015-09-29",11.56
"65","2015-09-30",11.25
"66","2015-10-01",11.34
"67","2015-10-02",11.11
"68","2015-10-05",11.74
"69","2015-10-06",12.03
"70","2015-10-07",12.4
"71","2015-10-08",12.45
"72","2015-10-09",12.64
"73","2015-10-12",12.5
"74","2015-10-13",12.41
"75","2015-10-14",12.485
"76","2015-10-15",12.16
"77","2015-10-16",11.89
"78","2015-10-19",12.07
"79","2015-10-20",12.19
"80","2015-10-21",12.25
"81","2015-10-22",12.21
"82","2015-10-23",12.56
"83","2015-10-26",12.46
"84","2015-10-27",12.96
"85","2015-10-28",13.47
"86","2015-10-29",12.94
"87","2015-10-30",12.94
"88","2015-11-02",13.11
"89","2015-11-03",13.095
"90","2015-11-04",13.05
"91","2015-11-05",13
"92","2015-11-06",12.43
"93","2015-11-09",12.3
