"","date","HIW"
"1","2007-01-03",40
"2","2007-01-04",39.400002
"3","2007-01-05",38.450001
"4","2007-01-08",37.990002
"5","2007-01-09",38.450001
"6","2007-01-10",38.459999
"7","2007-01-11",38.869999
"8","2007-01-12",39.48
"9","2007-01-16",39.849998
"10","2007-01-17",39.990002
"11","2007-01-18",40.029999
"12","2007-01-19",41.009998
"13","2007-01-22",40.59
"14","2007-01-23",40.869999
"15","2007-01-24",41.869999
"16","2007-01-25",42.52
"17","2007-01-26",42.91
"18","2007-01-29",43.349998
"19","2007-01-30",43.470001
"20","2007-01-31",43.700001
"21","2007-02-01",43.950001
"22","2007-02-02",43.959999
"23","2007-02-05",43.900002
"24","2007-02-06",44.779999
"25","2007-02-07",45.860001
"26","2007-02-08",45.509998
"27","2007-02-09",45.18
"28","2007-02-12",44.360001
"29","2007-02-13",45.200001
"30","2007-02-14",44.450001
"31","2007-02-15",45.700001
"32","2007-02-16",45.880001
"33","2007-02-20",45.59
"34","2007-02-21",46.360001
"35","2007-02-22",46.950001
"36","2007-02-23",45.57
"37","2007-02-26",45.419998
"38","2007-02-27",43.610001
"39","2007-02-28",44.349998
"40","2007-03-01",43.549999
"41","2007-03-02",42.029999
"42","2007-03-05",40.59
"43","2007-03-06",40.77
"44","2007-03-07",39.919998
"45","2007-03-08",40.490002
"46","2007-03-09",41.75
"47","2007-03-12",42.439999
"48","2007-03-13",40.560001
"49","2007-03-14",40.700001
"50","2007-03-15",42.040001
"51","2007-03-16",40.91
"52","2007-03-19",41.049999
"53","2007-03-20",41.23
"54","2007-03-21",41.349998
"55","2007-03-22",41.290001
"56","2007-03-23",41.080002
"57","2007-03-26",40.41
"58","2007-03-27",39.599998
"59","2007-03-28",39.369999
"60","2007-03-29",39.209999
"61","2007-03-30",39.490002
"62","2007-04-02",39.790001
"63","2007-04-03",40.490002
"64","2007-04-04",40.700001
"65","2007-04-05",40.509998
"66","2007-04-09",40.580002
"67","2007-04-10",40.75
"68","2007-04-11",40.32
"69","2007-04-12",40.549999
"70","2007-04-13",40.52
"71","2007-04-16",41.470001
"72","2007-04-17",42.439999
"73","2007-04-18",42.32
"74","2007-04-19",42.07
"75","2007-04-20",42.099998
"76","2007-04-23",42.700001
"77","2007-04-24",42.759998
"78","2007-04-25",42.599998
"79","2007-04-26",42.639999
"80","2007-04-27",42.049999
"81","2007-04-30",40.779999
"82","2007-05-01",40.619999
"83","2007-05-02",42.080002
"84","2007-05-03",42.200001
"85","2007-05-04",42.119999
"86","2007-05-07",42.310001
"87","2007-05-08",42.32
"88","2007-05-09",42.869999
"89","2007-05-10",42.299999
"90","2007-05-11",43
"91","2007-05-14",42.919998
"92","2007-05-15",41.360001
"93","2007-05-16",40.560001
"94","2007-05-17",39.639999
"95","2007-05-18",39.209999
"96","2007-05-21",39.869999
"97","2007-05-22",39.75
"98","2007-05-23",39.560001
"99","2007-05-24",38.779999
"100","2007-05-25",39.16
"101","2007-05-29",40.75
"102","2007-05-30",41.48
"103","2007-05-31",43.84
"104","2007-06-01",42.810001
"105","2007-06-04",42.939999
"106","2007-06-05",41.459999
"107","2007-06-06",41.32
"108","2007-06-07",39.540001
"109","2007-06-08",40.209999
"110","2007-06-11",39.029999
"111","2007-06-12",38.830002
"112","2007-06-13",39.639999
"113","2007-06-14",39.490002
"114","2007-06-15",40.650002
"115","2007-06-18",39.91
"116","2007-06-19",40.299999
"117","2007-06-20",39.16
"118","2007-06-21",39.23
"119","2007-06-22",38.549999
"120","2007-06-25",38.099998
"121","2007-06-26",37.75
"122","2007-06-27",38.810001
"123","2007-06-28",38.110001
"124","2007-06-29",37.5
