"","date","PCB"
"1","2018-08-10",19.98
"2","2018-08-13",20.040001
"3","2018-08-14",20
"4","2018-08-15",20
"5","2018-08-16",19.98
"6","2018-08-17",19.85
"7","2018-08-20",20
"8","2018-08-21",19.950001
"9","2018-08-22",19.98
"10","2018-08-23",19.84
"11","2018-08-24",19.75
"12","2018-08-27",19.84
"13","2018-08-28",19.360001
"14","2018-08-29",19.4
"15","2018-08-30",19.5
"16","2018-08-31",20.01
"17","2018-09-04",20.700001
"18","2018-09-05",20.42
"19","2018-09-06",20.25
"20","2018-09-07",20.360001
"21","2018-09-10",20.4
"22","2018-09-11",20.879999
"23","2018-09-12",20.459999
"24","2018-09-13",20.379999
"25","2018-09-14",20.4
"26","2018-09-17",20.459999
"27","2018-09-18",20.34
"28","2018-09-19",20.209999
"29","2018-09-20",19.959999
"30","2018-09-21",19.889999
"31","2018-09-24",19.76
"32","2018-09-25",19.610001
"33","2018-09-26",19.52
"34","2018-09-27",19.84
"35","2018-09-28",19.34
"36","2018-10-01",19.67
"37","2018-10-02",19.67
"38","2018-10-03",19.360001
"39","2018-10-04",19.48
"40","2018-10-05",19.49
"41","2018-10-08",19.25
"42","2018-10-09",19.049999
"43","2018-10-10",18.85
"44","2018-10-11",18.629999
"45","2018-10-12",17.23
"46","2018-10-15",16.59
"47","2018-10-16",17.280001
"48","2018-10-17",17.299999
"49","2018-10-18",17.379999
"50","2018-10-19",17
"51","2018-10-22",16.709999
"52","2018-10-23",16.6
"53","2018-10-24",16.379999
"54","2018-10-25",16.74
"55","2018-10-26",16.389999
"56","2018-10-29",16.629999
"57","2018-10-30",16.530001
"58","2018-10-31",16.370001
"59","2018-11-01",16.5
"60","2018-11-02",16.459999
"61","2018-11-05",16.549999
"62","2018-11-06",16.57
"63","2018-11-07",16.549999
"64","2018-11-08",16.639999
"65","2018-11-09",16.290001
"66","2018-11-12",16.280001
"67","2018-11-13",16.299999
"68","2018-11-14",16.24
"69","2018-11-15",16.290001
"70","2018-11-16",16.4
"71","2018-11-19",16.620001
"72","2018-11-20",16.209999
"73","2018-11-21",16.469999
"74","2018-11-23",16.5
"75","2018-11-26",16.35
"76","2018-11-27",16.110001
"77","2018-11-28",16.35
"78","2018-11-29",16.4
"79","2018-11-30",16.1
"80","2018-12-03",16.1
"81","2018-12-04",15.63
"82","2018-12-06",15.26
"83","2018-12-07",15.02
"84","2018-12-10",14.3
"85","2018-12-11",14
"86","2018-12-12",14.5
"87","2018-12-13",14.65
"88","2018-12-14",14.66
"89","2018-12-17",14.29
"90","2018-12-18",14.24
"91","2018-12-19",13.66
"92","2018-12-20",13.94
"93","2018-12-21",13.78
"94","2018-12-24",13.53
"95","2018-12-26",14.88
"96","2018-12-27",14.81
"97","2018-12-28",15.09
"98","2018-12-31",15.65
"99","2019-01-02",14.77
"100","2019-01-03",14.02
"101","2019-01-04",14.38
"102","2019-01-07",14.78
"103","2019-01-08",14.97
"104","2019-01-09",15.38
"105","2019-01-10",15.12
"106","2019-01-11",15
"107","2019-01-14",15.07
"108","2019-01-15",15.01
"109","2019-01-16",15.41
"110","2019-01-17",15.08
"111","2019-01-18",15
"112","2019-01-22",15.01
"113","2019-01-23",15.06
"114","2019-01-24",15.06
"115","2019-01-25",15.6
"116","2019-01-28",15.68
"117","2019-01-29",15.75
"118","2019-01-30",15.87
"119","2019-01-31",16.450001
"120","2019-02-01",16.629999
"121","2019-02-04",16.57
"122","2019-02-05",16.75
"123","2019-02-06",16.65
"124","2019-02-07",16.709999
"125","2019-02-08",16.700001
"126","2019-02-11",16.74
"127","2019-02-12",16.75
"128","2019-02-13",16.700001
"129","2019-02-14",16.51
"130","2019-02-15",16.73
"131","2019-02-19",16.73
"132","2019-02-20",16.75
"133","2019-02-21",16.85
"134","2019-02-22",16.84
"135","2019-02-25",17.040001
