"","date","BR"
"1","2007-04-02",19.51
"2","2007-04-03",19.07
"3","2007-04-04",18.91
"4","2007-04-05",19.379999
"5","2007-04-09",19.059999
"6","2007-04-10",19.219999
"7","2007-04-11",19.110001
"8","2007-04-12",19.200001
"9","2007-04-13",19.58
"10","2007-04-16",19.860001
"11","2007-04-17",20.42
"12","2007-04-18",20.68
"13","2007-04-19",21.139999
"14","2007-04-20",21.08
"15","2007-04-23",20.700001
"16","2007-04-24",20.610001
"17","2007-04-25",20.26
"18","2007-04-26",20.059999
"19","2007-04-27",20.219999
"20","2007-04-30",20.040001
"21","2007-05-01",20.040001
"22","2007-05-02",20.02
"23","2007-05-03",20.299999
"24","2007-05-04",20.780001
"25","2007-05-07",21.01
"26","2007-05-08",21.27
"27","2007-05-09",21.4
"28","2007-05-10",21.120001
"29","2007-05-11",21.43
"30","2007-05-14",21.309999
"31","2007-05-15",20.84
"32","2007-05-16",20.5
"33","2007-05-17",20.65
"34","2007-05-18",20.459999
"35","2007-05-21",20.5
"36","2007-05-22",20.389999
"37","2007-05-23",20.35
"38","2007-05-24",20.02
"39","2007-05-25",20
"40","2007-05-29",20
"41","2007-05-30",19.969999
"42","2007-05-31",20.24
"43","2007-06-01",19.93
"44","2007-06-04",19.85
"45","2007-06-05",19.93
"46","2007-06-06",19.450001
"47","2007-06-07",18.969999
"48","2007-06-08",19.139999
"49","2007-06-11",19.27
"50","2007-06-12",19.33
"51","2007-06-13",19.35
"52","2007-06-14",19.280001
"53","2007-06-15",19.49
"54","2007-06-18",19.43
"55","2007-06-19",19.09
"56","2007-06-20",19.110001
"57","2007-06-21",19.440001
"58","2007-06-22",19.9
"59","2007-06-25",20.120001
"60","2007-06-26",19.9
"61","2007-06-27",19.799999
"62","2007-06-28",19.41
"63","2007-06-29",19.120001
"64","2007-07-02",19.34
"65","2007-07-03",19.719999
"66","2007-07-05",19.6
"67","2007-07-06",19.76
"68","2007-07-09",20.34
"69","2007-07-10",19.799999
"70","2007-07-11",19.58
"71","2007-07-12",20.02
"72","2007-07-13",19.889999
"73","2007-07-16",20.190001
"74","2007-07-17",20.139999
"75","2007-07-18",20.040001
"76","2007-07-19",20.27
"77","2007-07-20",20.049999
"78","2007-07-23",20.01
"79","2007-07-24",19.309999
"80","2007-07-25",19.139999
"81","2007-07-26",18.610001
"82","2007-07-27",17.969999
"83","2007-07-30",17.870001
"84","2007-07-31",17.59
"85","2007-08-01",17.059999
"86","2007-08-02",17.18
"87","2007-08-03",17.049999
"88","2007-08-06",17.57
"89","2007-08-07",17.549999
"90","2007-08-08",18.18
"91","2007-08-09",17.99
"92","2007-08-10",18.33
"93","2007-08-13",17.790001
"94","2007-08-14",18.110001
"95","2007-08-15",17.610001
"96","2007-08-16",17.450001
"97","2007-08-17",17.5
"98","2007-08-20",17.33
"99","2007-08-21",17.84
"100","2007-08-22",16.92
"101","2007-08-23",16.290001
"102","2007-08-24",17.9
"103","2007-08-27",17.780001
"104","2007-08-28",17.6
"105","2007-08-29",17.870001
"106","2007-08-30",18.129999
"107","2007-08-31",18.17
"108","2007-09-04",18.51
"109","2007-09-05",17.41
"110","2007-09-06",17.129999
"111","2007-09-07",16.709999
"112","2007-09-10",17.459999
"113","2007-09-11",17.23
"114","2007-09-12",17.889999
"115","2007-09-13",18.639999
"116","2007-09-14",18.65
"117","2007-09-17",18.08
"118","2007-09-18",18.84
"119","2007-09-19",18.950001
"120","2007-09-20",19.15
"121","2007-09-21",19.120001
"122","2007-09-24",18.360001
"123","2007-09-25",18.540001
"124","2007-09-26",18.879999
"125","2007-09-27",19
"126","2007-09-28",18.950001
"127","2007-10-01",19
"128","2007-10-02",18.92
"129","2007-10-03",19.32
"130","2007-10-04",19.67
"131","2007-10-05",19.469999
"132","2007-10-08",19.43
"133","2007-10-09",19.559999
"134","2007-10-10",19.57
"135","2007-10-11",19.49
"136","2007-10-12",19.58
"137","2007-10-15",19.790001
