"","date","KRO"
"1","2007-01-03",16.74
"2","2007-01-04",16.825001
"3","2007-01-05",16.549999
"4","2007-01-08",16.73
"5","2007-01-09",17.875
"6","2007-01-10",17.200001
"7","2007-01-11",17.57
"8","2007-01-12",18.24
"9","2007-01-16",18.540001
"10","2007-01-17",18.49
"11","2007-01-18",17.004999
"12","2007-01-19",17.15
"13","2007-01-22",17.299999
"14","2007-01-23",17.225
"15","2007-01-24",17.065001
"16","2007-01-25",16.98
"17","2007-01-26",17.52
"18","2007-01-29",18.495001
"19","2007-01-30",18.299999
"20","2007-01-31",17.785
"21","2007-02-01",17.25
"22","2007-02-02",17.205
"23","2007-02-05",17.315001
"24","2007-02-06",17.35
"25","2007-02-07",17.434999
"26","2007-02-08",17.4
"27","2007-02-09",17.245001
"28","2007-02-12",17.295
"29","2007-02-13",17.415001
"30","2007-02-14",17.084999
"31","2007-02-15",17.15
"32","2007-02-16",17.139999
"33","2007-02-20",17.16
"34","2007-02-21",17.549999
"35","2007-02-22",17.485001
"36","2007-02-23",17.24
"37","2007-02-26",17.41
"38","2007-02-27",17.040001
"39","2007-02-28",17.07
"40","2007-03-01",17.200001
"41","2007-03-02",16.475
"42","2007-03-05",15.995
"43","2007-03-06",16.465
"44","2007-03-07",16.295
"45","2007-03-08",15.905
"46","2007-03-09",15.865
"47","2007-03-12",16.530001
"48","2007-03-13",15.62
"49","2007-03-14",15.335
"50","2007-03-15",15.51
"51","2007-03-16",15.52
"52","2007-03-19",15.605
"53","2007-03-20",15.795
"54","2007-03-21",16.219999
"55","2007-03-22",16.375
"56","2007-03-23",16.57
"57","2007-03-26",16.91
"58","2007-03-27",16.645
"59","2007-03-28",16.674999
"60","2007-03-29",16.530001
"61","2007-03-30",16.205
"62","2007-04-02",15.985
"63","2007-04-03",17.51
"64","2007-04-04",18.34
"65","2007-04-05",18.385
"66","2007-04-09",18.535
"67","2007-04-10",17.875
"68","2007-04-11",16.889999
"69","2007-04-12",16.52
"70","2007-04-13",16.950001
"71","2007-04-16",17.690001
"72","2007-04-17",18
"73","2007-04-18",17.254999
"74","2007-04-19",16.965
"75","2007-04-20",16.795
"76","2007-04-23",16.040001
"77","2007-04-24",16.549999
"78","2007-04-25",16.924999
"79","2007-04-26",16.084999
"80","2007-04-27",15.765
"81","2007-04-30",15.815
"82","2007-05-01",15.86
"83","2007-05-02",16.844999
"84","2007-05-03",16.77
"85","2007-05-04",16.76
"86","2007-05-07",16.254999
"87","2007-05-08",16.309999
"88","2007-05-09",16.450001
"89","2007-05-10",15.89
"90","2007-05-11",15.95
"91","2007-05-14",15.83
"92","2007-05-15",15.46
"93","2007-05-16",15.995
"94","2007-05-17",15.12
"95","2007-05-18",15.09
"96","2007-05-21",15.315
"97","2007-05-22",15.975
"98","2007-05-23",15.305
"99","2007-05-24",15.18
"100","2007-05-25",15.29
