"","date","YTEN"
"1","2007-01-03",44328
"2","2007-01-04",42984
"3","2007-01-05",41688
"4","2007-01-08",42936
"5","2007-01-09",40872
"6","2007-01-10",41016
"7","2007-01-11",41832
"8","2007-01-12",41832
"9","2007-01-16",41520
"10","2007-01-17",39648
"11","2007-01-18",39912
"12","2007-01-19",40176
"13","2007-01-22",38592
"14","2007-01-23",39144
"15","2007-01-24",38184
"16","2007-01-25",37320
"17","2007-01-26",38376
"18","2007-01-29",38112
"19","2007-01-30",37512
"20","2007-01-31",38352
"21","2007-02-01",39936
"22","2007-02-02",41568
"23","2007-02-05",41160
"24","2007-02-06",40800
"25","2007-02-07",40920
"26","2007-02-08",40824
"27","2007-02-09",40632
"28","2007-02-12",40608
"29","2007-02-13",41760
"30","2007-02-14",40872
"31","2007-02-15",41256
"32","2007-02-16",41400
"33","2007-02-20",43152
"34","2007-02-21",43656
"35","2007-02-22",44808
"36","2007-02-23",45864
"37","2007-02-26",46872
"38","2007-02-27",45312
"39","2007-02-28",44688
"40","2007-03-01",44352
"41","2007-03-02",41448
"42","2007-03-05",39384
"43","2007-03-06",42480
"44","2007-03-07",44256
"45","2007-03-08",43752
"46","2007-03-09",42288
"47","2007-03-12",42576
"48","2007-03-13",41784
"49","2007-03-14",40008
"50","2007-03-15",38664
"51","2007-03-16",38712
"52","2007-03-19",39984
"53","2007-03-20",41400
"54","2007-03-21",41520
"55","2007-03-22",40560
"56","2007-03-23",40512
"57","2007-03-26",41208
"58","2007-03-27",40560
"59","2007-03-28",40008
"60","2007-03-29",39864
"61","2007-03-30",39912
"62","2007-04-02",39720
"63","2007-04-03",41280
"64","2007-04-04",40728
"65","2007-04-05",40392
"66","2007-04-09",41208
"67","2007-04-10",41568
"68","2007-04-11",41712
"69","2007-04-12",40800
"70","2007-04-13",41232
"71","2007-04-16",42600
"72","2007-04-17",42480
"73","2007-04-18",41616
"74","2007-04-19",41616
"75","2007-04-20",43176
"76","2007-04-23",49680
"77","2007-04-24",52944
"78","2007-04-25",59808
"79","2007-04-26",57864
"80","2007-04-27",64776
"81","2007-04-30",60048
"82","2007-05-01",57192
"83","2007-05-02",58464
"84","2007-05-03",57504
"85","2007-05-04",64008
"86","2007-05-07",61320
"87","2007-05-08",60960
"88","2007-05-09",62496
"89","2007-05-10",60984
"90","2007-05-11",60192
"91","2007-05-14",60144
"92","2007-05-15",58488
"93","2007-05-16",59640
"94","2007-05-17",57576
"95","2007-05-18",57936
"96","2007-05-21",59280
"97","2007-05-22",60792
"98","2007-05-23",61944
"99","2007-05-24",59928
"100","2007-05-25",57768
"101","2007-05-29",52632
"102","2007-05-30",52128
"103","2007-05-31",55320
"104","2007-06-01",53760
"105","2007-06-04",53208
"106","2007-06-05",53904
"107","2007-06-06",53472
"108","2007-06-07",52464
"109","2007-06-08",51960
"110","2007-06-11",50592
"111","2007-06-12",50064
"112","2007-06-13",52464
"113","2007-06-14",52776
"114","2007-06-15",52896
"115","2007-06-18",50544
"116","2007-06-19",51576
"117","2007-06-20",52320
"118","2007-06-21",54504
"119","2007-06-22",54312
"120","2007-06-25",53712
"121","2007-06-26",55968
"122","2007-06-27",56928
"123","2007-06-28",57672
"124","2007-06-29",60072
"125","2007-07-02",60000
"126","2007-07-03",60144
"127","2007-07-05",60000
"128","2007-07-06",64536
"129","2007-07-09",63000
"130","2007-07-10",60912
"131","2007-07-11",60984
"132","2007-07-12",61032
"133","2007-07-13",61848
"134","2007-07-16",58656
"135","2007-07-17",58464
"136","2007-07-18",58104
"137","2007-07-19",59760
"138","2007-07-20",58296
"139","2007-07-23",58488
"140","2007-07-24",53544
"141","2007-07-25",51648
"142","2007-07-26",51888
"143","2007-07-27",51480
