"","date","VRNA"
"1","2017-04-28",13.5
"2","2017-05-01",13.52
"3","2017-05-02",13.5
"4","2017-05-03",13.51
"5","2017-05-04",13.52
"6","2017-05-05",13.5
"7","2017-05-08",13.5
"8","2017-05-09",13.52
"9","2017-05-10",13.52
"10","2017-05-11",13.52
"11","2017-05-12",13.5
"12","2017-05-15",13.51
"13","2017-05-16",13.508
"14","2017-05-17",13.445
"15","2017-05-18",13.52
"16","2017-05-19",13.52
"17","2017-05-22",15.6
"18","2017-05-23",16.26
"19","2017-05-24",15.75
"20","2017-05-25",15.63
"21","2017-05-26",14.895
"22","2017-05-30",14.15
"23","2017-05-31",13.95
"24","2017-06-01",13.8
"25","2017-06-02",13.69
"26","2017-06-05",13.4
"27","2017-06-06",13.2
"28","2017-06-07",13.23
"29","2017-06-08",12.85
"30","2017-06-09",12.69
"31","2017-06-12",12.445
"32","2017-06-13",12.34
"33","2017-06-14",12.69
"34","2017-06-15",12.35
"35","2017-06-16",12.64
"36","2017-06-19",12.01
"37","2017-06-20",11.94
"38","2017-06-21",11.73
"39","2017-06-22",11.52
"40","2017-06-23",12.04
"41","2017-06-26",12.09
"42","2017-06-27",12.07
"43","2017-06-28",11.4
"44","2017-06-29",11.6
"45","2017-06-30",11.655
"46","2017-07-03",11.655
"47","2017-07-05",11.88
"48","2017-07-06",12.09
"49","2017-07-07",11.95
"50","2017-07-10",11.8
"51","2017-07-11",11.54
"52","2017-07-12",11.79
"53","2017-07-13",12
"54","2017-07-14",11.71
"55","2017-07-17",11.983
"56","2017-07-18",12
"57","2017-07-19",12
"58","2017-07-20",12
"59","2017-07-21",12.08
"60","2017-07-24",12.17
"61","2017-07-25",12.15
"62","2017-07-26",12.047
"63","2017-07-27",11.95
"64","2017-07-28",12.49
"65","2017-07-31",11.82
"66","2017-08-01",12.28
"67","2017-08-02",12.31
"68","2017-08-03",11.95
"69","2017-08-04",11.8
"70","2017-08-07",11.97
"71","2017-08-08",12.11
"72","2017-08-09",12.11
"73","2017-08-10",12.24
"74","2017-08-11",12.24
"75","2017-08-14",12.24
"76","2017-08-15",12.2
"77","2017-08-16",12.27
"78","2017-08-17",12.22
"79","2017-08-18",12.403
"80","2017-08-21",12.65
"81","2017-08-22",12.548
"82","2017-08-23",12.548
"83","2017-08-24",12.51
"84","2017-08-25",12.119
"85","2017-08-28",12.65
"86","2017-08-29",12.7
"87","2017-08-30",12.4
"88","2017-08-31",12.11
"89","2017-09-01",12.228
"90","2017-09-05",12.1
"91","2017-09-06",11.957
"92","2017-09-07",16.66
"93","2017-09-08",16.889999
"94","2017-09-11",16.950001
"95","2017-09-12",16.4
"96","2017-09-13",16
"97","2017-09-14",15.967
"98","2017-09-15",15.858
"99","2017-09-18",15.184
"100","2017-09-19",15.2
"101","2017-09-20",14.94
"102","2017-09-21",15.03
"103","2017-09-22",15.375
"104","2017-09-25",15.42
"105","2017-09-26",15.04
"106","2017-09-27",15.24
"107","2017-09-28",15.3
"108","2017-09-29",15.35
"109","2017-10-02",15.7
"110","2017-10-03",15.5
"111","2017-10-04",15.5
"112","2017-10-05",15.75
"113","2017-10-06",15.281
"114","2017-10-09",15.3
"115","2017-10-10",15.01
"116","2017-10-11",15.16
"117","2017-10-12",15.544
"118","2017-10-13",15.71
"119","2017-10-16",14.66
"120","2017-10-17",15.025
"121","2017-10-18",15.08
"122","2017-10-19",14.91
"123","2017-10-20",14.5
"124","2017-10-23",14.49
"125","2017-10-24",14.325
"126","2017-10-25",13.5
"127","2017-10-26",13.87
"128","2017-10-27",13.475
"129","2017-10-30",13.75
"130","2017-10-31",13.35
"131","2017-11-01",13.75
"132","2017-11-02",13.55
"133","2017-11-03",13.55
"134","2017-11-06",13.99
"135","2017-11-07",13.404
"136","2017-11-08",13.404
"137","2017-11-09",12.926
"138","2017-11-10",12.48
"139","2017-11-13",12.44
"140","2017-11-14",12.438
"141","2017-11-15",11.9
"142","2017-11-16",11.501
"143","2017-11-17",11.6
"144","2017-11-20",11.49
"145","2017-11-21",10.8
"146","2017-11-22",11.17
"147","2017-11-24",11.19
"148","2017-11-27",11.4
"149","2017-11-28",11.4
"150","2017-11-29",11.5
"151","2017-11-30",11.2
"152","2017-12-01",11.61
"153","2017-12-04",11.31
"154","2017-12-05",11.8
"155","2017-12-06",11.58
"156","2017-12-07",11.38
"157","2017-12-08",11.38
"158","2017-12-11",11.6
"159","2017-12-12",11.505
"160","2017-12-13",11.75
"161","2017-12-14",11.92
"162","2017-12-15",11.88
"163","2017-12-18",11.945
"164","2017-12-19",11.7
"165","2017-12-20",11.59
"166","2017-12-21",11.55
"167","2017-12-22",12.1
"168","2017-12-26",11.706
"169","2017-12-27",11.3
"170","2017-12-28",11.915
"171","2017-12-29",11.871
"172","2018-01-02",12.34
"173","2018-01-03",12.353
"174","2018-01-04",12.21
"175","2018-01-05",12.5
"176","2018-01-08",12.5
"177","2018-01-09",12.82
"178","2018-01-10",12.316
"179","2018-01-11",12.52
"180","2018-01-12",12.52
"181","2018-01-16",12.402
"182","2018-01-17",12.83
