"","date","FTAC"
"1","2019-01-25",9.65
"2","2019-01-28",9.67
"3","2019-01-29",9.66
"4","2019-01-30",9.67
"5","2019-01-31",9.67
"6","2019-02-01",9.67
"7","2019-02-04",9.67
"8","2019-02-05",9.65
"9","2019-02-06",9.65
"10","2019-02-07",9.68
"11","2019-02-08",9.69
"12","2019-02-11",9.67
"13","2019-02-12",9.67
"14","2019-02-13",9.66
"15","2019-02-14",9.69
"16","2019-02-15",9.7
"17","2019-02-19",9.69
"18","2019-02-20",9.71
"19","2019-02-21",9.7
"20","2019-02-22",9.88
"21","2019-02-25",9.7
"22","2019-02-26",9.7
"23","2019-02-27",9.69
"24","2019-02-28",9.7
"25","2019-03-01",9.7
"26","2019-03-04",9.69
"27","2019-03-05",9.69
"28","2019-03-06",9.69
"29","2019-03-07",9.67
"30","2019-03-08",9.7
"31","2019-03-11",9.7
"32","2019-03-12",9.7
"33","2019-03-13",9.79
"34","2019-03-14",9.68
"35","2019-03-15",9.71
"36","2019-03-18",9.758
"37","2019-03-19",9.7
"38","2019-03-20",9.74
"39","2019-03-21",9.74
"40","2019-03-22",9.74
"41","2019-03-25",10.2
"42","2019-03-26",9.74
"43","2019-03-27",9.74
"44","2019-03-28",9.74
"45","2019-03-29",9.75
"46","2019-04-01",9.77
"47","2019-04-02",9.79
"48","2019-04-03",9.83
"49","2019-04-04",9.81
"50","2019-04-05",9.82
"51","2019-04-08",9.82
"52","2019-04-09",9.82
"53","2019-04-10",9.82
"54","2019-04-11",9.76
"55","2019-04-12",9.76
"56","2019-04-15",9.81
"57","2019-04-16",9.8
"58","2019-04-17",9.8
"59","2019-04-18",9.8
"60","2019-04-22",9.8
"61","2019-04-23",9.83
"62","2019-04-24",9.84
"63","2019-04-25",9.83
"64","2019-04-26",9.83
"65","2019-04-29",9.83
"66","2019-04-30",9.838
"67","2019-05-01",9.8
"68","2019-05-02",9.84
"69","2019-05-03",9.8
"70","2019-05-06",9.8
"71","2019-05-07",9.8
"72","2019-05-08",9.8
"73","2019-05-09",9.84
"74","2019-05-10",9.78
"75","2019-05-13",9.79
"76","2019-05-14",9.75
"77","2019-05-15",9.75
"78","2019-05-16",9.75
"79","2019-05-17",9.78
"80","2019-05-20",9.78
"81","2019-05-21",9.78
"82","2019-05-22",9.78
"83","2019-05-23",9.78
"84","2019-05-24",9.82
"85","2019-05-28",9.82
"86","2019-05-29",9.84
"87","2019-05-30",9.84
"88","2019-05-31",9.84
"89","2019-06-03",9.83
"90","2019-06-04",9.83
"91","2019-06-05",9.855
"92","2019-06-06",9.875
"93","2019-06-07",9.88
"94","2019-06-10",9.88
"95","2019-06-11",9.88
"96","2019-06-12",9.916
