"","date","LIZI"
"1","2020-01-17",11.63
"2","2020-01-21",10.88
"3","2020-01-22",10.94
"4","2020-01-23",11.05
"5","2020-01-24",11.1
"6","2020-01-27",11
"7","2020-01-28",11.12
"8","2020-01-29",11
"9","2020-01-30",11
"10","2020-01-31",11.08
"11","2020-02-03",11
"12","2020-02-04",11.01
"13","2020-02-05",11
"14","2020-02-06",10.52
"15","2020-02-07",11.1
"16","2020-02-10",11
"17","2020-02-11",11
"18","2020-02-12",10.91
"19","2020-02-13",10.6
"20","2020-02-14",10.23
"21","2020-02-18",10.11
"22","2020-02-19",9.8
"23","2020-02-20",9.88
"24","2020-02-21",9.56
"25","2020-02-24",9.12
"26","2020-02-25",9.45
"27","2020-02-26",9.22
"28","2020-02-27",9.5
"29","2020-02-28",9.29
"30","2020-03-02",9.19
"31","2020-03-03",9.31
"32","2020-03-04",9.3
"33","2020-03-05",9.1
"34","2020-03-06",9.3
"35","2020-03-09",8.24
"36","2020-03-10",8.35
"37","2020-03-11",8.8
"38","2020-03-12",6.15
"39","2020-03-13",6.2
"40","2020-03-16",6.13
"41","2020-03-17",6.31
"42","2020-03-18",6.2
"43","2020-03-19",6.25
"44","2020-03-20",6.48
"45","2020-03-23",6.9
"46","2020-03-24",7.3
"47","2020-03-25",7.65
"48","2020-03-26",8.29
"49","2020-03-27",7.84
"50","2020-03-30",7
"51","2020-03-31",7
"52","2020-04-01",7.09
"53","2020-04-02",7.19
"54","2020-04-03",6.89
"55","2020-04-06",6.66
"56","2020-04-07",6.17
"57","2020-04-08",6.22
"58","2020-04-09",5.96
"59","2020-04-13",5.87
"60","2020-04-14",5.7
"61","2020-04-15",4.66
"62","2020-04-16",4.3
"63","2020-04-17",4.8
"64","2020-04-20",5.23
"65","2020-04-21",4.91
"66","2020-04-22",5.2
"67","2020-04-23",5.07
"68","2020-04-24",5.08
"69","2020-04-27",5.23
"70","2020-04-28",5.22
"71","2020-04-29",5.38
"72","2020-04-30",5.36
"73","2020-05-01",5.02
"74","2020-05-04",5.24
"75","2020-05-05",5.01
"76","2020-05-06",4.7
"77","2020-05-07",4.65
"78","2020-05-08",4.8
"79","2020-05-11",4.85
"80","2020-05-12",4.6
"81","2020-05-13",4.52
"82","2020-05-14",4.46
"83","2020-05-15",4.54
"84","2020-05-18",4.7
"85","2020-05-19",4.75
"86","2020-05-20",4.864
"87","2020-05-21",4.75
"88","2020-05-22",4.35
"89","2020-05-26",4.4
"90","2020-05-27",4.25
"91","2020-05-28",4.16
"92","2020-05-29",4.1
"93","2020-06-01",4.05
"94","2020-06-02",4.275
"95","2020-06-03",4.44
"96","2020-06-04",4.555
"97","2020-06-05",4.61
"98","2020-06-08",4.76
"99","2020-06-09",5.86
"100","2020-06-10",5.9
"101","2020-06-11",5.13
"102","2020-06-12",5.4
"103","2020-06-15",5.26
"104","2020-06-16",5.08
"105","2020-06-17",5.28
"106","2020-06-18",6.01
"107","2020-06-19",5.98
"108","2020-06-22",5.74
"109","2020-06-23",5.48
"110","2020-06-24",5.56
"111","2020-06-25",5.56
"112","2020-06-26",5.28
"113","2020-06-29",5.355
"114","2020-06-30",5.36
"115","2020-07-01",5.36
"116","2020-07-02",5.28
"117","2020-07-06",5.62
"118","2020-07-07",5.62
"119","2020-07-08",5.8
"120","2020-07-09",5.87
"121","2020-07-10",5.93
"122","2020-07-13",8.2
"123","2020-07-14",6.91
"124","2020-07-15",7
"125","2020-07-16",7.07
"126","2020-07-17",6.92
"127","2020-07-20",7.07
"128","2020-07-21",6.81
"129","2020-07-22",6.44
"130","2020-07-23",6.15
"131","2020-07-24",5.9
"132","2020-07-27",5.59
"133","2020-07-28",5.44
"134","2020-07-29",5.48
"135","2020-07-30",5.33
"136","2020-07-31",5.45
"137","2020-08-03",5.285
"138","2020-08-04",5.4
"139","2020-08-05",5.35
"140","2020-08-06",5.3
"141","2020-08-07",5.2
"142","2020-08-10",5.09
"143","2020-08-11",5.1
"144","2020-08-12",5.14
"145","2020-08-13",5
"146","2020-08-14",4.5
"147","2020-08-17",5.11
"148","2020-08-18",4.75
"149","2020-08-19",4.8
"150","2020-08-20",4.52
"151","2020-08-21",4.5
"152","2020-08-24",4.31
"153","2020-08-25",4.343
"154","2020-08-26",4.31
"155","2020-08-27",4.2
"156","2020-08-28",4.15
