"","date","AKCA"
"1","2017-07-14",9.48
"2","2017-07-17",10.48
"3","2017-07-18",10.1
"4","2017-07-19",11.11
"5","2017-07-20",12.405
"6","2017-07-21",13.53
"7","2017-07-24",14.9
"8","2017-07-25",13.77
"9","2017-07-26",14.48
"10","2017-07-27",14.88
"11","2017-07-28",13.36
"12","2017-07-31",14.39
"13","2017-08-01",14.96
"14","2017-08-02",15.43
"15","2017-08-03",13.95
"16","2017-08-04",14.99
"17","2017-08-07",14.9
"18","2017-08-08",14.7
"19","2017-08-09",14.65
"20","2017-08-10",14.65
"21","2017-08-11",14.21
"22","2017-08-14",14.04
"23","2017-08-15",14.13
"24","2017-08-16",14.35
"25","2017-08-17",14.31
"26","2017-08-18",14.1
"27","2017-08-21",15.08
"28","2017-08-22",17.33
"29","2017-08-23",17.440001
"30","2017-08-24",18.870001
"31","2017-08-25",18.379999
"32","2017-08-28",19.59
"33","2017-08-29",20.52
"34","2017-08-30",20.75
"35","2017-08-31",18.65
"36","2017-09-01",19.34
"37","2017-09-05",22.74
"38","2017-09-06",24.360001
"39","2017-09-07",21.389999
"40","2017-09-08",21.77
"41","2017-09-11",22.530001
"42","2017-09-12",22.83
"43","2017-09-13",23.67
"44","2017-09-14",23.73
"45","2017-09-15",23.870001
"46","2017-09-18",24
"47","2017-09-19",24.68
"48","2017-09-20",25.209999
"49","2017-09-21",26.41
"50","2017-09-22",26.620001
"51","2017-09-25",28.049999
"52","2017-09-26",28.24
"53","2017-09-27",29.83
"54","2017-09-28",28.33
"55","2017-09-29",27.67
"56","2017-10-02",28.08
"57","2017-10-03",28.030001
"58","2017-10-04",29.18
"59","2017-10-05",28.719999
"60","2017-10-06",27.959999
"61","2017-10-09",25.709999
"62","2017-10-10",24.049999
"63","2017-10-11",22.780001
"64","2017-10-12",23
"65","2017-10-13",23.040001
"66","2017-10-16",22.389999
"67","2017-10-17",20.629999
"68","2017-10-18",19
"69","2017-10-19",19.209999
"70","2017-10-20",18.440001
"71","2017-10-23",19.27
"72","2017-10-24",19.379999
"73","2017-10-25",17.440001
"74","2017-10-26",17.18
"75","2017-10-27",17.049999
"76","2017-10-30",17.879999
"77","2017-10-31",18.32
"78","2017-11-01",17.34
"79","2017-11-02",17.08
"80","2017-11-03",17.75
"81","2017-11-06",16.610001
"82","2017-11-07",16.280001
"83","2017-11-08",17.469999
"84","2017-11-09",18.18
"85","2017-11-10",19.219999
"86","2017-11-13",17.58
"87","2017-11-14",17.41
"88","2017-11-15",17.290001
"89","2017-11-16",17.799999
"90","2017-11-17",17.879999
"91","2017-11-20",18.129999
"92","2017-11-21",18.389999
"93","2017-11-22",18.43
"94","2017-11-24",18.690001
"95","2017-11-27",19
"96","2017-11-28",18.559999
"97","2017-11-29",18.940001
"98","2017-11-30",19.09
"99","2017-12-01",18.809999
"100","2017-12-04",17.620001
"101","2017-12-05",17.65
"102","2017-12-06",17.42
"103","2017-12-07",17.799999
"104","2017-12-08",18.5
"105","2017-12-11",18.610001
"106","2017-12-12",18.469999
"107","2017-12-13",19.200001
"108","2017-12-14",19.15
"109","2017-12-15",19.43
"110","2017-12-18",19.540001
"111","2017-12-19",18.66
"112","2017-12-20",18.6
"113","2017-12-21",19.17
"114","2017-12-22",19.33
"115","2017-12-26",18.83
"116","2017-12-27",18.780001
"117","2017-12-28",18.450001
"118","2017-12-29",17.360001
"119","2018-01-02",17.379999
"120","2018-01-03",16.99
"121","2018-01-04",16.700001
"122","2018-01-05",17.549999
"123","2018-01-08",16.299999
"124","2018-01-09",15.57
"125","2018-01-10",16.32
"126","2018-01-11",17.209999
"127","2018-01-12",17
"128","2018-01-16",16.35
"129","2018-01-17",17.299999
"130","2018-01-18",17.809999
"131","2018-01-19",17.9
"132","2018-01-22",18.530001
"133","2018-01-23",18.290001
"134","2018-01-24",19.389999
"135","2018-01-25",18.59
"136","2018-01-26",19.42
"137","2018-01-29",22.82
"138","2018-01-30",23.58
"139","2018-01-31",21.65
"140","2018-02-01",21.85
"141","2018-02-02",22.700001
"142","2018-02-05",21.110001
"143","2018-02-06",22.559999
"144","2018-02-07",22.879999
"145","2018-02-08",21.549999
"146","2018-02-09",21.49
