"","date","DZSI"
"1","2007-01-03",33.25
"2","2007-01-04",34
"3","2007-01-05",33
"4","2007-01-08",34
"5","2007-01-09",33
"6","2007-01-10",32.75
"7","2007-01-11",33.5
"8","2007-01-12",33
"9","2007-01-16",33.75
"10","2007-01-17",32.5
"11","2007-01-18",31.75
"12","2007-01-19",33.25
"13","2007-01-22",32.5
"14","2007-01-23",33
"15","2007-01-24",33.25
"16","2007-01-25",32.75
"17","2007-01-26",30.75
"18","2007-01-29",30.5
"19","2007-01-30",29.75
"20","2007-01-31",29.5
"21","2007-02-01",29.25
"22","2007-02-02",30.5
"23","2007-02-05",31
"24","2007-02-06",30.75
"25","2007-02-07",31.25
"26","2007-02-08",30.75
"27","2007-02-09",30.5
"28","2007-02-12",29.25
"29","2007-02-13",29.25
"30","2007-02-14",29.5
"31","2007-02-15",29.5
"32","2007-02-16",29.5
"33","2007-02-20",30.75
"34","2007-02-21",30
"35","2007-02-22",30.25
"36","2007-02-23",29.5
"37","2007-02-26",29.5
"38","2007-02-27",28.25
"39","2007-02-28",29
"40","2007-03-01",29.25
"41","2007-03-02",29.25
"42","2007-03-05",29
"43","2007-03-06",30.25
"44","2007-03-07",30.75
"45","2007-03-08",33.75
"46","2007-03-09",33.5
"47","2007-03-12",32.5
"48","2007-03-13",32.75
"49","2007-03-14",33
"50","2007-03-15",33.25
"51","2007-03-16",32.25
"52","2007-03-19",32.5
"53","2007-03-20",33
"54","2007-03-21",33
"55","2007-03-22",31.25
"56","2007-03-23",31.5
"57","2007-03-26",32.25
"58","2007-03-27",32.25
"59","2007-03-28",32.5
"60","2007-03-29",31.25
"61","2007-03-30",31
"62","2007-04-02",30.25
"63","2007-04-03",30.75
"64","2007-04-04",31
"65","2007-04-05",30
"66","2007-04-09",31.5
"67","2007-04-10",30.75
"68","2007-04-11",30.75
"69","2007-04-12",29.5
"70","2007-04-13",32.5
"71","2007-04-16",36.5
"72","2007-04-17",35.75
"73","2007-04-18",36
"74","2007-04-19",37
"75","2007-04-20",34.75
"76","2007-04-23",35.5
"77","2007-04-24",36.5
"78","2007-04-25",37
"79","2007-04-26",35.75
"80","2007-04-27",34.25
"81","2007-04-30",35.5
"82","2007-05-01",36
"83","2007-05-02",36
"84","2007-05-03",36
"85","2007-05-04",37.5
"86","2007-05-07",36.5
"87","2007-05-08",36
"88","2007-05-09",36.5
"89","2007-05-10",34.5
"90","2007-05-11",35
"91","2007-05-14",34.5
"92","2007-05-15",32.25
"93","2007-05-16",32.25
"94","2007-05-17",31
"95","2007-05-18",32.25
"96","2007-05-21",31.75
"97","2007-05-22",33
"98","2007-05-23",33
"99","2007-05-24",32.75
"100","2007-05-25",33.25
"101","2007-05-29",34
"102","2007-05-30",36.5
"103","2007-05-31",36
"104","2007-06-01",36.75
"105","2007-06-04",37.25
"106","2007-06-05",36.75
"107","2007-06-06",38.25
"108","2007-06-07",36.5
"109","2007-06-08",35.75
"110","2007-06-11",35
"111","2007-06-12",35.5
"112","2007-06-13",35.75
"113","2007-06-14",36
"114","2007-06-15",37.25
"115","2007-06-18",39
"116","2007-06-19",37
"117","2007-06-20",37
"118","2007-06-21",36.5
"119","2007-06-22",35.75
"120","2007-06-25",35.25
"121","2007-06-26",35.5
"122","2007-06-27",35.25
"123","2007-06-28",35.25
"124","2007-06-29",36
"125","2007-07-02",35.5
"126","2007-07-03",35.5
"127","2007-07-05",35.25
"128","2007-07-06",34.75
"129","2007-07-09",34
"130","2007-07-10",34
"131","2007-07-11",33.25
"132","2007-07-12",35.25
"133","2007-07-13",34
"134","2007-07-16",33.75
"135","2007-07-17",32.75
"136","2007-07-18",32
"137","2007-07-19",32.5
"138","2007-07-20",32.5
"139","2007-07-23",32.25
"140","2007-07-24",31.5
"141","2007-07-25",28.25
"142","2007-07-26",28.75
"143","2007-07-27",29
"144","2007-07-30",28.75
"145","2007-07-31",30
"146","2007-08-01",29.5
"147","2007-08-02",29
"148","2007-08-03",27.75
"149","2007-08-06",26.75
"150","2007-08-07",28.5
"151","2007-08-08",29
"152","2007-08-09",30.25
"153","2007-08-10",28.5
"154","2007-08-13",27.75
"155","2007-08-14",29
"156","2007-08-15",29.25
"157","2007-08-16",29.5
"158","2007-08-17",30.25
"159","2007-08-20",30
"160","2007-08-21",30.25
"161","2007-08-22",30
"162","2007-08-23",29.5
"163","2007-08-24",30
"164","2007-08-27",29.75
"165","2007-08-28",30
"166","2007-08-29",30
"167","2007-08-30",30.75
"168","2007-08-31",30.75
"169","2007-09-04",31.5
"170","2007-09-05",31.25
"171","2007-09-06",31
"172","2007-09-07",30
"173","2007-09-10",30.25
"174","2007-09-11",30
"175","2007-09-12",30.25
"176","2007-09-13",30
"177","2007-09-14",30.75
"178","2007-09-17",30
"179","2007-09-18",30.5
"180","2007-09-19",31.5
"181","2007-09-20",31.5
"182","2007-09-21",31.25
"183","2007-09-24",30.5
"184","2007-09-25",30.75
"185","2007-09-26",30.25
"186","2007-09-27",31
"187","2007-09-28",29.75
"188","2007-10-01",30.75
"189","2007-10-02",30.5
"190","2007-10-03",30.75
"191","2007-10-04",32.25
"192","2007-10-05",33
"193","2007-10-08",33
"194","2007-10-09",35.5
"195","2007-10-10",35.5
"196","2007-10-11",35
"197","2007-10-12",34.75
"198","2007-10-15",36.75
"199","2007-10-16",38.75
"200","2007-10-17",37.5
"201","2007-10-18",37.25
"202","2007-10-19",34.25
"203","2007-10-22",36.75
"204","2007-10-23",36.75
"205","2007-10-24",37
"206","2007-10-25",35.75
"207","2007-10-26",36.5
"208","2007-10-29",37
"209","2007-10-30",35.25
"210","2007-10-31",34.75
"211","2007-11-01",34.75
"212","2007-11-02",33.5
"213","2007-11-05",31.75
"214","2007-11-06",32.5
"215","2007-11-07",31.25
"216","2007-11-08",30.75
"217","2007-11-09",31
"218","2007-11-12",31.25
"219","2007-11-13",31.25
"220","2007-11-14",31.5
"221","2007-11-15",31
"222","2007-11-16",31.5
"223","2007-11-19",31
"224","2007-11-20",32.25
"225","2007-11-21",31.5
"226","2007-11-23",31.5
"227","2007-11-26",31
"228","2007-11-27",31.5
"229","2007-11-28",32
"230","2007-11-29",32
"231","2007-11-30",31.25
"232","2007-12-03",32
"233","2007-12-04",32
"234","2007-12-05",32.25
"235","2007-12-06",34.25
"236","2007-12-07",34.75
"237","2007-12-10",36.25
"238","2007-12-11",34.75
"239","2007-12-12",34
"240","2007-12-13",33.5
"241","2007-12-14",32.75
"242","2007-12-17",30
"243","2007-12-18",29.5
"244","2007-12-19",29.75
"245","2007-12-20",30.25
"246","2007-12-21",30.75
"247","2007-12-24",29.5
"248","2007-12-26",30
"249","2007-12-27",29.5
"250","2007-12-28",29.75
"251","2007-12-31",29.25
"252","2008-01-02",28.5
"253","2008-01-03",29.75
"254","2008-01-04",29
"255","2008-01-07",28
"256","2008-01-08",27.75
"257","2008-01-09",26.25
"258","2008-01-10",26
"259","2008-01-11",25.75
"260","2008-01-14",25
"261","2008-01-15",24.75
"262","2008-01-16",25
"263","2008-01-17",25.5
"264","2008-01-18",25.25
"265","2008-01-22",24
"266","2008-01-23",24.5
"267","2008-01-24",25
"268","2008-01-25",23.5
"269","2008-01-28",24
"270","2008-01-29",26.5
"271","2008-01-30",26
"272","2008-01-31",26
"273","2008-02-01",27
"274","2008-02-04",26.75
"275","2008-02-05",27
"276","2008-02-06",26.75
"277","2008-02-07",28
"278","2008-02-08",27.5
"279","2008-02-11",25.25
"280","2008-02-12",27.25
"281","2008-02-13",29
"282","2008-02-14",29.25
"283","2008-02-15",24.25
"284","2008-02-19",26.25
"285","2008-02-20",27
"286","2008-02-21",26.25
"287","2008-02-22",27.5
"288","2008-02-25",28
"289","2008-02-26",28.5
"290","2008-02-27",27.25
"291","2008-02-28",28
"292","2008-02-29",27
"293","2008-03-03",27.5
"294","2008-03-04",25.75
"295","2008-03-05",27.25
"296","2008-03-06",27.25
"297","2008-03-07",27.5
"298","2008-03-10",26.75
"299","2008-03-11",27.25
"300","2008-03-12",27.25
"301","2008-03-13",27.25
"302","2008-03-14",26.5
"303","2008-03-17",26
"304","2008-03-18",26.5
"305","2008-03-19",26
"306","2008-03-20",26.25
"307","2008-03-24",26.25
"308","2008-03-25",26.5
"309","2008-03-26",25.25
"310","2008-03-27",26.25
"311","2008-03-28",26
"312","2008-03-31",24.5
"313","2008-04-01",25.5
"314","2008-04-02",26.25
"315","2008-04-03",25.25
"316","2008-04-04",26
"317","2008-04-07",25.25
"318","2008-04-08",25.5
"319","2008-04-09",25
"320","2008-04-10",25.75
"321","2008-04-11",25.25
"322","2008-04-14",25
"323","2008-04-15",24.5
"324","2008-04-16",26
"325","2008-04-17",25.25
"326","2008-04-18",25.5
"327","2008-04-21",25.25
"328","2008-04-22",25.5
"329","2008-04-23",25.5
"330","2008-04-24",25.25
"331","2008-04-25",25.25
"332","2008-04-28",25.5
"333","2008-04-29",25
"334","2008-04-30",24.5
"335","2008-05-01",24.25
"336","2008-05-02",24.75
"337","2008-05-05",24.75
"338","2008-05-06",24.75
"339","2008-05-07",25
"340","2008-05-08",24.75
"341","2008-05-09",24
"342","2008-05-12",24.75
"343","2008-05-13",24.5
"344","2008-05-14",24.75
"345","2008-05-15",23.75
"346","2008-05-16",23
"347","2008-05-19",23.75
"348","2008-05-20",24
"349","2008-05-21",24.5
"350","2008-05-22",23.25
"351","2008-05-23",23.75
"352","2008-05-27",23.75
"353","2008-05-28",23.75
"354","2008-05-29",23.5
"355","2008-05-30",24.25
"356","2008-06-02",23.75
"357","2008-06-03",24
"358","2008-06-04",23.25
"359","2008-06-05",23.5
"360","2008-06-06",23.75
"361","2008-06-09",23
"362","2008-06-10",22.75
"363","2008-06-11",22.25
"364","2008-06-12",22.5
"365","2008-06-13",21.5
"366","2008-06-16",22
"367","2008-06-17",22
"368","2008-06-18",21.75
"369","2008-06-19",18.25
"370","2008-06-20",19.75
"371","2008-06-23",21
"372","2008-06-24",19.75
"373","2008-06-25",19.25
"374","2008-06-26",18.75
"375","2008-06-27",17.5
"376","2008-06-30",19.5
"377","2008-07-01",18.5
"378","2008-07-02",13.5
"379","2008-07-03",13
"380","2008-07-07",10.75
"381","2008-07-08",10.75
"382","2008-07-09",10.25
"383","2008-07-10",8.25
"384","2008-07-11",8.25
"385","2008-07-14",9
"386","2008-07-15",8.5
"387","2008-07-16",9.25
"388","2008-07-17",9.25
"389","2008-07-18",10.75
"390","2008-07-21",10.5
"391","2008-07-22",10.75
"392","2008-07-23",9.75
"393","2008-07-24",9.5
"394","2008-07-25",10
"395","2008-07-28",9.75
"396","2008-07-29",9.5
"397","2008-07-30",9.25
"398","2008-07-31",8.25
"399","2008-08-01",8.5
"400","2008-08-04",8.5
"401","2008-08-05",8.75
"402","2008-08-06",8.25
"403","2008-08-07",8.5
"404","2008-08-08",8.25
"405","2008-08-11",8.75
"406","2008-08-12",8.75
"407","2008-08-13",9
"408","2008-08-14",9.25
"409","2008-08-15",9.5
"410","2008-08-18",9.25
"411","2008-08-19",8.75
"412","2008-08-20",9.5
"413","2008-08-21",9.25
"414","2008-08-22",8.75
"415","2008-08-25",8.75
"416","2008-08-26",8.75
"417","2008-08-27",8.75
"418","2008-08-28",7.5
"419","2008-08-29",7.75
