"","date","OR"
"1","2016-07-06",13.64
"2","2016-07-07",13.296
"3","2016-07-08",13.62
"4","2016-07-11",13.38
"5","2016-07-12",13.04
"6","2016-07-13",13.35
"7","2016-07-14",13.61
"8","2016-07-15",13.25
"9","2016-07-18",13.3
"10","2016-07-19",13.03
"11","2016-07-20",12.6
"12","2016-07-21",12.758
"13","2016-07-22",12.55
"14","2016-07-25",12.03
"15","2016-07-26",12.53
"16","2016-07-27",12.81
"17","2016-07-28",12.98
"18","2016-07-29",13.28
"19","2016-08-01",14.49
"20","2016-08-02",13.9
"21","2016-08-03",13.65
"22","2016-08-04",13.56
"23","2016-08-05",13.21
"24","2016-08-08",13.08
"25","2016-08-09",13.17
"26","2016-08-10",13.2
"27","2016-08-11",13.05
"28","2016-08-12",13.11
"29","2016-08-15",13.11
"30","2016-08-16",12.77
"31","2016-08-17",12.67
"32","2016-08-18",12.96
"33","2016-08-19",12.7
"34","2016-08-22",12.71
"35","2016-08-23",12.6
"36","2016-08-24",12.08
"37","2016-08-25",12.19
"38","2016-08-26",12
"39","2016-08-29",11.98
"40","2016-08-30",11.43
"41","2016-08-31",11.29
"42","2016-09-01",12.11
"43","2016-09-02",12.34
"44","2016-09-06",12.65
"45","2016-09-07",12.38
"46","2016-09-08",12.03
"47","2016-09-09",11.49
"48","2016-09-12",12.01
"49","2016-09-13",11.74
"50","2016-09-14",11.51
"51","2016-09-15",11.72
"52","2016-09-16",10.96
"53","2016-09-19",11.19
"54","2016-09-20",11.22
"55","2016-09-21",11.72
"56","2016-09-22",11.68
"57","2016-09-23",11.33
"58","2016-09-26",11.23
"59","2016-09-27",11.05
"60","2016-09-28",11.07
"61","2016-09-29",11.01
"62","2016-09-30",10.94
"63","2016-10-03",10.45
"64","2016-10-04",9.74
"65","2016-10-05",9.81
"66","2016-10-06",9.91
"67","2016-10-07",10.11
"68","2016-10-10",10.21
"69","2016-10-11",10.01
"70","2016-10-12",10.14
"71","2016-10-13",10.32
"72","2016-10-14",10.01
"73","2016-10-17",10.26
"74","2016-10-18",10.45
"75","2016-10-19",10.58
"76","2016-10-20",10.32
"77","2016-10-21",10.26
"78","2016-10-24",10.09
"79","2016-10-25",10.5
"80","2016-10-26",10.56
"81","2016-10-27",10.46
"82","2016-10-28",10.49
"83","2016-10-31",10.53
"84","2016-11-01",10.78
"85","2016-11-02",10.68
"86","2016-11-03",10.62
"87","2016-11-04",10.42
"88","2016-11-07",10.28
"89","2016-11-08",10.11
"90","2016-11-09",9.87
"91","2016-11-10",9.54
"92","2016-11-11",9.43
"93","2016-11-14",9.65
"94","2016-11-15",10.09
"95","2016-11-16",10
"96","2016-11-17",9.73
"97","2016-11-18",9.84
"98","2016-11-21",9.73
"99","2016-11-22",9.77
"100","2016-11-23",9.53
"101","2016-11-25",9.6
"102","2016-11-28",9.81
"103","2016-11-29",9.85
