"","date","AKU"
"1","2020-09-03",3
"2","2020-09-04",3.02
"3","2020-09-08",2.9
"4","2020-09-09",2.99
"5","2020-09-10",2.9
"6","2020-09-11",3.05
"7","2020-09-14",2.9
"8","2020-09-15",2.85
"9","2020-09-16",3
"10","2020-09-17",2.99
"11","2020-09-18",3.03
"12","2020-09-21",3
"13","2020-09-22",3
"14","2020-09-23",3
"15","2020-09-24",3.05
"16","2020-09-25",3.09
"17","2020-09-28",3.19
"18","2020-09-29",3.24
"19","2020-09-30",3.25
"20","2020-10-01",3.27
"21","2020-10-02",3.25
"22","2020-10-05",3.29
"23","2020-10-06",3.29
"24","2020-10-07",3.3
"25","2020-10-08",3.3
"26","2020-10-09",3.49
"27","2020-10-12",3.49
"28","2020-10-13",3.48
"29","2020-10-14",3.4
"30","2020-10-15",3.5
"31","2020-10-16",3.53
"32","2020-10-19",3.5
"33","2020-10-20",3.62
"34","2020-10-21",3.6
"35","2020-10-22",3.6
"36","2020-10-23",3.74
"37","2020-10-26",3.6
"38","2020-10-27",3.66
"39","2020-10-28",3.61
"40","2020-10-29",3.58
"41","2020-10-30",3.68
"42","2020-11-02",3.74
"43","2020-11-03",3.71
"44","2020-11-04",3.71
"45","2020-11-05",3.58
"46","2020-11-06",3.57
"47","2020-11-09",3.6
"48","2020-11-10",3.55
"49","2020-11-11",3.6
"50","2020-11-12",3.62
"51","2020-11-13",3.51
"52","2020-11-16",3.46
"53","2020-11-17",3.32
"54","2020-11-18",3.21
"55","2020-11-19",3.2
"56","2020-11-20",3.3
"57","2020-11-23",3.25
"58","2020-11-24",3.34
"59","2020-11-25",3.33
"60","2020-11-27",3.29
