"","date","SALM"
"1","2007-01-03",11.93
"2","2007-01-04",11.88
"3","2007-01-05",11.38
"4","2007-01-08",11.49
"5","2007-01-09",11.26
"6","2007-01-10",11.46
"7","2007-01-11",11.73
"8","2007-01-12",11.59
"9","2007-01-16",11.66
"10","2007-01-17",11.44
"11","2007-01-18",11.03
"12","2007-01-19",11.45
"13","2007-01-22",11
"14","2007-01-23",11.5
"15","2007-01-24",11.67
"16","2007-01-25",11.47
"17","2007-01-26",11.39
"18","2007-01-29",12.07
"19","2007-01-30",12.19
"20","2007-01-31",12.27
"21","2007-02-01",12.38
"22","2007-02-02",12.59
"23","2007-02-05",12.5
"24","2007-02-06",12.39
"25","2007-02-07",12.33
"26","2007-02-08",12.05
"27","2007-02-09",12.06
"28","2007-02-12",12.26
"29","2007-02-13",12.44
"30","2007-02-14",12.27
"31","2007-02-15",12.33
"32","2007-02-16",12.32
"33","2007-02-20",13.56
"34","2007-02-21",13.52
"35","2007-02-22",13.43
"36","2007-02-23",13.25
"37","2007-02-26",13.28
"38","2007-02-27",11.69
"39","2007-02-28",11.97
"40","2007-03-01",11.97
"41","2007-03-02",10.84
"42","2007-03-05",11.19
"43","2007-03-06",11.35
"44","2007-03-07",11.15
"45","2007-03-08",11.17
"46","2007-03-09",11.37
"47","2007-03-12",11.8
"48","2007-03-13",11.57
"49","2007-03-14",11.8
"50","2007-03-15",11.89
"51","2007-03-16",11.88
"52","2007-03-19",12.15
"53","2007-03-20",12.94
"54","2007-03-21",13.02
"55","2007-03-22",13.55
"56","2007-03-23",13.21
"57","2007-03-26",13.23
"58","2007-03-27",12.73
"59","2007-03-28",12.28
"60","2007-03-29",12.88
"61","2007-03-30",12.5
"62","2007-04-02",12.62
"63","2007-04-03",12.69
"64","2007-04-04",11.8
"65","2007-04-05",12.82
"66","2007-04-09",13.02
"67","2007-04-10",13.1
"68","2007-04-11",12.6
"69","2007-04-12",12.53
"70","2007-04-13",13.2
"71","2007-04-16",13.7
"72","2007-04-17",13.67
"73","2007-04-18",13.84
"74","2007-04-19",13.18
"75","2007-04-20",13.38
"76","2007-04-23",13.38
"77","2007-04-24",13.28
"78","2007-04-25",13.5
"79","2007-04-26",13.6
"80","2007-04-27",12.58
"81","2007-04-30",11.52
"82","2007-05-01",11.5
