"","date","AZRE"
"1","2016-10-12",14.6
"2","2016-10-13",13.65
"3","2016-10-14",13.75
"4","2016-10-17",14.31
"5","2016-10-18",14.9
"6","2016-10-19",15.6
"7","2016-10-20",15.8
"8","2016-10-21",15.56
"9","2016-10-24",15.72
"10","2016-10-25",15.96
"11","2016-10-26",15.82
"12","2016-10-27",15.72
"13","2016-10-28",15.89
"14","2016-10-31",15.95
"15","2016-11-01",16
"16","2016-11-02",16.18
"17","2016-11-03",16.92
"18","2016-11-04",16.950001
"19","2016-11-07",16.549999
"20","2016-11-08",16.700001
"21","2016-11-09",16.950001
"22","2016-11-10",16.700001
"23","2016-11-11",17.15
"24","2016-11-14",17.059999
"25","2016-11-15",17.049
"26","2016-11-16",18.549999
"27","2016-11-17",17.4
"28","2016-11-18",18.030001
"29","2016-11-21",17.969999
"30","2016-11-22",17.950001
"31","2016-11-23",17.51
"32","2016-11-25",17.98
"33","2016-11-28",17.9
"34","2016-11-29",17.82
"35","2016-11-30",17.5
"36","2016-12-01",17.85
"37","2016-12-02",18.35
"38","2016-12-05",18
"39","2016-12-06",17.85
"40","2016-12-07",17.77
"41","2016-12-08",18.01
"42","2016-12-09",18
"43","2016-12-12",17.9
"44","2016-12-13",17
"45","2016-12-14",16.74
"46","2016-12-15",15.95
"47","2016-12-16",16.25
"48","2016-12-19",16.52
"49","2016-12-20",17.1
"50","2016-12-21",17.25
"51","2016-12-22",17.25
"52","2016-12-23",17.25
"53","2016-12-27",17.173
"54","2016-12-28",16.799999
"55","2016-12-29",17
"56","2016-12-30",17
"57","2017-01-03",17.15
"58","2017-01-04",16.85
"59","2017-01-05",17.02
"60","2017-01-06",16.549999
"61","2017-01-09",16.75
"62","2017-01-10",16.77
"63","2017-01-11",16.469999
"64","2017-01-12",16.1
"65","2017-01-13",16.875
"66","2017-01-17",16.875
"67","2017-01-18",16.57
"68","2017-01-19",16.4
"69","2017-01-20",16.450001
"70","2017-01-23",16.377001
"71","2017-01-24",16.4
"72","2017-01-25",16.41
"73","2017-01-26",16.893
"74","2017-01-27",16.65
"75","2017-01-30",16.85
"76","2017-01-31",16.639999
"77","2017-02-01",17.5
"78","2017-02-02",17.959999
"79","2017-02-03",18.25
"80","2017-02-06",17.549999
"81","2017-02-07",17.9
"82","2017-02-08",17.469999
"83","2017-02-09",17.799999
"84","2017-02-10",17.700001
"85","2017-02-13",17.870001
"86","2017-02-14",17.5
"87","2017-02-15",17.629999
"88","2017-02-16",17.139999
"89","2017-02-17",16.82
"90","2017-02-21",17.200001
"91","2017-02-22",16.950001
"92","2017-02-23",16.799999
"93","2017-02-24",14.33
"94","2017-02-27",16.889999
"95","2017-02-28",17.030001
"96","2017-03-01",17.049999
"97","2017-03-02",17
"98","2017-03-03",16.950001
"99","2017-03-06",17.1
"100","2017-03-07",17.01
"101","2017-03-08",16.5
"102","2017-03-09",16.5
"103","2017-03-10",16.700001
"104","2017-03-13",16.91
"105","2017-03-14",17.24
"106","2017-03-15",17
"107","2017-03-16",16.450001
"108","2017-03-17",17.25
"109","2017-03-20",17.34
"110","2017-03-21",17.200001
"111","2017-03-22",17.059999
"112","2017-03-23",17.15
"113","2017-03-24",17.459999
"114","2017-03-27",17.42
"115","2017-03-28",17.940001
"116","2017-03-29",18.09
"117","2017-03-30",18.309999
"118","2017-03-31",18.66
"119","2017-04-03",21.75
"120","2017-04-04",21.07
"121","2017-04-05",19.98
"122","2017-04-06",19.98
"123","2017-04-07",19.25
"124","2017-04-10",19.200001
"125","2017-04-11",19.200001
"126","2017-04-12",18.32
"127","2017-04-13",18.450001
"128","2017-04-17",18.1
"129","2017-04-18",18.299999
"130","2017-04-19",18.25
"131","2017-04-20",16.84
"132","2017-04-21",16.1
"133","2017-04-24",16.389999
"134","2017-04-25",16.4
"135","2017-04-26",16.370001
"136","2017-04-27",16.48
"137","2017-04-28",16.73
"138","2017-05-01",16.969999
"139","2017-05-02",16.799999
"140","2017-05-03",16.84
"141","2017-05-04",16.885
"142","2017-05-05",16.42
"143","2017-05-08",16.99
"144","2017-05-09",17.299999
"145","2017-05-10",16.92
"146","2017-05-11",16.58
"147","2017-05-12",16.639999
"148","2017-05-15",16.969999
"149","2017-05-16",16.99
"150","2017-05-17",16.98
"151","2017-05-18",16.959999
"152","2017-05-19",17
"153","2017-05-22",15.74
"154","2017-05-23",16.280001
"155","2017-05-24",16
"156","2017-05-25",16.82
