"","date","GLUU"
"1","2007-03-22",12.29
"2","2007-03-23",11.51
"3","2007-03-26",11.69
"4","2007-03-27",11.5
"5","2007-03-28",11.05
"6","2007-03-29",10.31
"7","2007-03-30",10
"8","2007-04-02",10.03
"9","2007-04-03",9.99
"10","2007-04-04",9.78
"11","2007-04-05",10
"12","2007-04-09",9.92
"13","2007-04-10",9.85
"14","2007-04-11",10.14
"15","2007-04-12",10.31
"16","2007-04-13",10.89
"17","2007-04-16",11.34
"18","2007-04-17",11.79
"19","2007-04-18",11.98
"20","2007-04-19",11.95
"21","2007-04-20",11.88
"22","2007-04-23",11.56
"23","2007-04-24",11.45
"24","2007-04-25",11.68
"25","2007-04-26",11.55
"26","2007-04-27",11.4
"27","2007-04-30",11.24
"28","2007-05-01",11.29
"29","2007-05-02",11.49
"30","2007-05-03",12.19
"31","2007-05-04",12.97
"32","2007-05-07",12.92
"33","2007-05-08",13.25
"34","2007-05-09",13.6
"35","2007-05-10",13.02
"36","2007-05-11",12.94
"37","2007-05-14",13.5
"38","2007-05-15",13.79
"39","2007-05-16",13.81
"40","2007-05-17",13.26
"41","2007-05-18",13.57
"42","2007-05-21",13.41
"43","2007-05-22",13.39
"44","2007-05-23",13.05
"45","2007-05-24",12.51
"46","2007-05-25",12.27
"47","2007-05-29",12.65
"48","2007-05-30",12.88
"49","2007-05-31",12.43
"50","2007-06-01",12.53
"51","2007-06-04",12.59
"52","2007-06-05",12.85
"53","2007-06-06",12.71
"54","2007-06-07",12.92
"55","2007-06-08",12.77
"56","2007-06-11",13.13
"57","2007-06-12",13.38
"58","2007-06-13",13.4
"59","2007-06-14",13.36
"60","2007-06-15",13.35
"61","2007-06-18",13.77
"62","2007-06-19",14.67
"63","2007-06-20",14.5
"64","2007-06-21",13.99
"65","2007-06-22",13.52
"66","2007-06-25",13.35
"67","2007-06-26",13.39
"68","2007-06-27",13.69
"69","2007-06-28",13.53
"70","2007-06-29",13.9
"71","2007-07-02",14.1
"72","2007-07-03",13.94
"73","2007-07-05",13.89
"74","2007-07-06",13.66
"75","2007-07-09",13.55
"76","2007-07-10",13.52
"77","2007-07-11",13.55
"78","2007-07-12",13.83
"79","2007-07-13",13.95
"80","2007-07-16",13.73
"81","2007-07-17",13.91
"82","2007-07-18",13.7
"83","2007-07-19",13.28
"84","2007-07-20",12.8
"85","2007-07-23",12.72
"86","2007-07-24",12.33
"87","2007-07-25",12.08
"88","2007-07-26",11.66
"89","2007-07-27",11.94
"90","2007-07-30",11.8
"91","2007-07-31",11.9
"92","2007-08-01",12.01
"93","2007-08-02",10.97
"94","2007-08-03",10.19
"95","2007-08-06",9.99
"96","2007-08-07",9.49
"97","2007-08-08",9.71
"98","2007-08-09",9.55
"99","2007-08-10",9.42
"100","2007-08-13",9.3
"101","2007-08-14",8.95
"102","2007-08-15",8.56
"103","2007-08-16",8.99
"104","2007-08-17",9
"105","2007-08-20",9
"106","2007-08-21",8.46
"107","2007-08-22",8.49
"108","2007-08-23",8.37
"109","2007-08-24",8.45
"110","2007-08-27",8.3
"111","2007-08-28",8.41
"112","2007-08-29",8.5
"113","2007-08-30",8.32
"114","2007-08-31",8.34
"115","2007-09-04",9.06
"116","2007-09-05",9.01
"117","2007-09-06",9.01
"118","2007-09-07",8.68
"119","2007-09-10",8.3
"120","2007-09-11",8.29
"121","2007-09-12",8.08
"122","2007-09-13",8.12
"123","2007-09-14",8.03
"124","2007-09-17",7.92
"125","2007-09-18",7.61
"126","2007-09-19",8.3
"127","2007-09-20",8.87
"128","2007-09-21",9.37
"129","2007-09-24",9.31
"130","2007-09-25",9.1
"131","2007-09-26",9
"132","2007-09-27",8.78
"133","2007-09-28",9.07
"134","2007-10-01",9.2
"135","2007-10-02",9.39
"136","2007-10-03",9.09
"137","2007-10-04",9.15
"138","2007-10-05",9.32
"139","2007-10-08",9.3
"140","2007-10-09",9.64
"141","2007-10-10",10
"142","2007-10-11",9.82
"143","2007-10-12",9.89
"144","2007-10-15",9.99
"145","2007-10-16",9.93
"146","2007-10-17",10.26
"147","2007-10-18",10.4
"148","2007-10-19",10.37
"149","2007-10-22",9.8
"150","2007-10-23",9.72
"151","2007-10-24",9.42
"152","2007-10-25",9.42
"153","2007-10-26",9.38
"154","2007-10-29",9.6
"155","2007-10-30",9.75
"156","2007-10-31",9.77
"157","2007-11-01",10.41
"158","2007-11-02",6.98
"159","2007-11-05",5.84
"160","2007-11-06",5.83
"161","2007-11-07",5.74
"162","2007-11-08",5.63
"163","2007-11-09",5.33
"164","2007-11-12",5.35
"165","2007-11-13",5.57
"166","2007-11-14",5.73
"167","2007-11-15",5.85
"168","2007-11-16",5.6
"169","2007-11-19",5.25
"170","2007-11-20",5.06
"171","2007-11-21",5.01
"172","2007-11-23",4.85
"173","2007-11-26",4.77
"174","2007-11-27",5.05
"175","2007-11-28",5.15
"176","2007-11-29",5.95
"177","2007-11-30",5.46
"178","2007-12-03",5.29
"179","2007-12-04",5.29
"180","2007-12-05",5.24
"181","2007-12-06",5.1
"182","2007-12-07",5.33
"183","2007-12-10",5.72
"184","2007-12-11",5.33
"185","2007-12-12",5.27
"186","2007-12-13",5.14
"187","2007-12-14",5.05
"188","2007-12-17",5.1
"189","2007-12-18",5.18
"190","2007-12-19",5.2
"191","2007-12-20",5.1
"192","2007-12-21",5.05
"193","2007-12-24",5.07
"194","2007-12-26",5.12
"195","2007-12-27",5.12
"196","2007-12-28",5.32
"197","2007-12-31",5.22
"198","2008-01-02",5
"199","2008-01-03",5.08
"200","2008-01-04",4.93
"201","2008-01-07",5.07
"202","2008-01-08",5.02
"203","2008-01-09",4.57
"204","2008-01-10",4.52
"205","2008-01-11",4.55
"206","2008-01-14",4.44
"207","2008-01-15",4.27
"208","2008-01-16",4.12
"209","2008-01-17",4.02
"210","2008-01-18",4.03
"211","2008-01-22",3.92
"212","2008-01-23",4.46
"213","2008-01-24",4.37
"214","2008-01-25",4.88
"215","2008-01-28",4.55
"216","2008-01-29",4.39
"217","2008-01-30",4.26
"218","2008-01-31",4.19
"219","2008-02-01",4.34
"220","2008-02-04",4.72
"221","2008-02-05",4.9
"222","2008-02-06",5.04
"223","2008-02-07",5.04
"224","2008-02-08",4.73
"225","2008-02-11",4.53
"226","2008-02-12",5.31
"227","2008-02-13",5.48
"228","2008-02-14",5.26
"229","2008-02-15",4.98
"230","2008-02-19",4.93
"231","2008-02-20",4.83
"232","2008-02-21",4.5
"233","2008-02-22",4.47
"234","2008-02-25",4.47
"235","2008-02-26",4.43
"236","2008-02-27",4.68
"237","2008-02-28",4.76
"238","2008-02-29",4.72
"239","2008-03-03",4.5
"240","2008-03-04",4.37
"241","2008-03-05",4.65
"242","2008-03-06",4.75
"243","2008-03-07",4.92
"244","2008-03-10",4.29
"245","2008-03-11",4.66
"246","2008-03-12",4.75
"247","2008-03-13",4.36
"248","2008-03-14",4.16
"249","2008-03-17",4.09
"250","2008-03-18",4.19
"251","2008-03-19",4.28
"252","2008-03-20",4.97
"253","2008-03-24",4.88
"254","2008-03-25",4.94
"255","2008-03-26",5.01
"256","2008-03-27",4.96
"257","2008-03-28",4.7
"258","2008-03-31",4.49
"259","2008-04-01",4.72
"260","2008-04-02",4.78
"261","2008-04-03",4.79
"262","2008-04-04",4.65
"263","2008-04-07",4.5
"264","2008-04-08",4.21
"265","2008-04-09",4.26
"266","2008-04-10",4.41
"267","2008-04-11",4.23
"268","2008-04-14",4.34
"269","2008-04-15",4.41
"270","2008-04-16",4.47
"271","2008-04-17",4.51
"272","2008-04-18",4.61
"273","2008-04-21",4.53
"274","2008-04-22",4.27
"275","2008-04-23",4.42
"276","2008-04-24",4.35
"277","2008-04-25",4.38
"278","2008-04-28",4.39
"279","2008-04-29",4.73
"280","2008-04-30",4.69
"281","2008-05-01",4.7
"282","2008-05-02",4.69
"283","2008-05-05",4.18
"284","2008-05-06",4.19
"285","2008-05-07",4
"286","2008-05-08",4.04
"287","2008-05-09",4
"288","2008-05-12",4.11
"289","2008-05-13",4.23
"290","2008-05-14",4.65
"291","2008-05-15",4.73
"292","2008-05-16",4.81
"293","2008-05-19",4.92
"294","2008-05-20",4.78
"295","2008-05-21",4.81
"296","2008-05-22",4.96
"297","2008-05-23",4.9
"298","2008-05-27",4.68
"299","2008-05-28",5.09
"300","2008-05-29",4.97
"301","2008-05-30",4.93
"302","2008-06-02",4.89
"303","2008-06-03",4.79
"304","2008-06-04",4.81
"305","2008-06-05",4.95
