"","date","LOAN"
"1","2007-01-03",1.65
"2","2007-01-04",1.55
"3","2007-01-05",1.64
"4","2007-01-08",1.72
"5","2007-01-09",1.67
"6","2007-01-10",1.59
"7","2007-01-11",1.59
"8","2007-01-12",1.59
"9","2007-01-16",1.62
"10","2007-01-17",1.63
"11","2007-01-18",1.65
"12","2007-01-19",1.61
"13","2007-01-22",1.67
"14","2007-01-23",1.67
"15","2007-01-24",1.6
"16","2007-01-25",1.54
"17","2007-01-26",1.59
"18","2007-01-29",1.59
"19","2007-01-30",1.61
"20","2007-01-31",1.57
"21","2007-02-01",1.61
"22","2007-02-02",1.68
"23","2007-02-05",1.55
"24","2007-02-06",1.62
"25","2007-02-07",1.64
"26","2007-02-08",1.68
"27","2007-02-09",1.55
"28","2007-02-12",1.64
"29","2007-02-13",1.68
"30","2007-02-14",1.63
"31","2007-02-15",1.65
"32","2007-02-16",1.64
"33","2007-02-20",1.68
"34","2007-02-21",1.68
"35","2007-02-22",1.65
"36","2007-02-23",1.66
"37","2007-02-26",1.65
"38","2007-02-27",1.65
"39","2007-02-28",1.65
"40","2007-03-01",1.59
"41","2007-03-02",1.59
"42","2007-03-05",1.57
"43","2007-03-06",1.57
"44","2007-03-07",1.54
"45","2007-03-08",1.62
"46","2007-03-09",1.56
"47","2007-03-12",1.56
"48","2007-03-13",1.57
"49","2007-03-14",1.57
"50","2007-03-15",1.57
"51","2007-03-16",1.55
"52","2007-03-19",1.57
"53","2007-03-20",1.58
"54","2007-03-21",1.53
"55","2007-03-22",1.54
"56","2007-03-23",1.58
"57","2007-03-26",1.54
"58","2007-03-27",1.53
"59","2007-03-28",1.49
"60","2007-03-29",1.58
"61","2007-03-30",1.62
"62","2007-04-02",1.62
"63","2007-04-03",1.64
"64","2007-04-04",1.62
"65","2007-04-05",1.62
"66","2007-04-09",1.63
"67","2007-04-10",1.6
"68","2007-04-11",1.6
"69","2007-04-12",1.6
"70","2007-04-13",1.57
"71","2007-04-16",1.56
"72","2007-04-17",1.5
"73","2007-04-18",1.52
"74","2007-04-19",1.52
"75","2007-04-20",1.53
"76","2007-04-23",1.56
"77","2007-04-24",1.6
"78","2007-04-25",1.54
"79","2007-04-26",1.54
"80","2007-04-27",1.54
"81","2007-04-30",1.59
"82","2007-05-01",1.57
"83","2007-05-02",1.56
"84","2007-05-03",1.61
"85","2007-05-04",1.57
"86","2007-05-07",1.6
"87","2007-05-08",1.6
"88","2007-05-09",1.6
"89","2007-05-10",1.65
"90","2007-05-11",1.55
"91","2007-05-14",1.54
"92","2007-05-15",1.55
"93","2007-05-16",1.57
"94","2007-05-17",1.56
"95","2007-05-18",1.6
"96","2007-05-21",1.53
"97","2007-05-22",1.54
"98","2007-05-23",1.54
"99","2007-05-24",1.54
"100","2007-05-25",1.6
"101","2007-05-29",1.61
"102","2007-05-30",1.67
"103","2007-05-31",1.66
"104","2007-06-01",1.59
"105","2007-06-04",1.59
"106","2007-06-05",1.58
"107","2007-06-06",1.57
"108","2007-06-07",1.56
"109","2007-06-08",1.55
"110","2007-06-11",1.6
"111","2007-06-12",1.51
"112","2007-06-13",1.5
"113","2007-06-14",1.59
"114","2007-06-15",1.61
"115","2007-06-18",1.61
"116","2007-06-19",1.65
"117","2007-06-20",1.67
"118","2007-06-21",1.66
"119","2007-06-22",1.66
"120","2007-06-25",1.66
"121","2007-06-26",1.6
"122","2007-06-27",1.64
"123","2007-06-28",1.6
"124","2007-06-29",1.65
"125","2007-07-02",1.73
"126","2007-07-03",1.71
"127","2007-07-05",1.7
"128","2007-07-06",1.73
"129","2007-07-09",1.73
"130","2007-07-10",1.77
"131","2007-07-11",1.77
"132","2007-07-12",1.77
"133","2007-07-13",1.77
"134","2007-07-16",1.76
"135","2007-07-17",1.67
"136","2007-07-18",1.73
"137","2007-07-19",1.74
"138","2007-07-20",1.74
"139","2007-07-23",1.7
"140","2007-07-24",1.72
"141","2007-07-25",1.69
"142","2007-07-26",1.69
"143","2007-07-27",1.71
"144","2007-07-30",1.7
"145","2007-07-31",1.7
"146","2007-08-01",1.6
"147","2007-08-02",1.61
"148","2007-08-03",1.61
"149","2007-08-06",1.6
"150","2007-08-07",1.59
"151","2007-08-08",1.61
"152","2007-08-09",1.57
"153","2007-08-10",1.5
"154","2007-08-13",1.5
"155","2007-08-14",1.5
"156","2007-08-15",1.46
"157","2007-08-16",1.4
"158","2007-08-17",1.42
"159","2007-08-20",1.42
"160","2007-08-21",1.44
"161","2007-08-22",1.47
"162","2007-08-23",1.47
"163","2007-08-24",1.45
"164","2007-08-27",1.45
"165","2007-08-28",1.45
"166","2007-08-29",1.47
"167","2007-08-30",1.48
"168","2007-08-31",1.47
"169","2007-09-04",1.46
"170","2007-09-05",1.46
"171","2007-09-06",1.46
"172","2007-09-07",1.38
